datetime,JP_TIAI_MoM_Actual,JP_TIAI_MoM_Srv_Med,JP_TIAI_MoM_Revised,JP_TIAI_MoM_Prior
2023-08-17 12:30:00,-0.4,-0.2,1.2,1.2
2023-07-18 12:30:00,1.2,0.4,0.9,1.2
2023-06-15 12:30:00,1.2,0.5,-1.5,-1.7
2023-05-19 12:30:00,-1.7,0.3,1.7,0.7
2023-04-20 12:30:00,0.7,0.4,0.7,0.9
2023-03-17 12:30:00,0.9,0.5,-0.4,-0.4
2023-02-15 12:30:00,-0.4,0.1,0.1,-0.2
2023-01-17 12:30:00,-0.2,0.2,0.5,0.2
2022-12-15 12:30:00,0.2,0.4,-0.2,-0.4
2022-11-16 12:30:00,-0.4,0.6,0.7,0.7
2022-10-17 12:30:00,0.7,0.3,-0.5,-0.6
2022-09-15 12:30:00,-0.6,-0.1,-0.4,-0.2
2022-08-16 12:30:00,-0.2,0.5,0.8,0.8
2022-07-15 12:30:00,0.8,,0.7,0.7
2022-06-15 12:30:00,0.7,,1.3,1.3
2022-05-17 12:30:00,1.3,1.2,-1.8,-1.3
2022-04-20 12:30:00,-1.3,,-0.2,-0.7
2022-03-18 12:30:00,-0.7,,0.1,0.4
2022-02-16 12:30:00,0.4,,0.4,0.4
2022-01-17 12:30:00,0.4,,1.9,1.5
2021-12-15 12:30:00,1.5,1.2,0.5,0.5
2021-11-16 12:30:00,0.5,,-1.1,-1.7
2021-10-15 12:30:00,-1.7,,-0.6,-0.6
2021-09-15 12:30:00,-0.6,0.2,2.2,2.3
2021-08-17 12:30:00,2.3,,-2.9,-2.7
2021-07-15 12:30:00,-2.7,,-0.8,-0.7
2021-06-15 12:30:00,-0.7,,1.1,1.1
2021-05-18 12:30:00,1.1,,0.3,0.3
2021-04-20 12:30:00,0.3,,-1.0,-1.7
2021-03-15 12:30:00,-1.7,,-0.3,-0.4
2021-02-16 12:30:00,-0.4,,-0.6,-0.7
2021-01-15 12:30:00,-0.7,,1.6,1.0
2020-12-14 12:30:00,1.0,1.3,2.3,1.8
2020-11-12 12:30:00,1.8,,0.8,0.8
2020-10-15 12:30:00,0.8,,-0.5,-0.5
2020-09-14 12:30:00,-0.5,0.6,7.9,7.9
2020-08-14 12:30:00,7.9,,-2.9,-2.1
2020-07-13 12:30:00,-2.1,,-7.7,-6.0
2020-06-15 12:30:00,-6.0,,-3.8,-4.2
2020-05-18 12:30:00,-4.2,,-0.7,-0.5
2020-04-17 12:30:00,-0.5,,0.3,0.8
2020-03-13 12:30:00,0.8,1.2,-0.3,-0.2
2020-02-14 12:30:00,-0.2,,1.4,1.3
2020-01-17 12:30:00,1.3,,-5.2,-4.6
2019-12-16 12:30:00,-4.6,0.7,2.3,1.8
2019-11-14 12:30:00,1.8,-0.6,0.3,0.4
2019-10-15 12:30:00,0.4,0.6,0.1,0.1
2019-09-12 12:30:00,0.1,-0.3,-0.1,-0.1
2019-08-13 12:30:00,-0.1,-0.1,0.0,-0.2
2019-07-11 12:30:00,-0.2,-0.1,0.8,0.8
2019-06-13 12:30:00,0.8,0.4,-0.2,-0.4
2019-05-17 12:30:00,-0.4,0.1,-0.6,-0.6
2019-04-16 12:30:00,-0.6,-0.2,0.6,0.4
2019-03-13 12:30:00,0.4,-0.3,-0.5,-0.3
2019-02-12 12:30:00,-0.3,-0.1,-0.4,-0.3
2019-01-16 12:30:00,-0.3,-0.5,2.2,1.9
2018-12-12 12:30:00,1.9,0.9,-1.2,-1.1
2018-11-14 12:30:00,-1.1,-0.4,0.4,0.5
2018-10-12 12:30:00,0.5,,-0.1,0.1
2018-09-11 12:30:00,0.1,0.1,-0.6,-0.5
2018-08-10 12:30:00,-0.5,-0.2,0.2,0.1
2018-07-11 12:30:00,0.1,-0.4,1.0,1.0
2018-06-12 12:30:00,1.0,0.6,-0.3,-0.3
2018-05-15 12:30:00,-0.3,-0.2,0.1,0.0
2018-04-20 12:30:00,0.0,0.1,-0.4,-0.6
2018-03-13 12:30:00,-0.6,-0.2,-0.2,-0.2
2018-02-09 12:30:00,-0.2,0.2,1.1,1.1
2018-01-16 12:30:00,1.1,0.4,0.2,0.3
2017-12-12 12:30:00,0.3,0.2,-0.2,-0.2
