datetime,JP_TOKOY_CCPI_YoY_Actual,JP_TOKOY_CCPI_YoY_Srv_Med,JP_TOKOY_CCPI_YoY_Revised,JP_TOKOY_CCPI_YoY_Prior
2023-08-25 07:30:00,None,None,0.5,0.5
2023-07-28 07:30:00,0.5,None,-0.2,-0.2
2023-06-30 07:30:00,-0.2,None,0.2,0.2
2023-05-26 07:30:00,0.2,None,0.7,0.7
2023-04-28 07:30:00,0.7,None,0.4,0.4
2023-03-31 07:30:00,0.4,None,0.2,0.3
2023-03-03 07:30:00,0.3,None,0.1,0.1
2023-01-27 07:30:00,0.1,None,0.1,0.2
2023-01-10 07:30:00,0.2,None,-0.1,0.2
2022-11-25 07:30:00,0.2,None,0.2,0.2
2022-10-28 07:30:00,0.2,None,0.3,0.3
2022-10-04 07:30:00,0.3,None,0.3,0.3
2022-08-26 07:30:00,0.3,None,0.3,0.3
2022-07-29 07:30:00,0.3,None,-0.1,-0.1
2022-07-01 07:30:00,-0.1,None,0.2,0.1
2022-05-27 07:30:00,0.1,None,0.4,0.4
2022-05-06 07:30:00,0.4,None,0.2,0.2
2022-03-25 07:30:00,0.2,None,0.2,0.2
2022-02-25 07:30:00,0.2,None,-0.3,-0.3
2022-01-28 07:30:00,-0.3,None,0.0,0.0
2022-01-07 07:30:00,0.0,None,-0.1,0.0
2021-11-26 07:30:00,0.0,None,-0.2,-0.2
2021-10-29 07:30:00,-0.2,None,-0.2,-0.2
2021-10-05 07:30:00,-0.2,None,0.1,0.1
2021-08-27 07:30:00,0.1,None,0.3,0.2
2021-08-03 07:30:00,0.2,None,-0.1,-0.1
2021-06-25 07:30:00,-0.1,None,-0.4,0.0
2021-05-28 07:30:00,0.0,None,-0.4,-0.4
2021-04-30 07:30:00,-0.4,None,0.2,0.2
2021-03-26 07:30:00,0.2,None,0.1,0.1
2021-02-26 07:30:00,0.1,None,0.2,0.2
2021-01-29 07:30:00,0.2,None,-0.1,-0.1
2020-12-25 07:30:00,-0.1,None,0.1,0.1
2020-11-27 07:30:00,0.1,None,0.3,0.3
2020-10-30 07:30:00,0.3,None,-0.1,0.0
2020-10-23 07:30:00,0.0,None,-0.1,-0.2
2020-09-29 07:30:00,-0.2,None,-0.3,-0.3
2020-08-28 07:30:00,-0.3,None,0.2,0.2
2020-08-04 07:30:00,0.2,None,-0.2,0.4
2020-06-26 07:30:00,0.4,None,0.5,0.1
2020-05-29 07:30:00,0.1,None,0.1,0.0
2020-05-01 07:30:00,0.0,None,0.1,0.1
2020-03-27 07:30:00,0.1,None,0.0,0.0
2020-02-28 07:30:00,0.0,None,-0.5,-0.5
2020-01-31 07:30:00,-0.5,None,0.1,0.1
2019-12-27 07:30:00,0.1,None,0.3,0.0
2019-11-29 07:30:00,0.0,None,0.3,0.3
2019-10-29 07:30:00,0.3,None,-0.3,-0.3
2019-09-27 07:30:00,-0.3,None,0.6,0.6
2019-08-30 07:30:00,0.6,None,-0.1,0.0
2019-07-26 07:30:00,0.0,None,-0.1,
