datetime,NZ_EP_QoQ_Actual,NZ_EP_QoQ_Srv_Med,NZ_EP_QoQ_Revised,NZ_EP_QoQ_Prior
2023-08-02 06:45:00,1.0,0.5,0.8,0.8
2023-05-03 06:45:00,0.8,0.4,0.2,0.2
2023-02-01 05:45:00,0.2,0.3,1.3,1.3
2022-11-02 05:45:00,1.3,0.5,0.0,0.0
2022-08-03 06:45:00,0.0,0.4,0.0,0.1
2022-05-04 06:45:00,0.1,0.1,0.1,0.1
2022-02-02 05:45:00,0.1,0.3,2.0,2.0
2021-11-03 05:45:00,2.0,0.4,1.0,1.0
2021-08-04 06:45:00,1.0,0.7,0.6,0.6
2021-05-05 06:45:00,0.6,0.2,0.6,0.6
2021-02-03 05:45:00,0.6,-0.8,-0.8,-0.8
2020-11-04 05:45:00,-0.8,-0.8,-0.4,-0.4
2020-08-05 06:45:00,-0.4,-2.0,0.7,0.7
2020-05-06 06:45:00,0.7,-0.3,0.0,0.0
2020-02-05 05:45:00,0.0,0.3,0.2,0.2
2019-11-06 05:45:00,0.2,0.3,0.8,0.8
2019-08-06 06:45:00,0.8,0.3,-0.2,-0.2
2019-05-01 06:45:00,-0.2,0.5,0.1,0.1
2019-02-07 05:45:00,0.1,0.3,1.1,1.1
2018-11-07 05:45:00,1.1,0.5,0.5,0.5
2018-08-01 06:45:00,0.5,0.4,0.6,0.6
2018-05-02 06:45:00,0.6,0.5,0.5,0.5
2018-02-07 05:45:00,0.5,0.4,2.2,2.2
2017-11-01 05:45:00,2.2,0.8,-0.2,-0.2
2017-08-02 06:45:00,-0.2,0.7,1.2,1.2
2017-05-03 06:45:00,1.2,0.8,0.8,0.8
2017-02-01 05:45:00,0.8,0.8,1.4,1.4
2016-11-02 05:45:00,1.4,0.6,2.4,2.4
2016-08-17 06:45:00,2.4,0.6,1.4,1.2
2016-05-04 06:45:00,1.2,0.7,0.9,0.9
2016-02-03 05:45:00,0.9,0.8,-0.4,-0.4
2015-11-04 05:45:00,-0.4,0.4,0.1,0.3
2015-08-05 06:45:00,0.3,0.5,0.6,0.7
2015-05-06 06:45:00,0.7,0.8,1.2,1.2
2015-02-04 05:45:00,1.2,0.8,0.9,0.8
2014-11-05 05:45:00,0.8,0.6,0.4,0.4
2014-08-06 06:45:00,0.4,0.7,0.9,0.9
2014-05-07 06:45:00,0.9,0.6,1.1,1.1
2014-02-05 05:45:00,1.1,0.6,1.2,1.2
2013-11-06 05:45:00,1.2,0.6,0.4,0.4
2013-08-07 06:45:00,0.4,0.4,1.7,1.7
2013-05-09 06:45:00,1.7,0.8,-1.0,-1.0
2013-02-07 05:45:00,-1.0,0.4,-0.4,-0.4
2012-11-08 05:45:00,-0.4,0.3,-0.1,-0.1
2012-08-09 06:45:00,-0.1,0.3,0.4,0.4
2012-05-03 06:45:00,0.4,0.3,0.2,0.1
2012-02-09 05:45:00,0.1,0.4,0.2,0.2
2011-11-03 05:45:00,0.2,0.6,0.1,0.0
2011-08-04 06:45:00,0.0,0.1,1.3,1.4
2011-05-05 06:45:00,1.4,0.6,-0.4,-0.5
2011-02-03 05:45:00,-0.5,0.2,1.0,1.0
2010-11-04 05:45:00,1.0,0.5,-0.2,-0.3
2010-08-05 06:45:00,-0.3,0.5,1.0,1.0
2010-05-06 06:45:00,1.0,0.3,-0.1,-0.1
2010-02-04 05:45:00,-0.1,-0.1,-0.8,-0.8
2009-11-05 05:45:00,-0.8,-0.3,-0.4,-0.4
2009-08-06 06:45:00,-0.4,-0.6,-1.3,-1.1
2009-05-07 06:45:00,-1.1,-1.0,0.6,0.9
2009-02-05 05:45:00,0.9,-0.7,0.1,0.1
2008-11-06 05:45:00,0.1,-0.8,1.2,1.2
2008-08-07 06:45:00,1.2,0.1,-1.3,-1.3
2008-05-08 06:45:00,-1.3,-0.1,1.1,
