datetime,NZ_InE_QoQ_Actual,NZ_InE_QoQ_Srv_Med,NZ_InE_QoQ_Revised,NZ_InE_QoQ_Prior
2023-08-09 11:00:00,2.8,None,2.8,2.8
2023-05-12 11:00:00,2.8,None,3.3,3.3
2023-02-14 10:00:00,3.3,None,3.6,3.6
2022-11-08 10:00:00,3.6,None,3.1,3.1
2022-08-08 11:00:00,3.1,None,3.3,3.3
2022-05-12 11:00:00,3.3,None,3.3,3.3
2022-02-11 10:00:00,3.3,None,3.0,3.0
2021-11-18 10:00:00,3.0,None,2.3,2.3
2021-08-12 11:00:00,2.3,None,2.1,2.1
2021-07-05 10:00:00,2.1,None,1.9,1.9
2021-02-09 10:00:00,1.9,None,1.6,1.6
2020-11-06 10:00:00,1.6,None,1.4,1.4
2020-08-06 11:00:00,1.4,None,1.2,1.2
2020-05-07 11:00:00,1.2,None,1.9,1.9
2020-02-07 10:00:00,1.9,None,1.8,1.8
2019-11-12 10:00:00,1.8,None,1.9,1.9
2019-08-06 11:00:00,1.9,None,2.0,2.0
2019-05-07 11:00:00,2.0,None,2.0,2.0
2019-02-13 10:00:00,2.0,None,2.0,2.0
2018-11-07 10:00:00,2.0,None,2.0,2.0
2018-08-08 11:00:00,2.0,None,2.0,2.0
2018-05-08 11:00:00,2.0,None,2.1,2.1
2018-02-14 10:00:00,2.1,None,2.0,2.0
2017-11-06 10:00:00,2.0,None,2.1,2.1
2017-08-07 11:00:00,2.1,None,2.2,2.2
2017-05-05 11:00:00,2.2,None,1.9,1.9
2017-02-07 10:00:00,1.9,None,1.7,1.7
2016-11-02 10:00:00,1.7,None,1.7,1.7
2016-08-02 11:00:00,1.7,None,1.6,1.6
2016-05-17 11:00:00,1.6,None,1.6,1.6
2016-02-16 10:00:00,1.6,None,1.9,1.9
2015-11-17 10:00:00,1.9,None,1.9,1.9
2015-08-25 11:00:00,1.9,None,1.9,1.9
2015-05-19 11:00:00,1.9,None,1.8,1.8
2015-02-24 10:00:00,1.8,None,2.1,2.1
2014-11-25 10:00:00,2.1,None,2.2,2.2
2014-08-19 11:00:00,2.2,None,2.4,2.4
2014-05-22 11:00:00,2.4,None,2.3,2.3
2014-02-25 10:00:00,2.3,None,2.3,2.3
2013-11-19 10:00:00,2.3,None,2.4,2.4
2013-08-20 11:00:00,2.4,None,2.1,2.1
2013-05-21 11:00:00,2.1,None,2.2,2.2
2013-02-26 10:00:00,2.2,None,2.3,2.3
2012-11-27 10:00:00,2.3,None,2.3,2.3
2012-08-21 11:00:00,2.3,None,2.4,2.4
2012-05-22 11:00:00,2.4,None,2.5,2.5
2012-02-21 10:00:00,2.5,None,2.8,2.8
2011-11-22 10:00:00,2.8,None,2.9,2.9
2011-08-23 11:00:00,2.9,None,3.0,3.0
2011-05-24 11:00:00,3.0,None,2.6,2.6
2011-02-22 10:00:00,2.6,None,2.6,2.6
2010-11-23 10:00:00,2.6,None,2.6,2.6
2010-08-24 11:00:00,2.6,None,2.8,2.8
2010-05-25 11:00:00,2.8,None,2.7,2.7
2010-02-23 10:00:00,2.7,None,2.6,2.6
2009-11-27 10:00:00,2.6,None,2.3,2.3
2009-08-25 11:00:00,2.3,None,2.2,2.2
2009-05-26 11:00:00,2.2,None,2.3,2.3
2009-02-25 10:00:00,2.3,None,2.7,2.7
2008-11-25 10:00:00,2.7,None,3.0,3.0
2008-08-26 11:00:00,3.0,None,2.9,
