datetime,NZ_PMI_QoQ_Actual,NZ_PMI_QoQ_Srv_Med,NZ_PMI_QoQ_Revised,NZ_PMI_QoQ_Prior
2023-08-11 06:30:00,46.3,49.4,47.5,47.5
2023-07-13 06:30:00,47.5,49.8,48.9,48.9
2023-06-16 06:30:00,48.9,50.2,49.1,49.1
2023-05-12 06:30:00,49.1,50.7,48.1,48.1
2023-04-14 06:30:00,48.1,51.0,51.7,52.0
2023-03-10 05:30:00,52.0,None,50.8,50.8
2023-02-10 05:30:00,50.8,None,47.2,47.2
2023-01-20 05:30:00,47.2,None,47.4,47.4
2022-12-16 05:30:00,47.4,None,49.3,49.3
2022-11-11 05:30:00,49.3,None,51.7,52.0
2022-10-14 05:30:00,52.0,None,54.8,54.9
2022-09-16 06:30:00,54.9,None,53.5,51.2
2022-08-15 06:30:00,51.2,None,54.7,52.7
2022-08-12 06:30:00,52.7,None,50.0,49.7
2022-07-15 06:30:00,49.7,None,52.6,55.2
2022-06-20 06:30:00,55.2,None,52.2,52.9
2022-06-17 06:30:00,52.9,None,51.2,51.2
2022-05-13 06:30:00,51.2,None,53.8,53.8
2022-04-14 06:30:00,53.8,None,53.6,53.6
2022-03-11 05:30:00,53.6,None,52.3,52.1
2022-02-11 05:30:00,52.1,None,53.7,53.7
2022-01-21 05:30:00,53.7,None,50.6,50.6
2021-12-10 05:30:00,50.6,None,54.3,54.3
2021-11-12 05:30:00,54.3,None,51.4,51.4
2021-10-15 05:30:00,51.4,None,40.1,40.1
2021-09-17 06:30:00,40.1,None,62.6,62.6
2021-08-13 06:30:00,62.6,None,60.7,60.7
2021-07-16 06:30:00,60.7,None,58.6,58.6
2021-06-11 06:30:00,58.6,None,58.4,58.4
2021-05-14 06:30:00,58.4,None,63.6,63.6
2021-04-16 06:30:00,63.6,None,53.4,53.4
2021-03-12 05:30:00,53.4,None,57.5,57.5
2021-02-12 05:30:00,57.5,None,48.7,48.7
2021-01-22 05:30:00,48.7,None,55.3,55.3
2020-12-11 05:30:00,55.3,None,51.7,51.7
2020-11-13 05:30:00,51.7,None,54.0,54.0
2020-10-16 05:30:00,54.0,None,50.7,50.7
2020-09-11 06:30:00,50.7,None,58.8,58.8
2020-08-14 06:30:00,58.8,None,56.3,56.3
2020-07-17 06:30:00,56.3,None,39.7,39.7
2020-06-12 06:30:00,39.7,None,26.1,26.1
2020-05-15 06:35:00,26.1,None,38.0,38.0
2020-05-15 06:30:00,38.0,None,53.7,53.2
2020-03-13 05:30:00,53.2,50.3,49.6,49.6
2020-02-14 05:30:00,49.6,51.0,49.3,49.3
2020-01-17 05:30:00,49.3,None,51.4,51.4
2019-12-13 05:30:00,51.4,None,52.6,52.6
2019-11-15 05:30:00,52.6,None,48.4,48.4
2019-10-11 05:30:00,48.4,49.0,48.4,48.4
2019-09-13 06:30:00,48.4,None,48.2,48.2
2019-08-16 06:30:00,48.2,51.8,51.3,51.3
2019-07-12 06:30:00,51.3,53.1,50.2,50.2
2019-06-14 06:30:00,50.2,None,53.0,53.0
2019-05-17 06:30:00,53.0,54.5,51.9,51.9
2019-04-12 06:30:00,51.9,None,53.7,None
2019-03-16 05:30:00,None,None,53.1,53.7
2019-03-15 05:30:00,53.7,None,53.1,53.1
2019-02-15 05:30:00,53.1,None,55.1,55.1
2019-01-18 05:30:00,55.1,None,53.5,53.5
