datetime,NZ_UER_QoQ_Actual,NZ_UER_QoQ_Srv_Med,NZ_UER_QoQ_Revised,NZ_UER_QoQ_Prior
2023-08-02 06:45:00,3.6,3.5,3.4,3.4
2023-05-03 06:45:00,3.4,3.5,3.4,3.4
2023-02-01 05:45:00,3.4,3.3,3.3,3.3
2022-11-02 05:45:00,3.3,3.2,3.3,3.3
2022-08-03 06:45:00,3.3,3.1,3.2,3.2
2022-05-04 06:45:00,3.2,3.2,3.2,3.2
2022-02-02 05:45:00,3.2,3.4,3.3,3.4
2021-11-03 05:45:00,3.4,3.9,4.0,4.0
2021-08-04 06:45:00,4.0,4.5,4.6,4.7
2021-05-05 06:45:00,4.7,4.9,4.9,4.9
2021-02-03 05:45:00,4.9,5.6,5.3,5.3
2020-11-04 05:45:00,5.3,5.4,4.0,4.0
2020-08-05 06:45:00,4.0,5.8,4.2,4.1
2020-05-06 06:45:00,4.1,4.3,4.0,4.0
2020-02-05 05:45:00,4.0,4.2,4.1,4.2
2019-11-06 05:45:00,4.2,4.1,3.9,3.9
2019-08-06 06:45:00,3.9,4.3,4.2,4.2
2019-05-01 06:45:00,4.2,4.2,4.3,4.3
2019-02-07 05:45:00,4.3,4.1,3.9,3.9
2018-11-07 05:45:00,3.9,4.4,4.5,4.5
2018-08-01 06:45:00,4.5,4.4,4.4,4.4
2018-05-02 06:45:00,4.4,4.4,4.5,4.5
2018-02-07 05:45:00,4.5,4.7,4.6,4.6
2017-11-01 05:45:00,4.6,4.7,4.8,4.8
2017-08-02 06:45:00,4.8,4.8,4.9,4.9
2017-05-03 06:45:00,4.9,5.2,5.2,5.2
2017-02-01 05:45:00,5.2,4.8,4.9,4.9
2016-11-02 05:45:00,4.9,5.1,5.1,5.1
2016-08-17 06:45:00,5.1,5.3,5.2,5.7
2016-05-04 06:45:00,5.7,5.5,5.3,5.3
2016-02-03 05:45:00,5.3,6.1,6.0,6.0
2015-11-04 05:45:00,6.0,6.0,5.9,5.9
2015-08-05 06:45:00,5.9,5.9,5.8,5.8
2015-05-06 06:45:00,5.8,5.5,5.8,5.7
2015-02-04 05:45:00,5.7,5.3,5.4,5.4
2014-11-05 05:45:00,5.4,5.4,5.6,5.6
2014-08-06 06:45:00,5.6,5.8,5.9,6.0
2014-05-07 06:45:00,6.0,5.9,6.0,6.0
2014-02-05 05:45:00,6.0,6.0,6.2,6.2
2013-11-06 05:45:00,6.2,6.3,6.4,6.4
2013-08-07 06:45:00,6.4,6.3,6.2,6.2
2013-05-09 06:45:00,6.2,6.8,6.9,6.9
2013-02-07 05:45:00,6.9,7.1,7.3,7.3
2012-11-08 05:45:00,7.3,6.7,6.8,6.8
2012-08-09 06:45:00,6.8,6.5,6.7,6.7
2012-05-03 06:45:00,6.7,6.3,6.4,6.3
2012-02-09 05:45:00,6.3,6.5,6.6,6.6
2011-11-03 05:45:00,6.6,6.4,6.5,6.5
2011-08-04 06:45:00,6.5,6.5,6.5,6.6
2011-05-05 06:45:00,6.6,6.7,6.7,6.8
2011-02-03 05:45:00,6.8,6.5,6.4,6.4
2010-11-04 05:45:00,6.4,6.7,6.9,6.8
2010-08-05 06:45:00,6.8,6.2,6.0,6.0
2010-05-06 06:45:00,6.0,7.3,7.1,7.3
2010-02-04 05:45:00,7.3,6.8,6.5,6.5
2009-11-05 05:45:00,6.5,6.4,6.0,6.0
2009-08-06 06:45:00,6.0,5.6,5.0,5.0
2009-05-07 06:45:00,5.0,5.3,4.7,4.6
2009-02-05 05:45:00,4.6,4.6,4.2,4.2
2008-11-06 05:45:00,4.2,4.3,3.9,3.9
2008-08-07 06:45:00,3.9,3.8,3.6,3.6
2008-05-08 06:45:00,3.6,3.5,3.4,
