datetime,RBA_RATE_Actual,RBA_RATE_Srv_Med,RBA_RATE_Revised,RBA_RATE_Prior
2023-09-05 12:30:00,None,None,4.10,4.10
2023-08-01 12:30:00,4.10,4.35,4.10,4.10
2023-07-04 12:30:00,4.10,4.35,4.10,4.10
2023-06-06 12:30:00,4.10,3.85,3.85,3.85
2023-05-02 12:30:00,3.85,3.60,3.60,3.60
2023-04-04 12:30:00,3.60,3.60,3.60,3.60
2023-03-07 11:30:00,3.60,3.60,3.35,3.35
2023-02-07 11:30:00,3.35,3.35,3.10,3.10
2022-12-06 11:30:00,3.10,3.10,2.85,2.85
2022-11-01 11:30:00,2.85,2.85,2.60,2.60
2022-10-04 11:30:00,2.60,2.85,2.35,2.35
2022-09-06 12:30:00,2.35,2.35,1.85,1.85
2022-08-02 12:30:00,1.85,1.85,1.35,1.35
2022-07-05 12:30:00,1.35,1.35,0.85,0.85
2022-06-07 12:30:00,0.85,0.60,0.35,0.35
2022-05-03 12:30:00,0.35,0.25,0.10,0.10
2022-04-05 12:30:00,0.10,0.10,0.10,0.10
2022-03-01 11:30:00,0.10,0.10,0.10,0.10
2022-02-01 11:30:00,0.10,0.10,0.10,0.10
2021-12-07 11:30:00,0.10,0.10,0.10,0.10
2021-11-02 11:30:00,0.10,0.10,0.10,0.10
2021-10-05 11:30:00,0.10,0.10,0.10,0.10
2021-09-07 12:30:00,0.10,0.10,0.10,0.10
2021-08-03 12:30:00,0.10,0.10,0.10,0.10
2021-07-06 12:30:00,0.10,0.10,0.10,0.10
2021-06-01 12:30:00,0.10,0.10,0.10,0.10
2021-05-04 12:30:00,0.10,0.10,0.10,0.10
2021-04-06 12:30:00,0.10,0.10,0.10,0.10
2021-03-02 11:30:00,0.10,0.10,0.10,0.10
2021-02-02 11:30:00,0.10,0.10,0.10,0.10
2020-12-01 11:30:00,0.10,0.10,0.10,0.10
2020-11-03 11:30:00,0.10,0.10,0.25,0.25
2020-10-06 11:30:00,0.25,0.25,0.25,0.25
2020-09-01 12:30:00,0.25,0.25,0.25,0.25
2020-08-04 12:30:00,0.25,0.25,0.25,0.25
2020-07-07 12:30:00,0.25,0.25,0.25,0.25
2020-06-02 12:30:00,0.25,0.25,0.25,0.25
2020-05-05 12:30:00,0.25,0.25,0.25,0.25
2020-04-07 12:30:00,0.25,0.25,0.25,0.25
2020-03-19 11:30:00,0.25,None,0.50,0.50
2020-03-03 11:30:00,0.50,0.75,0.75,0.75
2020-02-04 11:30:00,0.75,0.75,0.75,0.75
2019-12-03 11:30:00,0.75,0.75,0.75,0.75
2019-11-05 11:30:00,0.75,0.75,0.75,0.75
2019-10-01 12:30:00,0.75,0.75,1.00,1.00
2019-09-03 12:30:00,1.00,1.00,1.00,1.00
2019-08-06 12:30:00,1.00,1.00,1.00,1.00
2019-07-02 12:30:00,1.00,1.00,1.25,1.25
2019-06-04 12:30:00,1.25,1.25,1.50,1.50
2019-05-07 12:30:00,1.50,1.50,1.50,1.50
2019-04-02 11:30:00,1.50,1.50,1.50,1.50
2019-03-05 11:30:00,1.50,1.50,1.50,1.50
2019-02-05 11:30:00,1.50,1.50,1.50,1.50
2018-12-04 11:30:00,1.50,1.50,1.50,1.50
2018-11-06 11:30:00,1.50,1.50,1.50,1.50
2018-10-02 12:30:00,1.50,1.50,1.50,1.50
2018-09-04 12:30:00,1.50,1.50,1.50,1.50
2018-08-07 12:30:00,1.50,1.50,1.50,1.50
2018-07-03 12:30:00,1.50,1.50,1.50,1.50
2018-06-05 12:30:00,1.50,1.50,1.50,1.50
2018-05-01 12:30:00,1.50,1.50,1.50,1.50
2018-04-03 12:30:00,1.50,1.50,1.50,1.50
2018-03-06 11:30:00,1.50,1.50,1.50,1.50
2018-02-06 11:30:00,1.50,1.50,1.50,1.50
2017-12-05 11:30:00,1.50,1.50,1.50,1.50
2017-11-07 11:30:00,1.50,1.50,1.50,1.50
2017-10-03 11:30:00,1.50,1.50,1.50,1.50
2017-09-05 12:30:00,1.50,1.50,1.50,1.50
2017-08-01 12:30:00,1.50,1.50,1.50,1.50
2017-07-04 12:30:00,1.50,1.50,1.50,1.50
2017-06-06 12:30:00,1.50,1.50,1.50,1.50
2017-05-02 12:30:00,1.50,1.50,1.50,1.50
2017-04-04 12:30:00,1.50,1.50,1.50,1.50
2017-03-07 11:30:00,1.50,1.50,1.50,1.50
2017-02-07 11:30:00,1.50,1.50,1.50,1.50
2016-12-06 11:30:00,1.50,1.50,1.50,1.50
2016-11-01 11:30:00,1.50,1.50,1.50,1.50
2016-10-04 11:30:00,1.50,1.50,1.50,1.50
2016-09-06 12:30:00,1.50,1.50,1.50,1.50
2016-08-02 12:30:00,1.50,1.50,1.75,1.75
2016-07-05 12:30:00,1.75,1.75,1.75,1.75
2016-06-07 12:30:00,1.75,1.75,1.75,1.75
2016-05-03 12:30:00,1.75,2.00,2.00,2.00
2016-04-05 12:30:00,2.00,2.00,2.00,2.00
2016-03-01 11:30:00,2.00,2.00,2.00,2.00
2016-02-02 11:30:00,2.00,2.00,2.00,2.00
2015-12-01 11:30:00,2.00,2.00,2.00,2.00
2015-11-03 11:30:00,2.00,2.00,2.00,2.00
2015-10-06 11:30:00,2.00,2.00,2.00,2.00
2015-09-01 12:30:00,2.00,2.00,2.00,2.00
2015-08-04 12:30:00,2.00,2.00,2.00,2.00
2015-07-07 12:30:00,2.00,2.00,2.00,2.00
2015-06-02 12:30:00,2.00,2.00,2.00,2.00
2015-05-05 12:30:00,2.00,2.00,2.25,2.25
2015-04-07 12:30:00,2.25,2.25,2.25,2.25
2015-03-03 11:30:00,2.25,2.00,2.25,2.25
2015-02-03 11:30:00,2.25,2.50,2.50,2.50
2014-12-02 11:30:00,2.50,2.50,2.50,2.50
2014-11-04 11:30:00,2.50,2.50,2.50,2.50
2014-10-07 11:30:00,2.50,2.50,2.50,2.50
2014-09-02 12:30:00,2.50,2.50,2.50,2.50
2014-08-05 12:30:00,2.50,2.50,2.50,2.50
2014-07-01 12:30:00,2.50,2.50,2.50,2.50
2014-06-03 12:30:00,2.50,2.50,2.50,2.50
2014-05-06 12:30:00,2.50,2.50,2.50,2.50
2014-04-01 11:30:00,2.50,2.50,2.50,2.50
2014-03-04 11:30:00,2.50,2.50,2.50,2.50
2014-02-04 11:30:00,2.50,2.50,2.50,2.50
2013-12-03 11:30:00,2.50,2.50,2.50,2.50
2013-11-05 11:30:00,2.50,2.50,2.50,2.50
2013-10-01 12:30:00,2.50,2.50,2.50,2.50
2013-09-03 12:30:00,2.50,2.50,2.50,2.50
2013-08-06 12:30:00,2.50,2.50,2.75,2.75
2013-07-02 12:30:00,2.75,2.75,2.75,2.75
2013-06-04 12:30:00,2.75,2.75,2.75,2.75
2013-05-07 12:30:00,2.75,3.00,3.00,3.00
2013-04-02 11:30:00,3.00,3.00,3.00,3.00
2013-03-05 11:30:00,3.00,3.00,3.00,3.00
2013-02-05 11:30:00,3.00,3.00,3.00,3.00
