datetime,RBNZ_RATE_Actual,RBNZ_RATE_Srv_Med,RBNZ_RATE_Revised,RBNZ_RATE_Prior
8/16/2023 10:00,5.5,5.5,5.5,5.5
7/12/2023 10:00,5.5,5.5,5.5,5.5
5/24/2023 10:00,5.5,5.5,5.25,5.25
4/5/2023 10:00,5.25,5,4.75,4.75
2/22/2023 9:00,4.75,4.75,4.25,4.25
11/23/2022 9:00,4.25,4.25,3.5,3.5
10/5/2022 9:00,3.5,3.5,3,3
8/17/2022 10:00,3,3,2.5,2.5
7/13/2022 10:00,2.5,2.5,2,2
5/25/2022 10:00,2,2,1.5,1.5
4/13/2022 10:00,1.5,1.25,1,1
2/23/2022 9:00,1,1,0.75,0.75
11/24/2021 9:00,0.75,0.75,0.5,0.5
10/6/2021 9:00,0.5,0.5,0.25,0.25
8/18/2021 10:00,0.25,0.5,0.25,0.25
7/14/2021 10:00,0.25,0.25,0.25,0.25
5/26/2021 10:00,0.25,0.25,0.25,0.25
4/14/2021 10:00,0.25,0.25,0.25,0.25
2/24/2021 9:00,0.25,0.25,0.25,0.25
11/11/2020 9:00,0.25,0.25,0.25,0.25
9/23/2020 10:00,0.25,0.25,0.25,0.25
8/12/2020 10:00,0.25,0.25,0.25,0.25
6/24/2020 10:00,0.25,0.25,0.25,0.25
5/13/2020 10:00,0.25,0.25,0.25,0.25
3/15/2020 23:00,0.25,None,1,1
2/12/2020 9:00,1,1,1,1
11/13/2019 9:00,1,0.75,1,1
9/25/2019 10:00,1,1,1,1
8/7/2019 10:00,1,1.25,1.5,1.5
6/26/2019 10:00,1.5,1.5,1.5,1.5
5/8/2019 10:00,1.5,1.5,1.75,1.75
3/27/2019 9:00,1.75,1.75,1.75,None
3/27/2019 4:00,None,None,1.75,1.75
2/13/2019 9:00,1.75,1.75,1.75,1.75
11/8/2018 4:00,1.75,1.75,1.75,1.75
9/27/2018 5:00,1.75,1.75,1.75,1.75
8/9/2018 5:00,1.75,1.75,1.75,1.75
6/28/2018 5:00,1.75,1.75,1.75,1.75
5/10/2018 5:00,1.75,1.75,1.75,1.75
3/22/2018 4:00,1.75,1.75,1.75,1.75
2/8/2018 4:00,1.75,1.75,1.75,1.75
11/9/2017 4:00,1.75,1.75,1.75,1.75
9/28/2017 4:00,1.75,1.75,1.75,1.75
8/10/2017 5:00,1.75,1.75,1.75,1.75
6/22/2017 5:00,1.75,1.75,1.75,1.75
5/11/2017 5:00,1.75,1.75,1.75,1.75
3/23/2017 4:00,1.75,1.75,1.75,1.75
2/9/2017 4:00,1.75,1.75,1.75,1.75
11/10/2016 4:00,1.75,1.75,2,2
9/22/2016 5:00,2,2,2,2
8/11/2016 5:00,2,2,2.25,2.25
6/9/2016 5:00,2.25,2.25,2.25,2.25
4/28/2016 5:00,2.25,2.25,2.25,2.25
3/10/2016 4:00,2.25,2.5,2.5,2.5
1/28/2016 4:00,2.5,2.5,2.5,2.5
12/10/2015 4:00,2.5,2.5,2.75,2.75
10/29/2015 4:00,2.75,2.75,2.75,2.75
9/10/2015 5:00,2.75,2.75,3,3
7/23/2015 5:00,3,3,3.25,3.25
6/11/2015 5:00,3.25,3.5,3.5,3.5
4/30/2015 5:00,3.5,3.5,3.5,3.5
3/12/2015 4:00,3.5,3.5,3.5,3.5
1/29/2015 4:00,3.5,3.5,3.5,3.5
12/11/2014 4:00,3.5,3.5,3.5,3.5
10/30/2014 4:00,3.5,3.5,3.5,3.5
9/11/2014 5:00,3.5,3.5,3.5,3.5
7/24/2014 5:00,3.5,3.5,3.25,3.25
6/12/2014 5:00,3.25,3.25,3,3
4/24/2014 5:00,3,3,2.75,2.75
3/13/2014 4:00,2.75,2.75,2.5,2.5
1/30/2014 4:00,2.5,2.5,2.5,2.5
12/12/2013 4:00,2.5,2.5,2.5,2.5
10/31/2013 4:00,2.5,2.5,2.5,2.5
9/12/2013 5:00,2.5,2.5,2.5,2.5
7/25/2013 5:00,2.5,2.5,2.5,2.5
6/13/2013 5:00,2.5,2.5,2.5,2.5
4/24/2013 5:00,2.5,2.5,2.5,2.5
3/14/2013 4:00,2.5,2.5,2.5,2.5
1/31/2013 4:00,2.5,2.5,2.5,2.5
12/6/2012 4:00,2.5,2.5,2.5,2.5
10/25/2012 4:00,2.5,2.5,2.5,2.5
9/13/2012 5:00,2.5,2.5,2.5,2.5
7/26/2012 5:00,2.5,2.5,2.5,2.5
6/14/2012 5:00,2.5,2.5,2.5,2.5
4/26/2012 5:00,2.5,2.5,2.5,2.5
3/8/2012 4:00,2.5,2.5,2.5,2.5
1/26/2012 4:00,2.5,2.5,2.5,2.5
12/8/2011 4:00,2.5,2.5,2.5,2.5
10/27/2011 4:00,2.5,2.5,2.5,2.5
9/15/2011 5:00,2.5,2.5,2.5,2.5
7/28/2011 5:00,2.5,2.5,2.5,2.5
6/9/2011 5:00,2.5,2.5,2.5,2.5
4/28/2011 5:00,2.5,2.5,2.5,2.5
3/10/2011 4:00,2.5,2.75,3,3
1/27/2011 4:00,3,3,3,3
12/9/2010 4:00,3,3,3,3
10/28/2010 4:00,3,3,3,3
9/16/2010 5:00,3,3,3,3
7/29/2010 5:00,3,3,2.75,2.75
6/10/2010 5:00,2.75,2.75,2.5,2.5
4/29/2010 5:00,2.5,2.5,2.5,2.5
3/11/2010 4:00,2.5,2.5,2.5,2.5
1/28/2010 4:00,2.5,2.5,2.5,2.5
12/10/2009 4:00,2.5,2.5,2.5,2.5
10/29/2009 4:00,2.5,2.5,2.5,2.5
9/10/2009 5:00,2.5,2.5,2.5,2.5
7/30/2009 5:00,2.5,2.5,2.5,2.5
6/11/2009 5:00,2.5,2.5,2.5,2.5
4/30/2009 5:00,2.5,2.5,3,3
3/12/2009 4:00,3,2.75,3.5,3.5
1/29/2009 4:00,3.5,4,5,5
12/4/2008 4:00,5,5,6.5,6.5
10/23/2008 4:00,6.5,6.5,7.5,7.5
9/11/2008 5:00,7.5,7.75,8,8
7/24/2008 5:00,8,8.25,8.25,8.25
6/5/2008 6:00,8.25,8.25,8.25,8.25
4/24/2008 5:00,8.25,8.25,8.25,8.25
3/6/2008 4:00,8.25,8.25,8.25,8.25
2/1/2008 17:00,8.25,None,8.25,8.25
1/1/2008 17:00,8.25,None,8.25,8.25
12/1/2007 17:00,8.25,None,8.25,8.25
11/1/2007 17:00,8.25,None,8.25,8.25
10/1/2007 17:00,8.25,None,8.25,8.25
9/1/2007 17:00,8.25,None,8.05,8.05
8/1/2007 17:00,8.05,None,7.95,7.95
7/1/2007 17:00,7.95,None,7.75,7.75
6/1/2007 17:00,7.75,None,7.54,7.54
5/1/2007 17:00,7.54,None,7.44,7.44
4/1/2007 17:00,7.44,None,7.25,7.25
3/1/2007 17:00,7.25,None,7.25,7.25
2/1/2007 17:00,7.25,None,7.25,7.25
1/1/2007 17:00,7.25,None,7.25,7.25
12/1/2006 17:00,7.25,None,7.25,7.25
11/1/2006 17:00,7.25,None,7.25,7.25
10/1/2006 17:00,7.25,None,7.25,7.25
9/1/2006 17:00,7.25,None,7.25,7.25
8/1/2006 17:00,7.25,None,7.25,7.25
7/1/2006 17:00,7.25,None,7.25,7.25
6/1/2006 17:00,7.25,None,7.25,7.25
5/1/2006 17:00,7.25,None,7.25,7.25
4/1/2006 17:00,7.25,None,7.25,7.25
3/1/2006 17:00,7.25,None,7.25,7.25
2/1/2006 17:00,7.25,None,7.19,7.19
1/1/2006 17:00,7.19,None,7,7
12/1/2005 17:00,7,None,6.79,6.79
11/1/2005 17:00,6.79,None,6.75,6.75
10/1/2005 17:00,6.75,None,6.75,6.75
9/1/2005 17:00,6.75,None,6.75,6.75
8/1/2005 17:00,6.75,None,6.75,6.75
7/1/2005 17:00,6.75,None,6.75,6.75
6/1/2005 17:00,6.75,None,6.75,6.75
5/1/2005 17:00,6.75,None,6.67,6.67
4/1/2005 17:00,6.67,None,6.5,6.5
3/1/2005 17:00,6.5,None,6.5,6.5
2/1/2005 17:00,6.5,None,6.5,6.5
1/1/2005 17:00,6.5,None,6.5,6.5
12/1/2004 17:00,6.5,None,6.27,6.27
11/1/2004 17:00,6.27,None,6.18,6.18
10/1/2004 17:00,6.18,None,6,6
9/1/2004 17:00,6,None,5.77,5.77
8/1/2004 17:00,5.77,None,5.67,5.67
7/1/2004 17:00,5.67,None,5.5,5.5
6/1/2004 17:00,5.5,None,5.27,5.27
5/1/2004 17:00,5.27,None,5.25,5.25
4/1/2004 17:00,5.25,None,5.25,5.25
3/1/2004 17:00,5.25,None,5.02,5.02
2/1/2004 17:00,5.02,None,5,5
1/1/2004 17:00,5,None,5,5
12/1/2003 17:00,5,None,5,5
11/1/2003 17:00,5,None,5,5
10/1/2003 17:00,5,None,5,5
9/1/2003 17:00,5,None,5.18,5.18
8/1/2003 17:00,5.18,None,5.29,5.29
7/1/2003 17:00,5.29,None,5.5,5.5
6/1/2003 17:00,5.5,None,5.69,5.69
5/1/2003 17:00,5.69,None,5.75,5.75
4/1/2003 17:00,5.75,None,5.75,5.75
3/1/2003 17:00,5.75,None,5.75,5.75
2/1/2003 17:00,5.75,None,5.75,5.75
1/1/2003 17:00,5.75,None,5.75,5.75
12/1/2002 17:00,5.75,None,5.75,5.75
11/1/2002 17:00,5.75,None,5.75,5.75
10/1/2002 17:00,5.75,None,5.75,5.75
9/1/2002 17:00,5.75,None,5.73,5.73
8/1/2002 17:00,5.73,None,5.5,5.5
7/1/2002 17:00,5.5,None,5.39,5.39
6/1/2002 17:00,5.39,None,5.11,5.11
5/1/2002 17:00,5.11,None,4.85,4.85
4/1/2002 17:00,4.85,None,4.75,4.75
3/1/2002 17:00,4.75,None,4.75,4.75
2/1/2002 17:00,4.75,None,4.75,4.75
1/1/2002 17:00,4.75,None,4.95,4.95
12/1/2001 17:00,4.95,None,5.25,5.25
11/1/2001 17:00,5.25,None,5.55,5.55
10/1/2001 17:00,5.55,None,5.75,5.75
9/1/2001 17:00,5.75,None,5.75,5.75
8/1/2001 17:00,5.75,None,5.75,5.75
7/1/2001 17:00,5.75,None,5.87,5.87
6/1/2001 17:00,5.87,None,6.15,6.15
5/1/2001 17:00,6.15,None,6.35,6.35
4/1/2001 17:00,6.35,None,6.5,6.5
3/1/2001 17:00,6.5,None,6.5,6.5
2/1/2001 17:00,6.5,None,6.5,6.5
1/1/2001 17:00,6.5,None,6.5,6.5
12/1/2000 17:00,6.5,,6.5,6.5
11/1/2000 17:00,6.5,,6.5,6.5
10/1/2000 17:00,6.5,,6.5,6.5
9/1/2000 17:00,6.5,,6.5,6.5
8/1/2000 17:00,6.5,,6.5,6.5
7/1/2000 17:00,6.5,,6.24,6.24
6/1/2000 17:00,6.24,,5.85,5.85
5/1/2000 17:00,5.85,,5.53,5.53
4/1/2000 17:00,5.53,,5.25,5.25
3/1/2000 17:00,5.25,,5.11,5.11
2/1/2000 17:00,5.11,,5,5
1/1/2000 17:00,5,,4.73,4.73
12/1/1999 17:00,4.73,,4.5,4.5
11/1/1999 17:00,4.5,,4.5,4.5
