datetime,Swiss_CPI_MoM_Actual,Swiss_CPI_MoM_Srv_Med,Swiss_CPI_MoM_Revised,Swiss_CPI_MoM_Prior
2023-09-01 14:30:00,None,None,-0.1,-0.1
2023-08-03 14:30:00,-0.1,-0.2,0.1,0.1
2023-07-03 14:30:00,0.1,0.2,0.3,0.3
2023-06-05 14:30:00,0.3,0.3,0.0,0.0
2023-05-05 14:30:00,0.0,0.2,0.2,0.2
2023-04-03 14:30:00,0.2,0.4,0.7,0.7
2023-03-06 15:30:00,0.7,0.4,0.6,0.6
2023-02-13 15:30:00,0.6,0.4,-0.2,-0.2
2023-01-04 15:30:00,-0.2,-0.2,0.1,0.0
2022-12-01 15:30:00,0.0,0.1,0.1,0.1
2022-11-03 15:30:00,0.1,0.2,-0.2,-0.2
2022-10-03 14:30:00,-0.2,0.2,0.3,0.3
2022-09-01 14:30:00,0.3,0.2,0.5,0.0
2022-08-03 14:30:00,0.0,-0.1,0.5,0.5
2022-07-04 14:30:00,0.5,0.3,0.7,0.7
2022-06-02 14:30:00,0.7,0.3,0.4,0.4
2022-05-05 14:30:00,0.4,0.3,0.6,0.6
2022-04-01 14:30:00,0.6,0.5,0.7,0.7
2022-03-03 15:30:00,0.7,0.3,0.2,0.2
2022-02-11 15:30:00,0.2,0.1,-0.1,-0.1
2022-01-04 15:30:00,-0.1,-0.1,0.3,0.0
2021-12-01 15:30:00,0.0,-0.1,0.3,0.3
2021-11-02 15:30:00,0.3,0.1,0.2,0.0
2021-10-04 14:30:00,0.0,0.2,0.2,0.2
2021-09-02 14:30:00,0.2,0.1,-0.1,-0.1
2021-08-02 14:30:00,-0.1,-0.1,0.1,0.1
2021-07-01 14:30:00,0.1,0.2,0.3,0.3
2021-06-07 14:30:00,0.3,0.3,0.2,0.2
2021-05-05 14:30:00,0.2,0.2,0.3,0.3
2021-04-01 14:30:00,0.3,0.4,0.2,0.2
2021-03-03 15:30:00,0.2,0.4,0.1,0.1
2021-02-12 15:30:00,0.1,None,-0.1,-0.1
2021-01-05 15:30:00,-0.1,-0.1,-0.2,-0.2
2020-12-02 15:30:00,-0.2,-0.1,0.0,0.0
2020-11-03 15:30:00,0.0,0.0,0.0,0.0
2020-10-01 14:30:00,0.0,0.0,0.0,0.0
2020-09-03 14:30:00,0.0,0.1,-0.2,-0.2
2020-08-03 14:30:00,-0.2,-0.4,0.0,0.0
2020-07-02 14:30:00,0.0,0.1,0.0,0.0
2020-06-04 14:30:00,0.0,0.1,-0.4,-0.4
2020-05-05 14:30:00,-0.4,-0.1,0.1,0.1
2020-04-02 14:30:00,0.1,0.1,0.1,0.1
2020-03-04 15:30:00,0.1,0.2,-0.2,-0.2
2020-02-10 15:30:00,-0.2,-0.2,0.0,0.0
2020-01-07 15:30:00,0.0,-0.1,-0.1,-0.1
2019-12-03 15:30:00,-0.1,-0.1,-0.2,-0.2
2019-11-01 15:30:00,-0.2,0.1,-0.1,-0.1
2019-10-02 14:30:00,-0.1,0.1,0.0,0.0
2019-09-03 14:30:00,0.0,-0.1,-0.5,-0.5
2019-08-02 14:30:00,-0.5,-0.3,0.0,0.0
2019-07-04 14:30:00,0.0,-0.1,0.3,0.3
2019-06-03 14:30:00,0.3,0.3,0.2,0.2
2019-05-03 14:30:00,0.2,0.2,0.5,0.5
2019-04-02 14:30:00,0.5,0.4,0.4,0.4
2019-03-05 15:30:00,0.4,0.4,-0.3,-0.3
2019-02-11 15:30:00,-0.3,-0.2,-0.3,-0.3
2019-01-09 15:30:00,-0.3,-0.2,-0.3,-0.3
2018-12-04 16:15:00,-0.3,-0.1,0.2,0.2
2018-11-01 16:15:00,0.2,0.2,0.1,0.1
2018-10-05 15:15:00,0.1,0.2,0.0,0.0
2018-09-04 15:15:00,0.0,0.0,-0.2,-0.2
2018-08-03 15:15:00,-0.2,-0.3,0.0,0.0
2018-07-05 15:15:00,0.0,0.1,0.4,0.4
2018-06-06 15:15:00,0.4,0.3,0.2,0.2
2018-05-07 15:15:00,0.2,0.3,0.4,0.4
2018-04-05 15:15:00,0.4,0.2,0.4,0.4
2018-03-06 16:15:00,0.4,0.3,-0.1,-0.1
2018-02-12 16:00:00,-0.1,-0.1,0.0,0.0
2018-01-08 16:15:00,0.0,-0.1,-0.1,-0.1
2017-12-06 16:15:00,-0.1,0.2,0.1,0.1
2017-11-06 16:15:00,0.1,0.2,0.2,0.2
2017-10-05 15:15:00,0.2,0.2,0.0,0.0
2017-09-05 15:15:00,0.0,0.0,-0.3,-0.3
2017-08-07 15:15:00,-0.3,-0.3,-0.1,-0.1
2017-07-06 15:15:00,-0.1,0.0,0.2,0.2
2017-06-08 15:15:00,0.2,0.1,0.2,0.2
2017-05-11 15:15:00,0.2,0.2,0.2,0.2
2017-04-06 15:15:00,0.2,0.2,0.5,0.5
2017-03-08 16:15:00,0.5,0.2,0.0,0.0
2017-02-14 16:15:00,0.0,-0.1,-0.1,-0.1
2017-01-05 16:15:00,-0.1,-0.1,-0.2,-0.2
2016-12-06 16:15:00,-0.2,-0.1,0.1,0.1
2016-11-07 16:15:00,0.1,0.2,0.1,0.1
2016-10-06 15:15:00,0.1,0.2,-0.1,-0.1
2016-09-06 15:15:00,-0.1,-0.1,-0.4,-0.4
2016-08-08 15:15:00,-0.4,-0.5,0.1,0.1
2016-07-07 15:15:00,0.1,0.1,0.1,0.1
2016-06-08 15:15:00,0.1,0.2,0.3,0.3
2016-05-09 15:15:00,0.3,0.1,0.3,0.3
2016-04-08 15:15:00,0.3,0.3,0.2,0.2
2016-03-08 16:15:00,0.2,-0.1,-0.4,-0.4
2016-02-11 16:15:00,-0.4,-0.4,-0.4,-0.4
2016-01-08 16:15:00,-0.4,-0.3,-0.1,-0.1
2015-12-04 16:15:00,-0.1,-0.1,0.1,0.1
2015-11-05 16:15:00,0.1,0.0,0.1,0.1
2015-10-06 15:15:00,0.1,0.1,-0.2,-0.2
2015-09-04 15:15:00,-0.2,-0.2,-0.6,-0.6
2015-08-05 15:15:00,-0.6,-0.4,0.1,0.1
2015-07-06 15:15:00,0.1,-0.1,0.2,0.2
2015-06-09 15:15:00,0.2,0.1,-0.2,-0.2
2015-05-08 15:15:00,-0.2,0.1,0.3,0.3
2015-04-08 15:15:00,0.3,0.2,-0.3,-0.3
2015-03-06 16:15:00,-0.3,-0.1,-0.4,-0.4
2015-02-10 16:15:00,-0.4,-0.6,-0.5,-0.5
2015-01-09 16:15:00,-0.5,-0.3,0.0,0.0
2014-12-08 16:15:00,0.0,-0.1,0.0,0.0
2014-11-05 16:15:00,0.0,0.1,0.1,0.1
2014-10-07 15:15:00,0.1,0.2,0.0,0.0
2014-09-08 15:15:00,0.0,-0.1,-0.4,-0.4
2014-08-06 15:15:00,-0.4,-0.4,-0.1,-0.1
2014-07-08 15:15:00,-0.1,0.1,0.3,0.3
2014-06-06 15:15:00,0.3,0.2,0.1,0.1
2014-05-08 15:15:00,0.1,0.1,0.4,0.4
2014-04-07 15:15:00,0.4,0.2,0.1,0.1
2014-03-07 16:15:00,0.1,0.2,-0.3,-0.3
2014-02-12 16:15:00,-0.3,-0.3,-0.2,-0.2
2014-01-10 16:15:00,-0.2,-0.1,0.0,0.0
2013-12-06 16:15:00,0.0,-0.2,-0.1,-0.1
2013-11-05 16:15:00,-0.1,0.1,0.3,0.3
2013-10-08 15:15:00,0.3,0.3,-0.1,-0.1
2013-09-06 15:15:00,-0.1,0.0,-0.4,-0.4
2013-08-07 15:15:00,-0.4,-0.4,0.1,0.1
2013-07-05 15:15:00,0.1,-0.1,0.1,0.1
2013-06-06 15:15:00,0.1,0.1,0.0,0.0
2013-05-08 15:15:00,0.0,0.1,0.2,0.2
2013-04-09 15:15:00,0.2,0.3,0.3,0.3
2013-03-08 16:15:00,0.3,0.3,-0.3,-0.3
2013-02-12 16:15:00,-0.3,-0.3,-0.2,-0.2
2013-01-11 16:15:00,-0.2,0.1,-0.3,-0.3
2012-12-06 16:15:00,-0.3,0.0,0.1,0.1
2012-11-07 16:15:00,0.1,0.3,0.3,0.3
2012-10-08 15:15:00,0.3,0.3,0.0,0.0
2012-09-05 15:15:00,0.0,0.1,-0.5,-0.5
2012-08-07 15:15:00,-0.5,-0.6,-0.3,-0.3
2012-07-06 15:15:00,-0.3,-0.3,0.0,0.0
2012-06-07 15:15:00,0.0,0.1,0.1,0.1
2012-05-07 15:15:00,0.1,0.2,0.6,0.6
2012-04-05 15:15:00,0.6,0.4,0.3,0.3
2012-03-08 16:15:00,0.3,0.2,-0.4,-0.4
2012-02-10 16:15:00,-0.4,-0.3,-0.2,-0.2
2012-01-06 16:15:00,-0.2,-0.1,-0.2,-0.2
2011-12-06 16:15:00,-0.2,0.1,-0.1,-0.1
2011-11-07 16:15:00,-0.1,0.2,0.3,0.3
2011-10-06 15:15:00,0.3,0.1,-0.3,-0.3
2011-09-06 15:15:00,-0.3,-0.2,-0.8,-0.8
2011-08-05 15:15:00,-0.8,-0.5,-0.2,-0.2
2011-07-07 15:15:00,-0.2,-0.2,0.0,0.0
2011-06-07 15:15:00,0.0,-0.1,0.1,0.1
2011-05-10 15:15:00,0.1,0.5,0.6,0.6
2011-04-06 15:15:00,0.6,0.2,0.4,0.4
2011-03-09 16:15:00,0.4,0.3,-0.4,-0.4
2011-02-10 16:15:00,-0.4,-0.2,0.0,0.0
2011-01-06 16:15:00,0.0,-0.2,0.2,0.2
2010-12-03 16:15:00,0.2,0.1,0.5,0.5
2010-11-04 16:15:00,0.5,0.6,0.0,0.0
2010-10-05 15:15:00,0.0,0.0,0.0,0.0
2010-09-03 15:15:00,0.0,0.1,-0.7,-0.7
2010-08-03 15:15:00,-0.7,-0.5,-0.4,-0.4
2010-07-06 15:15:00,-0.4,0.1,-0.1,-0.1
2010-06-08 15:15:00,-0.1,0.1,0.9,0.9
2010-05-06 15:15:00,0.9,0.8,0.1,0.1
2010-04-06 15:15:00,0.1,0.1,0.1,0.1
2010-03-09 16:15:00,0.1,0.2,-0.1,-0.1
2010-02-11 16:15:00,-0.1,-0.4,-0.2,-0.2
2010-01-07 16:15:00,-0.2,0.1,0.2,0.2
2009-12-04 16:15:00,0.2,0.1,0.6,0.6
2009-11-05 16:15:00,0.6,0.6,0.0,0.0
2009-10-06 15:15:00,0.0,0.2,0.1,0.1
2009-09-04 15:15:00,0.1,0.2,-0.7,-0.7
2009-08-04 15:15:00,-0.7,-0.6,0.2,0.2
2009-07-03 15:15:00,0.2,0.0,0.2,0.2
2009-06-05 15:15:00,0.2,0.2,0.9,0.9
2009-05-07 15:15:00,0.9,0.6,-0.3,-0.3
2009-04-03 15:15:00,-0.3,0.0,0.2,0.2
2009-03-06 16:15:00,0.2,-0.1,-0.8,-0.8
2009-02-10 16:15:00,-0.8,-0.5,-0.5,-0.5
2009-01-08 14:45:00,-0.5,-0.3,-0.7,-0.7
2008-12-02 14:45:00,-0.7,-0.3,0.5,0.5
2008-11-04 14:45:00,0.5,0.4,0.1,-0.3
2008-09-02 13:45:00,-0.3,-0.1,-0.4,-0.4
2008-07-31 13:45:00,-0.4,-0.5,0.2,0.2
2008-07-03 13:45:00,0.2,0.4,0.8,0.8
2008-06-03 14:45:00,0.8,0.4,0.8,0.8
2008-05-06 13:45:00,0.8,0.8,0.3,0.3
2008-04-04 13:45:00,0.3,0.2,0.1,0.1
2008-03-04 14:45:00,0.1,0.2,-0.3,-0.3
2008-02-01 17:00:00,-0.3,,0.2,0.2
2008-01-01 17:00:00,0.2,,0.5,0.5
2007-12-01 17:00:00,0.5,,0.9,0.9
2007-11-01 17:00:00,0.9,,0.1,0.1
2007-10-01 17:00:00,0.1,,-0.1,-0.1
2007-09-01 17:00:00,-0.1,,-0.6,-0.6
2007-08-01 17:00:00,-0.6,,0.1,0.1
2007-07-01 17:00:00,0.1,,0.2,0.2
2007-06-01 17:00:00,0.2,,1.1,1.1
2007-05-01 17:00:00,1.1,,0.1,0.1
2007-04-01 17:00:00,0.1,,0.2,0.2
2007-03-01 17:00:00,0.2,,-0.7,-0.7
2007-02-01 17:00:00,-0.7,,0.0,0.0
2007-01-01 17:00:00,0.0,,0.0,0.0
2006-12-01 17:00:00,0.0,,0.3,0.3
2006-11-01 17:00:00,0.3,,-0.2,-0.2
2006-10-01 17:00:00,-0.2,,0.2,0.2
2006-09-01 17:00:00,0.2,,-0.7,-0.7
2006-08-01 17:00:00,-0.7,,0.0,0.0
2006-07-01 17:00:00,0.0,,0.2,0.2
2006-06-01 17:00:00,0.2,,0.8,0.8
2006-05-01 17:00:00,0.8,,-0.1,-0.1
2006-04-01 17:00:00,-0.1,,0.3,0.3
2006-03-01 17:00:00,0.3,,-0.2,-0.2
2006-02-01 17:00:00,-0.2,,-0.1,-0.1
2006-01-01 17:00:00,-0.1,,-0.3,-0.3
2005-12-01 17:00:00,-0.3,,0.9,0.9
2005-11-01 17:00:00,0.9,,0.4,0.4
2005-10-01 17:00:00,0.4,,0.1,0.1
2005-09-01 17:00:00,0.1,,-0.5,-0.5
2005-08-01 17:00:00,-0.5,,-0.2,-0.2
2005-07-01 17:00:00,-0.2,,-0.1,-0.1
2005-06-01 17:00:00,-0.1,,0.8,0.8
2005-05-01 17:00:00,0.8,,0.2,0.2
2005-04-01 17:00:00,0.2,,0.2,0.2
2005-03-01 17:00:00,0.2,,-0.5,-0.5
2005-02-01 17:00:00,-0.5,,-0.2,-0.2
2005-01-01 17:00:00,-0.2,,0.1,0.1
2004-12-01 17:00:00,0.1,,0.9,0.9
2004-11-01 17:00:00,0.9,,0.0,0.0
2004-10-01 17:00:00,0.0,,0.4,0.4
2004-09-01 17:00:00,0.4,,-1.0,-1.0
2004-08-01 17:00:00,-1.0,,0.2,0.2
2004-07-01 17:00:00,0.2,,0.2,0.2
2004-06-01 17:00:00,0.2,,0.8,0.8
2004-05-01 17:00:00,0.8,,0.2,0.2
2004-04-01 17:00:00,0.2,,0.0,0.0
2004-03-01 17:00:00,0.0,,-0.3,-0.3
2004-02-01 17:00:00,-0.3,,0.0,0.0
2004-01-01 17:00:00,0.0,,-0.1,-0.1
2003-12-01 17:00:00,-0.1,,0.5,0.5
2003-11-01 17:00:00,0.5,,0.1,0.1
2003-10-01 17:00:00,0.1,,0.2,0.2
2003-09-01 17:00:00,0.2,,-0.8,-0.8
2003-08-01 17:00:00,-0.8,,0.0,0.0
2003-07-01 17:00:00,0.0,,-0.2,-0.2
2003-06-01 17:00:00,-0.2,,0.2,0.2
2003-05-01 17:00:00,0.2,,0.4,0.4
2003-04-01 17:00:00,0.4,,0.1,0.1
2003-03-01 17:00:00,0.1,,0.1,
