datetime,Swiss_PPI_MoM_Actual,Swiss_PPI_MoM_Srv_Med,Swiss_PPI_MoM_Revised,Swiss_PPI_MoM_Prior
2023-08-15 14:30:00,-0.1,0.2,0.0,0.0
2023-07-14 14:30:00,0.0,0.2,-0.3,-0.3
2023-06-15 14:30:00,-0.3,0.1,0.2,0.2
2023-05-15 14:30:00,0.2,-0.1,0.2,0.2
2023-04-14 14:30:00,0.2,0.2,-0.2,-0.2
2023-03-14 15:30:00,-0.2,0.5,0.7,0.7
2023-02-14 15:30:00,0.7,None,-0.7,-0.7
2023-01-19 15:30:00,-0.7,None,-0.5,-0.5
2022-12-14 15:30:00,-0.5,None,0.0,0.0
2022-11-14 15:30:00,0.0,0.2,0.2,0.2
2022-10-13 14:30:00,0.2,None,-0.1,-0.1
2022-09-13 14:30:00,-0.1,0.1,-0.1,-0.1
2022-08-15 14:30:00,-0.1,0.4,0.3,0.3
2022-07-14 14:30:00,0.3,0.9,0.9,0.9
2022-06-15 14:30:00,0.9,None,1.3,1.3
2022-05-12 14:30:00,1.3,None,0.8,0.8
2022-04-14 14:30:00,0.8,1.1,0.4,0.4
2022-03-15 15:30:00,0.4,0.4,0.6,0.6
2022-02-14 15:30:00,0.6,None,-0.1,-0.1
2022-01-18 15:30:00,-0.1,0.4,0.5,0.5
2021-12-14 15:30:00,0.5,None,0.6,0.6
2021-11-12 15:30:00,0.6,None,0.2,0.2
2021-10-14 14:30:00,0.2,None,0.7,0.7
2021-09-14 14:30:00,0.7,None,0.5,0.5
2021-08-13 14:30:00,0.5,None,0.3,0.3
2021-07-13 14:30:00,0.3,None,0.8,0.8
2021-06-14 14:30:00,0.8,None,0.7,0.7
2021-05-17 14:30:00,0.7,None,0.6,0.6
2021-04-16 14:30:00,0.6,None,0.3,0.0
2021-03-18 15:30:00,0.0,None,0.3,0.3
2021-02-23 15:30:00,0.3,None,0.5,0.5
2021-01-19 15:30:00,0.5,None,-0.1,-0.1
2020-12-15 15:30:00,-0.1,None,0.0,0.0
2020-11-13 15:30:00,0.0,None,0.1,0.1
2020-10-15 14:30:00,0.1,None,-0.4,-0.4
2020-09-15 14:30:00,-0.4,None,0.1,0.1
2020-08-14 14:30:00,0.1,None,0.5,0.5
2020-07-14 14:30:00,0.5,None,-0.5,-0.5
2020-06-15 14:30:00,-0.5,None,-1.3,-1.3
2020-05-14 14:30:00,-1.3,None,-0.3,-0.3
2020-04-16 14:30:00,-0.3,None,-0.9,-0.9
2020-03-16 15:30:00,-0.9,None,0.0,0.0
2020-02-14 15:30:00,0.0,None,0.1,0.1
2020-01-17 15:30:00,0.1,None,-0.4,-0.4
2019-12-12 15:30:00,-0.4,-0.1,-0.2,-0.2
2019-11-14 15:30:00,-0.2,-0.1,-0.3,-0.3
2019-10-15 14:30:00,-0.3,-0.1,-0.2,-0.2
2019-09-12 14:30:00,-0.2,-0.2,-0.1,-0.1
2019-08-15 14:30:00,-0.1,-0.2,-0.5,-0.5
2019-07-15 14:30:00,-0.5,0.1,0.0,0.0
2019-06-13 14:30:00,0.0,0.1,0.0,0.0
2019-05-14 14:30:00,0.0,0.2,0.3,0.3
2019-04-15 14:30:00,0.3,0.2,0.2,0.2
2019-03-14 15:30:00,0.2,-0.1,-0.7,-0.7
2019-02-14 15:30:00,-0.7,-0.4,-0.6,-0.6
2019-01-18 15:30:00,-0.6,-0.1,-0.3,-0.3
2018-12-13 16:15:00,-0.3,0.1,0.2,0.2
2018-11-13 16:15:00,0.2,0.1,-0.2,-0.2
2018-10-15 15:15:00,-0.2,0.1,0.0,0.0
2018-09-13 15:15:00,0.0,0.0,0.1,0.1
2018-08-14 15:15:00,0.1,0.3,0.2,0.2
2018-07-13 15:15:00,0.2,0.2,0.2,0.2
2018-06-13 15:15:00,0.2,0.3,0.4,0.4
2018-05-15 15:15:00,0.4,0.3,-0.2,-0.2
2018-04-16 15:15:00,-0.2,0.4,0.3,0.3
2018-03-15 16:15:00,0.3,0.2,0.3,0.3
2018-02-13 16:15:00,0.3,0.2,0.2,0.2
2018-01-19 16:15:00,0.2,None,0.6,0.6
2017-12-14 16:15:00,0.6,0.3,0.5,0.5
2017-11-14 16:15:00,0.5,0.2,0.5,0.5
2017-10-13 15:15:00,0.5,0.3,0.3,0.3
2017-09-13 15:15:00,0.3,0.2,0.0,0.0
2017-08-15 15:15:00,0.0,0.0,-0.1,-0.1
2017-07-13 15:15:00,-0.1,0.0,-0.3,-0.3
2017-06-15 15:15:00,-0.3,-0.1,-0.2,-0.2
