datetime,Swiss_RS_YoY_Actual,Swiss_RS_YoY_Srv_Med,Swiss_RS_YoY_Revised,Swiss_RS_YoY_Prior
2023-08-31 14:30:00,None,None,1.8,1.8
2023-07-28 14:30:00,1.8,None,-0.9,-1.1
2023-06-30 14:30:00,-1.1,-2.5,-4.0,-3.7
2023-05-31 14:30:00,-3.7,-1.4,-1.9,-1.9
2023-04-28 14:30:00,-1.9,0.7,-0.5,0.3
2023-03-31 14:30:00,0.3,-1.0,-1.7,-2.2
2023-03-01 15:30:00,-2.2,-2.2,-3.0,-2.8
2023-01-31 15:30:00,-2.8,-0.7,-1.4,-1.3
2023-01-06 15:30:00,-1.3,None,-2.6,-2.5
2022-12-01 15:30:00,-2.5,3.5,2.6,3.2
2022-10-31 15:30:00,3.2,3.5,2.1,3.0
2022-09-30 14:30:00,3.0,None,3.0,2.6
2022-09-01 14:30:00,2.6,0.9,0.7,1.2
2022-07-29 14:30:00,1.2,1.2,-1.3,-1.6
2022-06-30 14:30:00,-1.6,None,-5.5,-6.0
2022-05-31 14:30:00,-6.0,None,-6.6,-6.6
2022-04-29 14:30:00,-6.6,None,12.5,12.8
2022-03-31 14:30:00,12.8,None,5.7,5.1
2022-02-28 15:30:00,5.1,0.4,-0.5,-0.4
2022-02-01 15:30:00,-0.4,5.5,5.3,5.8
2022-01-07 15:30:00,5.8,None,2.2,1.2
2021-12-02 15:30:00,1.2,None,2.6,2.5
2021-11-02 15:30:00,2.5,None,0.8,0.5
2021-10-04 14:30:00,0.5,None,-2.3,-2.6
2021-09-02 14:30:00,-2.6,None,0.1,0.1
2021-08-02 14:30:00,0.1,None,2.8,2.8
2021-07-01 14:30:00,2.8,None,37.7,35.7
2021-06-01 14:30:00,35.7,None,23.1,22.6
2021-04-30 14:30:00,22.6,None,-6.6,-6.3
2021-04-01 14:30:00,-6.3,None,-0.7,-0.5
2021-03-01 15:30:00,-0.5,None,5.4,4.7
2021-02-01 15:30:00,4.7,None,1.8,1.7
2021-01-07 15:30:00,1.7,None,4.3,3.1
2020-11-30 15:30:00,3.1,None,0.4,0.3
2020-10-30 15:30:00,0.3,None,4.0,2.5
2020-10-01 14:30:00,2.5,None,3.6,4.1
2020-08-31 14:30:00,4.1,None,3.3,1.1
2020-07-31 14:30:00,1.1,None,6.2,6.6
2020-06-30 14:30:00,6.6,None,-18.8,-19.9
2020-06-02 14:30:00,-19.9,None,-5.8,-5.6
2020-04-30 14:30:00,-5.6,None,0.3,0.3
2020-03-31 14:30:00,0.3,-0.7,-0.1,-0.1
2020-02-28 15:30:00,-0.1,None,0.8,0.1
2020-01-31 15:30:00,0.1,None,0.5,0.0
2020-01-09 15:30:00,0.0,None,0.4,0.7
2019-12-02 15:30:00,0.7,None,1.6,0.9
2019-11-01 15:30:00,0.9,None,-1.0,-1.4
2019-10-01 14:30:00,-1.4,None,1.5,1.4
2019-09-02 14:30:00,1.4,None,0.7,0.7
2019-08-05 14:30:00,0.7,-0.6,-1.1,-1.7
2019-07-01 14:30:00,-1.7,0.6,-0.8,-0.7
2019-05-31 14:30:00,-0.7,-0.8,-0.7,-0.7
2019-05-02 14:30:00,-0.7,-0.4,-0.2,-0.2
2019-04-01 14:30:00,-0.2,0.3,-0.2,-0.4
2019-03-01 15:30:00,-0.4,0.3,-0.2,-0.3
2019-02-01 15:30:00,-0.3,0.1,-0.6,-0.5
2019-01-08 15:30:00,-0.5,-0.7,1.0,0.8
