datetime,UK_3MILO_Actual,UK_3MILO_Srv_Med,UK_3MILO_Revised,UK_3MILO_Prior
2023-08-15 14:00:00,-66,75,102,102
2023-07-11 14:00:00,102,125,250,250
2023-06-13 14:00:00,250,150,182,182
2023-05-16 14:00:00,182,160,169,169
2023-04-18 14:00:00,169,50,65,65
2023-03-14 15:00:00,65,52,74,74
2023-02-14 15:00:00,74,40,27,27
2023-01-17 15:00:00,27,5,27,27
2022-12-13 15:00:00,27,-17,-52,-52
2022-11-15 15:00:00,-52,-25,-109,-109
2022-10-11 14:00:00,-109,-155,40,40
2022-09-13 14:00:00,40,128,160,160
2022-08-16 14:00:00,160,256,296,296
2022-07-19 14:00:00,296,170,177,177
2022-06-14 14:00:00,177,105,83,83
2022-05-17 14:00:00,83,5,10,10
2022-04-12 14:00:00,10,50,-12,-12
2022-03-15 15:00:00,-12,23,-38,-38
2022-02-15 15:00:00,-38,-65,60,60
2022-01-18 15:00:00,60,125,149,149
2021-12-14 15:00:00,149,228,247,247
2021-11-16 15:00:00,247,185,235,235
2021-10-12 14:00:00,235,243,183,183
2021-09-14 14:00:00,183,178,95,95
2021-08-17 14:00:00,95,75,25,25
2021-07-15 14:00:00,25,90,113,113
2021-06-15 14:00:00,113,150,84,84
2021-05-18 14:00:00,84,50,-73,-73
2021-04-20 14:00:00,-73,-150,-147,-147
2021-03-23 15:00:00,-147,-167,-114,-114
2021-02-23 15:00:00,-114,-30,-88,-88
2021-01-26 15:00:00,-88,-100,-144,-144
2020-12-15 15:00:00,-144,-250,-164,-164
2020-11-10 15:00:00,-164,-148,-153,-153
2020-10-13 14:00:00,-153,-30,-12,-12
2020-09-15 14:00:00,-12,-125,-220,-220
2020-08-11 14:00:00,-220,-234,6,-125
2020-07-16 14:00:00,-125,-234,6,6
2020-06-16 14:00:00,6,-83,211,211
2020-05-19 14:00:00,211,50,172,172
2020-04-21 14:00:00,172,100,184,184
2020-03-17 17:30:00,184,143,180,180
2020-02-18 17:30:00,180,145,208,208
2020-01-21 17:30:00,208,110,24,24
2019-12-17 17:30:00,24,-10,-58,-58
2019-11-12 17:30:00,-58,-94,-56,-56
2019-10-15 16:30:00,-56,23,31,31
2019-09-10 16:30:00,31,53,115,115
2019-08-13 16:30:00,115,65,28,28.0
2019-07-16 16:30:00,28.0,45.0,32.0,32.0
2019-06-11 16:30:00,32.0,-1.0,99.0,99.0
2019-05-14 16:30:00,99.0,141.0,179.0,179.0
2019-04-16 16:30:00,179.0,173.0,222.0,222.0
2019-03-19 17:30:00,222.0,120.0,167.0,167.0
2019-02-19 17:30:00,167.0,152.0,141.0,141.0
2019-01-22 17:30:00,141.0,88.0,79.0,79.0
2018-12-11 17:30:00,79.0,25.0,23.0,23.0
2018-11-13 17:30:00,23.0,25.0,-5.0,-5.0
2018-10-16 16:30:00,-5.0,11.0,3.0,3.0
2018-09-11 16:30:00,3.0,27.0,42.0,42.0
2018-08-14 16:30:00,42.0,93.0,137.0,137.0
2018-07-17 16:30:00,137.0,150.0,146.0,146.0
2018-06-12 16:30:00,146.0,124.0,197.0,197.0
2018-05-15 16:30:00,197.0,129.0,55.0,55.0
2018-04-17 16:30:00,55.0,55.0,168.0,168.0
2018-03-21 17:30:00,168.0,84.0,88.0,88.0
2018-02-21 17:30:00,88.0,180.0,102.0,
