datetime,UK_AEI_Actual,UK_AEI_Srv_Med,UK_AEI_Revised,UK_AEI_Prior
8/15/2023 14:00,8.2,7.3,7.2,6.9
7/11/2023 14:00,6.9,6.8,6.7,6.5
6/13/2023 14:00,6.5,6.1,6.1,5.8
5/16/2023 14:00,5.8,5.8,5.8,5.9
4/18/2023 14:00,5.9,5.1,5.9,5.7
3/14/2023 15:00,5.7,5.7,6,5.9
2/14/2023 15:00,5.9,6.2,6.5,6.4
1/17/2023 15:00,6.4,6.2,6.2,6.1
12/13/2022 15:00,6.1,6.2,6,6
11/15/2022 15:00,6,5.9,6.1,6
10/11/2022 14:00,6,5.9,5.5,5.5
9/13/2022 14:00,5.5,5.4,5.2,5.1
8/16/2022 14:00,5.1,4.5,6.4,6.2
7/19/2022 14:00,6.2,6.7,6.8,6.8
6/14/2022 14:00,6.8,7.6,7,7
5/17/2022 14:00,7,5.4,5.6,5.4
4/12/2022 14:00,5.4,5.4,4.8,4.8
3/15/2022 15:00,4.8,4.6,4.6,4.3
2/15/2022 15:00,4.3,3.8,4.2,4.2
1/18/2022 15:00,4.2,4.2,4.9,4.9
12/14/2021 15:00,4.9,4.6,5.9,5.8
11/16/2021 15:00,5.8,5.6,7.2,7.2
10/12/2021 14:00,7.2,7,8.3,8.3
9/14/2021 14:00,8.3,8.2,8.8,8.8
8/17/2021 14:00,8.8,8.6,7.4,7.3
7/15/2021 14:00,7.3,7.1,5.7,5.6
6/15/2021 14:00,5.6,4.9,4.3,4
5/18/2021 14:00,4,4.5,4.5,4.5
4/20/2021 14:00,4.5,4.8,4.8,4.8
3/23/2021 15:00,4.8,4.9,4.7,4.7
2/23/2021 15:00,4.7,4.1,3.7,3.6
1/26/2021 15:00,3.6,2.9,2.8,2.7
12/15/2020 15:00,2.7,2.2,1.3,1.3
11/10/2020 15:00,1.3,1,0.1,0
10/13/2020 14:00,0,-0.6,-1,-1
9/15/2020 14:00,-1,-1.3,-1.2,-1.2
8/11/2020 14:00,-1.2,-1.1,-0.3,-0.3
7/16/2020 14:00,-0.3,-0.4,1,1
6/16/2020 14:00,1,1.4,2.3,2.4
5/19/2020 14:00,2.4,2.6,2.8,2.8
4/21/2020 14:00,2.8,3,3.1,3.1
3/17/2020 17:30,3.1,3,2.9,2.9
2/18/2020 17:30,2.9,3,3.2,3.2
1/21/2020 17:30,3.2,3.1,3.2,3.2
12/17/2019 17:30,3.2,3.4,3.7,3.6
11/12/2019 17:30,3.6,3.8,3.7,3.8
10/15/2019 16:30,3.8,4,3.9,4
9/10/2019 16:30,4,3.7,3.8,3.7
8/13/2019 16:30,3.7,3.7,3.5,3.4
7/16/2019 16:30,3.4,3.1,3.2,3.1
6/11/2019 16:30,3.1,2.9,3.3,3.2
5/14/2019 16:30,3.2,3.4,3.5,3.5
4/16/2019 16:30,3.5,3.5,3.5,3.4
3/19/2019 17:30,3.4,3.2,3.5,3.4
2/19/2019 17:30,3.4,3.5,3.4,3.4
1/22/2019 17:30,3.4,3.3,3.3,3.3
12/11/2018 17:30,3.3,3,3.1,3
11/13/2018 17:30,3,3,2.8,2.7
10/16/2018 16:30,2.7,2.6,2.6,2.6
9/11/2018 16:30,2.6,2.4,2.4,2.4
8/14/2018 16:30,2.4,2.5,2.5,2.5
7/17/2018 16:30,2.5,2.5,2.6,2.5
6/12/2018 16:30,2.5,2.5,2.6,2.6
5/15/2018 16:30,2.6,2.7,2.8,2.8
4/17/2018 16:30,2.8,3,2.8,2.8
3/21/2018 17:30,2.8,2.6,2.7,2.5
2/21/2018 17:30,2.5,2.5,2.5,2.5
1/24/2018 17:30,2.5,2.5,2.5,2.5
12/13/2017 17:30,2.5,2.5,2.3,2.2
11/15/2017 17:30,2.2,2.1,2.3,2.2
10/18/2017 16:30,2.2,2.1,2.2,2.1
9/13/2017 16:30,2.1,2.3,2.1,2.1
8/16/2017 16:30,2.1,1.8,1.9,1.8
7/12/2017 16:30,1.8,1.8,2.1,2.1
6/14/2017 16:30,2.1,2.4,2.3,2.4
5/17/2017 16:30,2.4,2.4,2.3,2.3
4/12/2017 16:30,2.3,2.2,2.3,2.2
3/15/2017 17:30,2.2,2.4,2.6,2.6
2/15/2017 17:30,2.6,2.8,2.8,2.8
1/18/2017 17:30,2.8,2.6,2.6,2.5
12/14/2016 17:30,2.5,2.3,2.4,2.3
11/16/2016 17:30,2.3,2.4,2.3,2.3
10/19/2016 16:30,2.3,2.3,2.4,2.3
9/14/2016 16:30,2.3,2.1,2.5,2.4
8/17/2016 16:30,2.4,2.4,2.3,2.3
7/20/2016 16:30,2.3,2.3,2,2
6/15/2016 16:30,2,1.7,2,2
5/18/2016 16:30,2,1.7,1.9,1.8
4/20/2016 16:30,1.8,2.3,2.1,2.1
3/16/2016 17:30,2.1,2,1.9,1.9
2/17/2016 17:30,1.9,1.9,2.1,2
1/20/2016 17:30,2,2.1,2.4,2.4
12/16/2015 17:30,2.4,2.5,3,3
11/11/2015 17:30,3,3.2,3,3
10/14/2015 16:30,3,3.1,2.9,2.9
9/16/2015 16:30,2.9,2.5,2.6,2.4
8/12/2015 16:30,2.4,2.8,3.2,3.2
7/15/2015 16:30,3.2,3.3,2.7,2.7
6/17/2015 16:30,2.7,2.1,2.3,1.9
5/13/2015 16:30,1.9,1.7,1.7,1.7
4/17/2015 16:30,1.7,1.8,1.9,1.8
3/18/2015 17:30,1.8,2.2,2.1,2.1
2/18/2015 17:30,2.1,1.7,1.8,1.7
1/21/2015 17:30,1.7,1.7,1.4,1.4
12/17/2014 17:30,1.4,1.2,1,1
11/12/2014 17:30,1,0.9,0.7,0.7
10/15/2014 16:30,0.7,0.7,0.6,0.6
9/17/2014 16:30,0.6,0.5,-0.1,-0.2
8/13/2014 16:30,-0.2,-0.1,0.4,0.3
7/16/2014 16:30,0.3,0.5,0.8,0.7
6/11/2014 16:30,0.7,1.2,1.9,1.7
5/14/2014 16:30,1.7,2.1,1.7,1.7
4/16/2014 16:30,1.7,1.8,1.4,1.4
3/19/2014 17:30,1.4,1.3,1.2,1.1
2/19/2014 17:30,1.1,1,0.9,0.9
1/22/2014 17:30,0.9,1,0.9,0.9
12/18/2013 17:30,0.9,0.8,0.8,3.5
11/1/2003 17:00,3.5,,3.1,3.1
10/1/2003 17:00,3.1,,2.8,2.8
9/1/2003 17:00,2.8,,2.7,2.7
8/1/2003 17:00,2.7,,2.7,2.7
7/1/2003 17:00,2.7,,3.3,3.3
6/1/2003 17:00,3.3,,3.2,3.2
5/1/2003 17:00,3.2,,3.1,3.1
4/1/2003 17:00,3.1,,2.4,2.4
3/1/2003 17:00,2.4,,2.5,2.5
2/1/2003 17:00,2.5,,2.6,2.6
1/1/2003 17:00,2.6,,2.9,2.9
12/1/2002 17:00,2.9,,3,3
11/1/2002 17:00,3,,3.3,3.3
10/1/2002 17:00,3.3,,3.5,3.5
9/1/2002 17:00,3.5,,3.8,3.8
8/1/2002 17:00,3.8,,3.7,3.7
7/1/2002 17:00,3.7,,3.4,3.4
6/1/2002 17:00,3.4,,3.1,3.1
5/1/2002 17:00,3.1,,3.1,3.1
4/1/2002 17:00,3.1,,3.3,3.3
3/1/2002 17:00,3.3,,3.8,3.8
2/1/2002 17:00,3.8,,4.1,4.1
1/1/2002 17:00,4.1,,4.5,4.5
12/1/2001 17:00,4.5,,4.7,4.7
11/1/2001 17:00,4.7,,4.8,4.8
10/1/2001 17:00,4.8,,5.2,5.2
9/1/2001 17:00,5.2,,5.2,5.2
8/1/2001 17:00,5.2,,5.5,5.5
7/1/2001 17:00,5.5,,5.2,5.2
6/1/2001 17:00,5.2,,6.3,6.3
