datetime,UK_CPINSA_Actual,UK_CPINSA_Srv_Med,UK_CPINSA_Revised,UK_CPINSA_Prior
2023-08-16 14:00:00,130.90,None,131.50,131.50
2023-07-19 14:00:00,131.50,None,131.30,131.30
2023-06-21 14:00:00,131.30,None,130.40,130.40
2023-05-24 14:00:00,130.40,None,128.90,128.90
2023-04-19 14:00:00,128.90,None,127.90,127.90
2023-03-22 15:00:00,127.90,None,126.40,126.40
2023-02-15 15:00:00,126.40,None,127.20,127.20
2023-01-18 15:00:00,127.20,None,126.70,126.70
2022-12-14 15:00:00,126.70,None,126.20,126.20
2022-11-16 15:00:00,126.20,None,123.80,123.80
2022-10-19 14:00:00,123.80,None,123.10,123.10
2022-09-14 14:00:00,123.10,None,122.50,122.50
2022-08-17 14:00:00,122.50,None,121.80,121.80
2022-07-20 14:00:00,121.80,None,120.80,120.80
2022-06-22 14:00:00,120.80,None,120.00,120.00
2022-05-18 14:00:00,120.00,None,117.10,117.10
2022-04-13 14:00:00,117.10,None,115.80,115.80
2022-03-23 15:00:00,115.80,None,114.90,114.90
2022-02-16 15:00:00,114.90,None,115.10,115.10
2022-01-19 15:00:00,115.10,None,114.50,114.50
2021-12-15 15:00:00,114.50,None,113.60,113.60
2021-11-17 15:00:00,113.60,None,112.40,112.40
2021-10-20 14:00:00,112.40,None,112.10,112.10
2021-09-15 14:00:00,112.10,None,111.30,111.30
2021-08-18 14:00:00,111.30,None,111.30,111.30
2021-07-14 14:00:00,111.30,None,110.80,110.80
2021-06-16 14:00:00,110.80,None,110.10,110.10
2021-05-19 14:00:00,110.10,None,109.40,109.40
2021-04-21 14:00:00,109.40,None,109.10,109.10
2021-03-24 15:00:00,109.10,None,109.00,109.00
2021-02-17 15:00:00,109.00,None,109.20,109.20
2021-01-20 15:00:00,109.20,None,108.90,108.90
2020-12-16 15:00:00,108.90,None,109.10,109.10
2020-11-18 15:00:00,109.10,None,109.10,109.10
2020-10-21 14:00:00,109.10,None,108.60,108.60
2020-09-16 14:00:00,108.60,None,109.10,109.1
2020-08-19 14:00:00,109.1,,108.6,108.6
2020-07-15 14:00:00,108.6,,108.5,108.5
2020-06-17 14:00:00,108.5,,108.5,108.5
2020-05-20 14:00:00,108.5,,108.6,108.6
2020-04-22 14:00:00,108.6,,108.6,108.6
2020-03-25 15:00:00,108.6,,108.2,108.2
2020-02-19 17:30:00,108.2,,108.5,108.53
2020-01-15 17:30:00,108.53,,108.55,108.55
2019-12-18 17:30:00,108.55,,108.3,108.3
2019-11-13 17:30:00,108.3,,108.48,108.48
2019-10-16 16:30:00,108.48,,108.38,108.38
2019-09-18 16:30:00,108.38,,107.95,107.9
2019-08-14 16:30:00,107.9,,107.93,
