datetime,UK_CPMI_MoM_Actual,UK_CPMI_MoM_Srv_Med,UK_CPMI_MoM_Revised,UK_CPMI_MoM_Prior,Is_P
2023-09-05 16:30:00,None,None,None,50.8,0.0
2023-08-23 16:30:00,None,50.3,50.8,50.7,1.0
2023-08-03 16:30:00,50.8,50.7,52.8,52.8,0.0
2023-07-24 16:30:00,50.7,52.4,52.8,52.8,1.0
2023-07-05 16:30:00,52.8,52.8,54.0,54.0,0.0
2023-06-23 16:30:00,52.8,53.6,54.0,53.9,1.0
2023-06-05 16:30:00,54.0,53.9,54.9,54.9,0.0
2023-05-23 16:30:00,53.9,54.6,54.9,53.9,1.0
2023-05-04 16:30:00,54.9,53.9,52.2,52.2,0.0
2023-04-21 16:30:00,53.9,52.6,52.2,52.2,1.0
2023-04-05 16:30:00,52.2,52.2,53.1,53.1,0.0
2023-03-24 17:30:00,52.2,52.7,53.1,53.0,1.0
2023-03-03 17:30:00,53.1,53.0,48.5,48.5,0.0
2023-02-21 17:30:00,53.0,49.0,48.5,47.8,1.0
2023-02-03 17:30:00,48.5,47.8,49.0,49.0,0.0
2023-01-24 17:30:00,47.8,49.3,49.0,49.0,1.0
2023-01-05 17:30:00,49.0,49.0,48.2,48.2,0.0
2022-12-16 17:30:00,49.0,None,48.2,48.3,1.0
2022-12-05 17:30:00,48.2,48.3,48.2,48.2,0.0
2022-11-23 17:30:00,48.3,47.2,48.2,47.2,1.0
2022-11-03 17:30:00,48.2,47.2,49.1,49.1,0.0
2022-10-24 16:30:00,47.2,48.1,49.1,48.4,1.0
2022-10-05 16:30:00,49.1,48.4,49.6,49.6,0.0
2022-09-23 16:30:00,48.4,49.0,49.6,50.9,1.0
2022-09-05 16:30:00,49.6,50.9,52.1,52.1,0.0
2022-08-23 16:30:00,50.9,51.3,52.1,52.8,1.0
2022-08-03 16:30:00,52.1,52.8,53.7,53.7,0.0
2022-07-22 16:30:00,52.8,52.5,53.7,53.1,1.0
2022-07-05 16:30:00,53.7,53.1,53.1,53.1,0.0
2022-06-23 16:30:00,53.1,52.6,51.8,51.8,1.0
2022-06-07 16:30:00,53.1,51.8,58.2,58.2,0.0
2022-05-24 16:30:00,51.8,56.5,58.2,57.6,1.0
2022-05-05 16:30:00,58.2,57.6,57.6,60.9,0.0
2022-04-22 16:30:00,57.6,59.7,60.9,59.7,1.0
2022-04-05 16:30:00,60.9,59.7,59.9,59.9,0.0
2022-03-24 17:30:00,59.7,58.7,59.9,60.2,1.0
2022-03-03 17:30:00,59.9,60.2,54.2,54.2,0.0
2022-02-21 17:30:00,60.2,55.0,54.2,53.4,1.0
2022-02-03 17:30:00,54.2,53.4,53.6,53.6,0.0
2022-01-24 17:30:00,53.4,55.0,53.6,53.2,1.0
2022-01-06 17:30:00,53.6,53.2,57.6,57.6,0.0
2021-12-16 17:30:00,53.2,None,57.6,57.7,1.0
2021-12-03 17:30:00,57.6,57.7,57.8,57.8,0.0
2021-11-23 17:30:00,57.7,54.1,57.8,56.8,1.0
2021-11-03 17:30:00,57.8,56.8,54.9,54.9,0.0
2021-10-22 16:30:00,56.8,54.0,54.9,54.1,1.0
2021-10-05 16:30:00,54.9,54.1,54.8,54.8,0.0
2021-09-23 16:30:00,54.1,None,54.8,55.3,1.0
2021-09-03 16:30:00,54.8,55.3,59.2,59.2,0.0
2021-08-23 16:30:00,55.3,None,59.2,57.7,1.0
2021-08-04 16:30:00,59.2,57.7,62.2,62.2,0.0
2021-07-23 16:30:00,57.7,61.9,62.2,61.7,1.0
2021-07-05 16:30:00,62.2,61.7,62.9,62.9,0.0
2021-06-23 16:30:00,61.7,62.8,62.9,62.0,1.0
2021-06-03 16:30:00,62.9,62.0,62.0,60.7,0.0
2021-05-21 16:30:00,62.0,60.0,60.0,56.6,1.0
2021-05-06 16:30:00,60.7,60.0,56.4,56.4,0.0
2021-04-07 16:30:00,56.4,56.6,49.6,49.6,0.0
2021-03-24 17:30:00,56.6,51.1,49.6,49.8,1.0
2021-03-03 17:30:00,49.6,49.8,41.2,41.2,0.0
2021-02-19 17:30:00,49.8,42.2,41.2,40.6,1.0
2021-02-03 17:30:00,41.2,40.6,40.6,50.4,0.0
2021-01-22 17:30:00,40.6,50.7,50.4,50.7,1.0
2021-01-06 17:30:00,50.4,50.7,49.0,49.0,0.0
2020-12-16 17:30:00,50.7,51.3,49.0,47.4,1.0
