datetime,UK_CPPI_NSA_Actual,UK_CPPI_NSA_Srv_Med,UK_CPPI_NSA_Revised,UK_CPPI_NSA_Prior
2023-08-16 14:00:00,2.3,1.6,3.1,3.0
2023-07-19 14:00:00,3.0,2.8,3.9,4.1
2023-06-21 14:00:00,4.1,4.7,6.0,6.0
2023-05-24 14:00:00,6.0,7.3,8.3,8.5
2023-04-19 14:00:00,8.5,8.6,10.2,10.4
2023-03-22 15:00:00,10.4,None,11.2,11.1
2023-02-15 15:00:00,11.1,None,12.0,12.4
2023-01-25 15:00:00,12.4,None,13.5,13.3
2022-11-16 15:00:00,13.3,None,14.4,14.0
2022-10-19 14:00:00,14.0,None,13.9,13.7
2022-09-14 14:00:00,13.7,None,14.4,14.6
2022-08-17 14:00:00,14.6,None,14.9,15.2
2022-07-20 14:00:00,15.2,None,15.0,14.8
2022-06-22 14:00:00,14.8,None,13.9,13.0
2022-05-18 14:00:00,13.0,None,11.8,12.0
2022-04-13 14:00:00,12.0,None,9.9,9.9
2022-03-23 15:00:00,9.9,None,9.5,9.3
2022-02-16 15:00:00,9.3,None,8.6,8.7
2022-01-19 15:00:00,8.7,None,8.2,7.9
2021-12-15 15:00:00,7.9,None,7.1,6.5
2021-11-17 15:00:00,6.5,None,6.0,5.9
2021-10-20 14:00:00,5.9,None,5.4,5.3
2021-09-15 14:00:00,5.3,None,4.2,3.9
2021-08-18 14:00:00,3.9,None,3.1,2.7
2021-07-14 14:00:00,2.7,None,2.3,2.7
2021-06-16 14:00:00,2.7,None,2.5,2.5
2021-05-19 14:00:00,2.5,None,2.0,1.7
2021-04-21 14:00:00,1.7,None,1.7,1.4
2021-03-24 15:00:00,1.4,None,1.5,1.4
2021-02-17 15:00:00,1.4,None,1.1,1.2
2021-01-20 15:00:00,1.2,None,1.0,0.9
2020-12-16 15:00:00,0.9,0.4,0.7,0.5
2020-11-18 15:00:00,0.5,0.4,0.1,0.3
2020-10-21 14:00:00,0.3,0.1,0.1,0.0
2020-09-16 14:00:00,0.0,0.3,0.1,0.1
2020-08-19 14:00:00,0.1,0.3,0.5,0.5
2020-07-15 14:00:00,0.5,0.6,0.6,0.6
2020-06-17 14:00:00,0.6,0.6,0.7,0.6
2020-05-20 14:00:00,0.6,0.6,0.9,0.9
2020-04-22 14:00:00,0.9,0.5,0.5,0.4
2020-03-25 15:00:00,0.4,0.5,0.2,0.7
2020-02-19 17:30:00,0.7,0.8,0.9,0.9
2020-01-15 17:30:00,0.9,1.0,1.1,1.1
2019-12-18 17:30:00,1.1,1.2,1.3,1.3
2019-11-13 17:30:00,1.3,1.5,1.7,1.7
2019-10-16 16:30:00,1.7,1.9,2.0,2.0
2019-09-18 16:30:00,2.0,2.0,2.0,2.0
2019-08-14 16:30:00,2.0,1.7,1.7,1.7
2019-07-17 16:30:00,1.7,1.7,2.0,2.0
2019-06-19 16:30:00,2.0,2.0,2.2,2.2
2019-05-22 16:30:00,2.2,2.2,2.2,2.2
2019-04-17 16:30:00,2.2,2.2,2.3,2.2
2019-03-20 17:30:00,2.2,2.3,2.4,2.4
2019-02-13 17:30:00,2.4,2.3,2.4,2.5
2019-01-16 17:30:00,2.5,2.4,2.4,2.4
2018-12-19 17:30:00,2.4,2.3,2.5,2.4
2018-11-14 17:30:00,2.4,2.4,2.4,2.4
2018-10-17 16:30:00,2.4,2.3,2.2,2.1
2018-09-19 16:30:00,2.1,2.1,2.3,2.2
2018-08-15 16:30:00,2.2,2.1,2.4,2.1
2018-07-18 16:30:00,2.1,2.1,2.1,2.1
2018-06-13 16:30:00,2.1,2.5,2.0,2.4
2018-05-23 16:30:00,2.4,2.1,2.7,2.2
2018-04-18 16:30:00,2.2,2.2,2.5,2.4
2018-03-20 17:30:00,2.4,2.4,2.2,2.2
2018-02-13 17:30:00,2.2,2.3,2.4,2.5
2018-01-16 17:30:00,2.5,2.3,2.2,2.2
2017-12-12 17:30:00,2.2,2.2,2.1,2.1
2017-11-14 17:30:00,2.1,2.2,2.5,2.5
2017-10-17 16:30:00,2.5,2.6,2.5,2.5
2017-09-12 16:30:00,2.5,2.3,2.5,2.4
2017-08-15 16:30:00,2.4,2.5,2.9,2.9
2017-07-18 16:30:00,2.9,2.8,2.8,2.8
2017-06-13 16:30:00,2.8,2.9,2.8,2.8
2017-05-16 16:30:00,2.8,2.5,2.5,2.5
2017-04-11 16:30:00,2.5,2.5,2.4,2.4
2017-03-21 17:30:00,2.4,2.5,2.5,2.4
2017-02-14 17:30:00,2.4,2.2,2.1,2.1
2017-01-17 17:30:00,2.1,2.2,2.3,2.2
2016-12-13 17:30:00,2.2,2.3,2.0,1.9
2016-11-15 17:30:00,1.9,1.7,1.4,1.4
2016-10-18 16:30:00,1.4,1.4,1.4,1.3
2016-09-13 16:30:00,1.3,1.3,1.0,1.0
2016-08-16 16:30:00,1.0,0.8,0.7,0.7
2016-07-19 16:30:00,0.7,0.6,0.6,0.5
2016-06-14 16:30:00,0.5,0.6,0.5,0.5
2016-05-17 16:30:00,0.5,0.3,0.3,0.2
2016-04-12 16:30:00,0.2,0.3,0.1,0.2
2016-03-22 17:30:00,0.2,0.1,0.0,0.0
2016-02-16 17:30:00,0.0,0.1,0.1,0.1
2016-01-19 17:30:00,0.1,-0.1,-0.1,-0.1
2015-12-15 17:30:00,-0.1,0.1,0.3,0.3
2015-11-17 17:30:00,0.3,0.4,0.2,0.2
2015-10-13 16:30:00,0.2,0.2,0.1,0.1
2015-09-15 16:30:00,0.1,0.2,0.2,0.3
2015-08-18 16:30:00,0.3,0.2,0.1,0.1
2015-07-14 16:30:00,0.1,0.1,0.1,0.1
2015-06-16 16:30:00,0.1,0.1,0.1,0.1
2015-05-19 16:30:00,0.1,0.1,0.1,0.1
2015-04-14 16:30:00,0.1,0.1,0.3,0.2
2015-03-24 17:30:00,0.2,0.4,0.3,0.5
2015-02-17 17:30:00,0.5,0.4,0.8,0.8
2015-01-13 17:30:00,0.8,1.2,0.9,1.4
2014-12-16 17:30:00,1.4,1.0,0.9,0.9
2014-11-18 17:30:00,0.9,0.8,0.8,0.8
2014-10-14 16:30:00,0.8,0.9,0.9,0.9
2014-09-16 16:30:00,0.9,0.9,0.8,0.9
2014-08-19 16:30:00,0.9,0.9,1.0,1.0
2014-07-15 16:30:00,1.0,1.0,1.0,1.0
2014-06-17 16:30:00,1.0,1.1,1.0,1.0
2014-05-20 16:30:00,1.0,1.0,1.1,1.0
2014-04-15 16:30:00,1.0,0.9,1.1,1.1
2014-03-25 17:30:00,1.1,1.1,1.2,1.2
2014-02-18 17:30:00,1.2,0.7,1.0,1.0
2014-01-14 17:30:00,1.0,0.9,0.7,0.7
2013-12-17 17:30:00,0.7,0.9,0.8,0.9
2013-11-12 17:30:00,0.9,0.7,0.8,0.7
2013-10-15 16:30:00,0.7,0.9,1.0,1.0
2013-09-17 16:30:00,1.0,1.1,1.1,1.1
2013-08-13 16:30:00,1.1,1.2,0.9,1.0
2013-07-16 16:30:00,1.0,1.1,0.8,0.8
2013-06-18 16:30:00,0.8,0.9,0.7,0.80
2013-05-01 17:00:00,0.80,None,0.90,0.90
2013-04-01 17:00:00,0.90,None,0.70,0.70
2013-03-01 17:00:00,0.70,None,0.80,0.80
2013-02-01 17:00:00,0.80,None,0.40,0.40
2013-01-01 17:00:00,0.40,None,0.70,0.70
2012-12-01 17:00:00,0.70,None,0.60,0.60
2012-11-01 17:00:00,0.60,None,0.50,0.50
2012-10-01 17:00:00,0.50,None,0.50,0.50
2012-09-01 17:00:00,0.50,None,0.80,0.80
2012-08-01 17:00:00,0.80,None,1.00,1.00
2012-07-01 17:00:00,1.00,None,1.30,1.30
2012-06-01 17:00:00,1.30,None,1.40,1.40
2012-05-01 17:00:00,1.40,None,2.00,2.00
2012-04-01 17:00:00,2.00,None,2.30,2.30
2012-03-01 17:00:00,2.30,None,2.20,2.20
2012-02-01 17:00:00,2.20,None,2.60,2.60
2012-01-01 17:00:00,2.60,None,2.60,2.60
2011-12-01 17:00:00,2.60,None,2.90,2.90
2011-11-01 17:00:00,2.90,None,3.10,3.10
2011-10-01 17:00:00,3.10,None,3.20,3.20
2011-09-01 17:00:00,3.20,None,2.80,2.80
2011-08-01 17:00:00,2.80,None,2.80,2.80
2011-07-01 17:00:00,2.80,None,3.00,3.00
2011-06-01 17:00:00,3.00,None,3.00,3.00
2011-05-01 17:00:00,3.00,None,2.50,2.50
2011-04-01 17:00:00,2.50,None,2.50,2.50
2011-03-01 17:00:00,2.50,None,2.40,2.40
2011-02-01 17:00:00,2.40,None,2.00,2.00
2011-01-01 17:00:00,2.00,None,2.10,2.10
2010-12-01 17:00:00,2.10,None,2.00,2.00
2010-11-01 17:00:00,2.00,None,2.10,2.10
2010-10-01 17:00:00,2.10,None,2.20,2.20
2010-09-01 17:00:00,2.20,None,2.30,2.30
2010-08-01 17:00:00,2.30,None,1.90,1.90
2010-07-01 17:00:00,1.90,None,1.20,1.20
2010-06-01 17:00:00,1.20,None,1.10,1.10
2010-05-01 17:00:00,1.10,None,0.80,0.80
2010-04-01 17:00:00,0.80,None,0.40,0.40
2010-03-01 17:00:00,0.40,None,0.10,0.10
