datetime,UK_GDP_MoM_Actual,UK_GDP_MoM_Srv_Med,UK_GDP_MoM_Revised,UK_GDP_MoM_Prior,Is_P
2023-08-11 14:00:00,0.5,0.2,-0.1,-0.1,0.0
2023-07-13 14:00:00,-0.1,-0.3,0.2,0.2,0.0
2023-06-14 14:00:00,0.2,0.2,-0.3,-0.3,0.0
2023-05-12 14:00:00,-0.3,0.1,0.0,0.0,0.0
2023-04-13 14:00:00,0.0,0.1,0.4,0.3,0.0
2023-03-10 15:00:00,0.3,0.1,-0.5,-0.5,0.0
2023-02-10 15:00:00,-0.5,-0.3,0.1,0.1,0.0
2023-01-13 15:00:00,0.1,-0.3,0.5,0.5,0.0
2022-12-12 15:00:00,0.5,0.4,-0.6,-0.6,0.0
2022-11-11 15:00:00,-0.6,-0.4,-0.1,-0.3,0.0
2022-10-12 14:00:00,-0.3,0.0,0.1,0.2,0.0
2022-09-12 14:00:00,0.2,0.3,-0.6,-0.6,0.0
2022-08-12 14:00:00,-0.6,-1.2,0.4,0.5,0.0
2022-07-13 14:00:00,0.5,0.1,-0.2,-0.3,0.0
2022-06-13 14:00:00,-0.3,0.1,-0.1,-0.1,0.0
2022-05-12 14:00:00,-0.1,0.0,0.1,0.1,0.0
2022-04-11 14:00:00,0.1,0.3,0.8,0.8,0.0
2022-03-11 15:00:00,0.8,0.2,-0.2,-0.2,0.0
2022-02-11 15:00:00,-0.2,None,0.9,0.9,0.0
2022-01-14 15:00:00,0.9,None,0.2,0.1,0.0
2021-12-10 15:00:00,0.1,0.4,0.6,0.4,0.0
2021-11-11 15:00:00,0.6,None,0.4,,1.0
2021-10-13 14:00:00,0.4,0.5,-0.1,0.1,0.0
2021-09-10 14:00:00,0.1,None,1.0,0.8,0.0
2021-07-09 14:00:00,0.8,None,2.0,2.3,0.0
2021-06-11 14:00:00,2.3,2.2,2.1,2.1,0.0
2021-05-12 14:00:00,2.1,None,0.4,0.4,0.0
2021-04-13 14:00:00,0.4,0.6,-2.2,-2.9,0.0
2021-03-12 15:00:00,-2.9,-4.9,1.2,1.2,0.0
2021-02-12 15:00:00,1.2,None,-2.3,-2.6,0.0
2021-01-15 15:00:00,-2.6,None,0.4,0.4,0.0
2020-12-10 15:00:00,0.4,None,1.1,1.1,0.0
2020-11-12 15:00:00,1.1,1.5,2.1,2.1,0.0
2020-10-09 14:00:00,2.1,None,6.4,6.6,0.0
2020-09-11 14:00:00,6.6,6.7,8.7,8.7,0.0
2020-08-12 14:00:00,8.7,8.0,1.8,1.8,0.0
2020-07-14 14:00:00,1.8,5.5,-20.4,-20.4,0.0
2020-06-12 14:00:00,-20.4,-18.7,-5.8,-5.8,0.0
2020-05-13 14:00:00,-5.8,None,-0.1,-0.1,0.0
2020-04-09 14:00:00,-0.1,None,0.0,0.0,0.0
2020-03-11 17:30:00,0.0,0.2,0.3,0.3,0.0
2020-02-11 17:30:00,0.3,0.2,-0.3,-0.3,0.0
2020-01-13 17:30:00,-0.3,None,0.1,0.0,0.0
2019-12-10 17:30:00,0.0,0.1,-0.1,-0.1,0.0
2019-11-11 17:30:00,-0.1,None,-0.1,-0.1,0.0
2019-10-10 16:30:00,-0.1,0.0,0.3,0.3,0.0
2019-09-09 16:30:00,0.3,None,0.0,0.0,0.0
2019-08-09 16:30:00,0.0,0.1,0.2,0.3,0.0
2019-07-10 16:30:00,0.3,0.3,-0.4,-0.4,0.0
2019-06-10 16:30:00,-0.4,-0.1,-0.1,-0.1,0.0
2019-05-10 16:30:00,-0.1,0.0,0.2,0.2,0.0
2019-04-10 16:30:00,0.2,0.2,0.5,0.5,0.0
2019-03-12 17:30:00,0.5,None,-0.4,-0.4,0.0
2019-02-11 17:30:00,-0.4,0.0,0.2,0.2,0.0
2019-01-11 17:30:00,0.2,0.1,0.1,0.1,0.0
2018-12-10 17:30:00,0.1,0.1,0.0,0.0,0.0
2018-11-09 17:30:00,0.0,0.1,0.0,0.0,0.0
2018-10-10 16:30:00,0.0,0.1,0.4,0.3,0.0
2018-09-10 16:30:00,0.3,0.2,0.1,0.1,0.0
2018-08-10 16:30:00,0.1,0.2,0.3,0.3,0.0
2018-07-10 16:30:00,0.3,0.3,0.2,,0.0
