datetime,UK_GDP_YoY_Actual,UK_GDP_YoY_Srv_Med,UK_GDP_YoY_Revised,UK_GDP_YoY_Prior,Is_P
2023-08-11 14:00:00,0.4,0.2,0.2,0.2,1.0
2023-06-30 14:00:00,0.2,0.2,0.6,0.6,0.0
2023-05-12 14:00:00,0.2,0.2,0.6,0.4,1.0
2023-03-31 14:00:00,0.6,0.4,0.2,0.2,0.0
2023-02-10 15:00:00,0.4,0.4,1.9,1.9,1.0
2023-01-13 15:00:00,0.2,0.3,1.5,1.5,0.0
2022-12-22 15:00:00,1.9,2.4,4.0,2.9,1.0
2022-12-12 15:00:00,1.5,1.4,1.3,1.3,0.0
2022-11-11 15:00:00,1.3,2.1,2.5,2.0,0.0
2022-10-12 14:00:00,2.0,2.4,3.1,4.4,0.0
2022-09-30 14:00:00,4.4,2.9,8.7,2.3,0.0
2022-09-12 14:00:00,2.3,None,2.9,3.5,0.0
2022-08-12 14:00:00,2.9,2.8,8.7,8.7,1.0
2022-07-13 14:00:00,3.5,2.7,3.7,3.4,0.0
2022-06-30 14:00:00,8.7,8.7,6.6,8.7,1.0
2022-06-13 14:00:00,3.4,3.9,6.4,9.5,0.0
2022-05-12 14:00:00,8.7,9.0,6.6,6.6,1.0
2022-04-11 14:00:00,9.5,9.5,10.5,10.0,0.0
2022-03-31 14:00:00,6.6,6.5,6.9,6.5,1.0
2022-03-11 15:00:00,10.0,9.3,6.0,6.8,0.0
2022-02-11 15:00:00,6.5,6.4,7.0,5.3,1.0
2021-12-22 15:00:00,6.8,6.6,24.6,4.6,0.0
2021-11-11 15:00:00,5.3,6.8,23.6,23.6,1.0
2021-10-13 14:00:00,6.9,6.7,7.5,7.5,0.0
2021-09-30 14:00:00,23.6,22.2,-5.8,22.2,1.0
2021-09-10 14:00:00,7.5,None,22.2,-6.1,0.0
2021-08-12 14:00:00,22.2,22.1,-6.1,-6.1,1.0
2021-06-30 14:00:00,-6.1,-6.1,-7.8,-7.8,0.0
2021-05-12 14:00:00,-6.1,-6.1,-7.3,-7.3,1.0
2021-04-13 14:00:00,-7.8,-7.3,-8.5,-9.2,0.0
2021-03-31 14:00:00,-7.3,-7.8,-7.8,-7.8,1.0
2021-03-12 15:00:00,-9.2,-7.8,-8.6,-8.6,0.0
2021-02-12 15:00:00,-7.8,-8.1,-8.7,-9.6,1.0
2020-12-22 15:00:00,-8.6,-9.6,-21.5,-21.5,0.0
2020-11-12 15:00:00,-9.6,-9.4,-21.5,-21.7,1.0
2020-09-30 14:00:00,-21.5,-21.7,-1.7,-1.7,0.0
2020-08-12 14:00:00,-21.7,-22.4,-1.7,-1.6,1.0
2020-06-30 14:00:00,-1.7,-1.6,0.3,0.3,0.0
2020-05-13 14:00:00,-1.6,-2.1,1.1,1.1,1.0
2020-04-09 14:00:00,0.3,1.1,0.7,0.6,0.0
2020-03-31 14:00:00,1.1,1.1,1.1,1.1,1.0
2021-12-10 15:00:00,4.6,6.6,5.3,6.9,0.0
2020-03-11 17:30:00,0.6,0.9,1.2,0.6,0.0
2020-02-11 17:30:00,1.1,0.8,1.2,1.2,1.0
2020-01-13 17:30:00,0.6,None,1.0,1.1,0.0
2019-12-20 17:30:00,1.1,1.0,1.0,0.7,0.0
2019-12-10 17:30:00,0.7,0.7,0.9,1.0,0.0
2019-11-11 17:30:00,1.0,1.1,1.3,1.1,0.0
2019-10-10 16:30:00,1.1,0.9,1.3,1.3,0.0
2019-09-30 16:30:00,1.3,1.2,1.2,1.8,0.0
2019-08-09 16:30:00,1.2,1.4,1.8,1.8,1.0
2019-06-28 16:30:00,1.8,1.8,1.8,1.3,0.0
2019-06-10 16:30:00,1.3,None,1.8,2.0,0.0
2019-05-10 16:30:00,1.8,1.8,1.4,1.5,1.0
2019-04-10 16:30:00,2.0,1.7,1.5,1.4,0.0
2019-03-29 17:30:00,1.4,1.3,1.3,1.3,0.0
2019-02-11 17:30:00,1.3,1.4,1.6,1.5,0.0
2018-12-21 17:30:00,1.5,1.5,1.5,1.5,1.0
2018-12-10 17:30:00,1.5,1.6,1.5,1.2,1.0
2018-11-09 17:30:00,1.5,1.5,1.2,1.2,0.0
2018-09-28 16:30:00,1.2,1.3,1.1,1.3,1.0
2018-08-10 16:30:00,1.3,1.3,1.2,1.2,1.0
2018-06-29 16:30:00,1.2,1.2,1.3,1.4,0.0
2018-05-25 16:30:00,1.2,1.2,1.2,1.2,1.0
2018-04-27 16:30:00,1.2,1.4,1.4,1.4,1.0
2018-03-29 16:30:00,1.4,1.4,1.4,1.7,0.0
2018-02-22 17:30:00,1.4,1.5,1.5,1.5,1.0
2018-01-26 17:30:00,1.5,1.4,1.7,1.5,1.0
2017-12-22 17:30:00,1.7,1.5,1.9,1.5,0.0
2017-11-23 17:30:00,1.5,1.5,1.5,1.5,1.0
2017-10-25 16:30:00,1.5,1.4,1.5,1.7,1.0
2017-09-29 16:30:00,1.5,1.7,1.7,2.0,0.0
2017-08-24 16:30:00,1.7,1.7,1.7,1.7,1.0
2017-07-26 16:30:00,1.7,1.7,2.0,2.0,1.0
2017-06-30 16:30:00,2.0,2.0,2.0,1.9,0.0
2017-05-25 16:30:00,2.0,2.1,2.1,2.1,1.0
2017-04-28 16:30:00,2.1,2.2,1.9,2.2,1.0
2017-03-31 16:30:00,1.9,2.0,2.0,2.0,0.0
2017-02-22 17:30:00,2.0,2.2,2.2,2.2,0.0
2017-01-26 17:30:00,2.2,2.1,2.2,2.3,1.0
2016-12-23 17:30:00,2.2,2.3,2.3,2.1,0.0
2016-11-25 17:30:00,2.3,2.3,2.3,2.3,1.0
2016-10-27 16:30:00,2.3,2.1,2.1,2.2,1.0
2016-09-30 16:30:00,2.1,2.2,1.9,2.0,0.0
2016-08-26 16:30:00,2.2,2.2,2.2,2.2,1.0
2016-07-27 16:30:00,2.2,2.0,2.0,2.0,1.0
2016-06-30 16:30:00,2.0,2.0,2.0,2.1,0.0
2016-05-26 16:30:00,2.0,2.1,2.1,2.1,1.0
2016-04-27 16:30:00,2.1,2.0,2.1,1.9,1.0
2016-03-31 16:30:00,2.1,1.9,1.9,2.1,0.0
2016-02-25 17:30:00,1.9,1.9,1.9,1.9,1.0
2016-01-28 17:30:00,1.9,1.9,2.1,2.3,1.0
2015-12-23 17:30:00,2.1,2.3,2.3,2.4,0.0
2015-11-27 17:30:00,2.3,2.3,2.3,2.3,1.0
2015-10-27 17:30:00,2.3,2.4,2.4,2.6,1.0
2015-09-30 16:30:00,2.4,2.6,2.6,2.9,0.0
2015-08-28 16:30:00,2.6,2.6,2.6,2.6,1.0
2015-07-28 16:30:00,2.6,2.6,2.9,2.4,1.0
2015-06-30 16:30:00,2.9,2.5,2.4,3.0,0.0
2015-05-28 16:30:00,2.4,2.5,2.4,2.4,1.0
2015-04-28 16:30:00,2.4,2.6,3.0,2.7,1.0
2015-03-31 16:30:00,3.0,2.7,2.7,2.6,0.0
2015-02-26 17:30:00,2.7,2.7,2.7,2.7,1.0
2015-01-27 17:30:00,2.7,2.8,2.6,3.0,1.0
2014-12-23 17:30:00,2.6,3.0,2.6,3.2,0.0
2014-11-26 17:30:00,3.0,3.0,3.0,3.0,1.0
2014-10-24 16:30:00,3.0,3.0,3.2,3.2,1.0
2014-09-30 16:30:00,3.2,3.2,3.2,3.0,0.0
2014-08-15 16:30:00,3.2,3.1,3.1,3.1,1.0
2014-07-25 16:30:00,3.1,3.1,3.0,3.1,1.0
2014-06-27 16:30:00,3.0,3.1,3.1,2.7,0.0
2014-05-22 16:30:00,3.1,3.1,3.1,3.1,1.0
2014-04-29 16:30:00,3.1,3.2,2.7,2.7,1.0
2014-03-28 17:30:00,2.7,2.7,2.7,1.9,0.0
2014-02-26 17:30:00,2.7,2.8,2.8,2.8,1.0
2014-01-28 17:30:00,2.8,2.8,1.9,1.5,1.0
2013-12-20 17:30:00,1.9,1.5,1.5,1.3,0.0
2013-11-27 17:30:00,1.5,1.5,1.5,1.5,1.0
2013-10-25 16:30:00,1.5,1.5,1.3,1.5,1.0
2013-09-26 16:30:00,1.3,1.5,1.5,0.3,0.0
2013-08-23 16:30:00,1.5,1.4,1.4,1.4,1.0
2013-07-25 16:30:00,1.4,1.4,0.3,0.6,1.0
2013-06-27 16:30:00,0.3,0.6,0.6,0.2,0.0
2013-05-23 16:30:00,0.6,0.6,0.6,0.6,1.0
2013-04-25 16:30:00,0.6,0.3,0.2,0.3,1.0
2013-03-27 17:30:00,0.2,0.3,0.3,0.0,0.0
2013-02-27 17:30:00,0.3,0.0,0.0,0.0,1.0
2013-01-25 17:30:00,0.0,0.2,0.0,-0.1,1.0
2012-12-21 17:30:00,0.0,-0.1,-0.1,-0.5,0.0
2012-11-27 17:30:00,-0.1,0.0,0.0,0.0,1.0
2012-10-25 16:30:00,0.0,-0.5,-0.5,-0.5,1.0
2012-09-27 16:30:00,-0.5,-0.5,-0.5,-0.2,0.0
2012-08-24 16:30:00,-0.5,-0.6,-0.8,-0.8,1.0
2012-07-25 16:30:00,-0.8,-0.3,-0.2,-0.1,1.0
2012-06-28 16:30:00,-0.2,-0.1,-0.1,,0.0
2012-05-24 16:30:00,-0.1,0.0,0.0,0.0,1.0
2012-04-25 16:30:00,0.0,0.3,0.5,,1.0
