datetime,UK_SPMI_MoM_Actual,UK_SPMI_MoM_Srv_Med,UK_SPMI_MoM_Revised,UK_SPMI_MoM_Prior,Is_P
2023-09-05 16:30:00,None,None,None,51.5,0.0
2023-08-23 16:30:00,None,50.8,51.5,51.5,1.0
2023-08-03 16:30:00,51.5,51.5,53.7,53.7,0.0
2023-07-24 16:30:00,51.5,53.0,53.7,53.7,1.0
2023-07-05 16:30:00,53.7,53.7,55.2,55.2,0.0
2023-06-23 16:30:00,53.7,54.8,55.2,55.1,1.0
2023-06-05 16:30:00,55.2,55.1,55.9,55.9,0.0
2023-05-23 16:30:00,55.1,55.5,55.9,54.9,1.0
2023-05-04 16:30:00,55.9,54.9,52.9,52.9,0.0
2023-04-21 16:30:00,54.9,53.0,52.9,52.8,1.0
2023-04-05 16:30:00,52.9,52.8,53.5,53.5,0.0
2023-03-24 17:30:00,52.8,53.0,53.5,53.3,1.0
2023-03-03 17:30:00,53.5,53.3,48.7,48.7,0.0
2023-02-21 17:30:00,53.3,49.2,48.7,48.0,1.0
2023-02-03 17:30:00,48.7,48.0,49.9,49.9,0.0
2023-01-24 17:30:00,48.0,49.6,49.9,50.0,1.0
2023-01-05 17:30:00,49.9,50.0,48.8,48.8,0.0
2022-12-16 17:30:00,50.0,49.2,48.8,48.8,1.0
2022-12-05 17:30:00,48.8,48.8,48.8,48.8,0.0
2022-11-23 17:30:00,48.8,48.0,48.8,47.5,1.0
2022-11-03 17:30:00,48.8,47.5,50.0,50.0,0.0
2022-10-24 16:30:00,47.5,49.6,50.0,49.2,1.0
2022-10-05 16:30:00,50.0,49.2,50.9,50.9,0.0
2022-09-23 16:30:00,49.2,50.0,50.9,52.5,1.0
2022-09-05 16:30:00,50.9,52.5,52.6,52.6,0.0
2022-08-23 16:30:00,52.5,52.0,52.6,53.3,1.0
2022-08-03 16:30:00,52.6,53.3,54.3,54.3,0.0
2022-07-22 16:30:00,53.3,53.0,54.3,53.4,1.0
2022-07-05 16:30:00,54.3,53.4,53.4,53.4,0.0
2022-06-23 16:30:00,53.4,53.0,53.4,51.8,1.0
2022-06-07 16:30:00,53.4,51.8,58.9,58.9,0.0
2022-05-24 16:30:00,51.8,56.9,58.9,58.3,1.0
2022-05-05 16:30:00,58.9,58.3,58.3,62.6,0.0
2022-04-22 16:30:00,58.3,60.0,62.6,61.0,1.0
2022-04-05 16:30:00,62.6,61.0,60.5,60.5,0.0
2022-03-24 17:30:00,61.0,58.0,60.5,60.8,1.0
2022-03-03 17:30:00,60.5,60.8,54.1,54.1,0.0
2022-02-21 17:30:00,60.8,55.5,54.1,53.3,1.0
2022-02-03 17:30:00,54.1,53.3,53.6,53.6,0.0
2022-01-24 17:30:00,53.3,53.9,53.6,53.2,1.0
2022-01-06 17:30:00,53.6,53.2,58.5,58.5,0.0
2021-12-16 17:30:00,53.2,None,58.5,58.6,1.0
2021-12-03 17:30:00,58.5,58.6,59.1,59.1,0.0
2021-11-23 17:30:00,58.6,54.6,59.1,58.0,1.0
2021-11-03 17:30:00,59.1,58.0,55.4,55.4,0.0
2021-10-22 16:30:00,58.0,54.5,55.4,54.6,1.0
2021-10-05 16:30:00,55.4,54.6,55.0,55.0,0.0
2021-09-23 16:30:00,54.6,None,55.0,55.5,1.0
2021-09-03 16:30:00,55.0,55.5,59.6,59.6,0.0
2021-08-23 16:30:00,55.5,None,59.6,57.8,1.0
2021-08-04 16:30:00,59.6,57.8,62.4,62.4,0.0
2021-07-23 16:30:00,57.8,62.0,62.4,61.7,1.0
2021-07-05 16:30:00,62.4,61.7,62.9,62.9,0.0
2021-06-23 16:30:00,61.7,63.0,62.9,61.8,1.0
2021-06-03 16:30:00,62.9,61.8,61.8,61.0,0.0
2021-05-21 16:30:00,61.8,60.1,60.1,56.8,1.0
2021-05-06 16:30:00,61.0,60.1,56.3,56.3,0.0
2021-04-07 16:30:00,56.3,56.8,49.5,49.5,0.0
2021-03-24 17:30:00,56.8,51.0,49.5,49.7,1.0
2021-03-03 17:30:00,49.5,49.7,39.5,39.5,0.0
2021-02-19 17:30:00,49.7,41.0,39.5,38.8,1.0
2021-02-03 17:30:00,39.5,38.8,38.8,49.4,0.0
2021-01-22 17:30:00,38.8,49.9,49.4,49.9,1.0
2021-01-06 17:30:00,49.4,49.9,47.6,47.6,0.0
2020-12-16 17:30:00,49.9,50.5,47.6,45.8,1.0
2020-12-03 17:30:00,47.6,45.8,51.4,51.4,0.0
2020-11-23 17:30:00,45.8,52.3,52.3,52.3,1.0
2020-11-04 17:30:00,51.4,52.3,56.1,56.1,0.0
2020-10-23 16:30:00,52.3,55.0,56.1,55.1,1.0
2020-10-05 16:30:00,56.1,55.1,58.8,58.8,0.0
2020-09-23 16:30:00,55.1,56.0,58.8,60.1,1.0
2020-09-03 16:30:00,58.8,60.1,56.5,56.5,0.0
2020-08-21 16:30:00,60.1,57.0,56.5,56.6,1.0
2020-08-05 16:30:00,56.5,56.6,47.1,47.1,0.0
2020-07-24 16:30:00,56.6,51.5,47.1,47.0,1.0
2020-07-03 16:30:00,47.1,47.0,29.0,29.0,0.0
2020-06-23 16:30:00,47.0,40.0,29.0,27.8,1.0
2020-06-03 16:30:00,29.0,28.0,13.4,13.4,0.0
2020-05-21 16:30:00,27.8,25.0,13.4,12.3,1.0
2020-05-05 16:30:00,13.4,12.2,34.5,34.5,0.0
2020-04-23 16:30:00,12.3,29.0,34.5,35.7,1.0
2020-04-03 16:30:00,34.5,34.8,53.2,53.2,0.0
2020-03-24 17:30:00,35.7,45.0,53.2,53.3,1.0
2020-03-04 17:30:00,53.2,53.3,53.9,53.9,0.0
2020-02-21 17:30:00,53.3,53.4,53.9,52.9,1.0
2020-02-05 17:30:00,53.9,52.9,50.0,50.0,0.0
2020-01-24 17:30:00,52.9,49.4,50.0,49.0,1.0
2020-01-06 17:30:00,50.0,49.1,49.0,49.3,0.0
2019-12-16 17:30:00,49.0,49.6,49.3,48.6,1.0
2019-12-04 17:30:00,49.3,48.6,50.0,50.0,0.0
2019-11-22 17:30:00,48.6,50.1,50.0,47.4,1.0
2019-11-05 17:30:00,50.0,49.7,49.5,49.5,0.0
2019-10-03 16:30:00,49.5,50.3,50.6,50.6,0.0
2019-09-04 16:30:00,50.6,51.0,51.4,51.4,0.0
2019-08-05 16:30:00,51.4,50.4,50.2,50.2,0.0
2019-07-03 16:30:00,50.2,51.0,51.0,51.0,0.0
2019-06-05 16:30:00,51.0,50.6,50.4,50.4,0.0
2019-05-03 16:30:00,50.4,50.4,48.9,48.9,0.0
2019-04-03 16:30:00,48.9,51.0,51.3,51.3,0.0
2019-03-05 17:30:00,51.3,49.9,50.1,50.1,0.0
2019-02-05 17:30:00,50.1,51.1,51.2,51.2,0.0
2019-01-04 17:30:00,51.2,50.7,50.4,50.4,0.0
2018-12-05 17:30:00,50.4,52.5,52.2,52.2,0.0
2018-11-05 17:30:00,52.2,53.3,53.9,53.9,0.0
2018-10-03 16:30:00,53.9,54.0,54.3,54.3,0.0
2018-09-05 16:30:00,54.3,53.9,53.5,53.5,0.0
2018-08-03 16:30:00,53.5,54.7,55.1,55.1,0.0
2018-07-04 16:30:00,55.1,53.9,54.0,54.0,0.0
2018-06-05 16:30:00,54.0,52.9,52.8,52.8,0.0
2018-05-03 16:30:00,52.8,53.5,51.7,51.7,0.0
2018-04-05 16:30:00,51.7,53.9,54.5,54.5,0.0
2018-03-05 17:30:00,54.5,53.3,53.0,53.0,0.0
2018-02-05 17:30:00,53.0,54.1,54.2,54.2,0.0
2018-01-04 17:30:00,54.2,54.1,53.8,53.8,0.0
2017-12-05 17:30:00,53.8,55.0,55.6,55.6,0.0
2017-11-03 17:30:00,55.6,53.3,53.6,53.6,0.0
2017-10-04 16:30:00,53.6,53.2,53.2,53.2,0.0
2017-09-05 16:30:00,53.2,53.5,53.8,53.8,0.0
2017-08-03 16:30:00,53.8,53.6,53.4,53.4,0.0
2017-07-05 16:30:00,53.4,53.5,53.8,53.8,0.0
2017-06-05 16:30:00,53.8,55.0,55.8,55.8,0.0
2017-05-04 16:30:00,55.8,54.5,55.0,55.0,0.0
2017-04-05 16:30:00,55.0,53.5,53.3,53.3,0.0
2017-03-03 17:30:00,53.3,54.1,54.5,54.5,0.0
2017-02-03 17:30:00,54.5,55.8,56.2,56.2,0.0
2017-01-05 17:30:00,56.2,54.7,55.2,55.2,0.0
2016-12-05 17:30:00,55.2,54.0,54.5,54.5,0.0
2016-11-03 17:30:00,54.5,52.4,52.6,52.6,0.0
2016-10-05 16:30:00,52.6,52.0,52.9,52.9,0.0
2016-09-05 16:30:00,52.9,50.0,47.4,47.4,0.0
2016-08-03 16:30:00,47.4,47.4,52.3,52.3,0.0
2016-07-22 16:30:00,47.4,48.9,52.3,,1.0
2016-07-05 16:30:00,52.3,52.7,53.5,53.5,0.0
2016-06-03 16:30:00,53.5,52.5,52.3,52.3,0.0
2016-05-05 16:30:00,52.3,53.5,53.7,53.7,0.0
2016-04-05 16:30:00,53.7,53.7,52.7,52.7,0.0
2016-03-03 17:30:00,52.7,55.1,55.6,55.6,0.0
2016-02-03 17:30:00,55.6,55.3,55.5,55.5,0.0
2016-01-06 17:30:00,55.5,55.6,55.9,55.9,0.0
2015-12-03 17:30:00,55.9,55.0,54.9,54.9,0.0
2015-11-04 17:30:00,54.9,54.5,53.3,53.3,0.0
2015-10-05 16:30:00,53.3,56.0,55.6,55.6,0.0
2015-09-03 16:30:00,55.6,57.6,57.4,57.4,0.0
2015-08-05 16:30:00,57.4,58.0,58.5,58.5,0.0
