datetime,US_AWH_Actual,US_AWH_Srv_Med,US_AWH_Revised,US_AWH_Prior
9/1/2023 20:30,None,None,34.3,34.3
8/4/2023 20:30,34.3,34.4,34.4,34.4
7/7/2023 20:30,34.4,34.3,34.3,34.3
6/2/2023 20:30,34.3,34.4,34.4,34.4
5/5/2023 20:30,34.4,34.4,34.4,34.4
4/7/2023 20:30,34.4,34.5,34.5,34.5
3/10/2023 21:30,34.5,34.6,34.6,34.7
2/3/2023 21:30,34.7,34.3,34.4,34.3
1/6/2023 21:30,34.3,34.4,34.4,34.4
12/2/2022 21:30,34.4,34.5,34.5,34.5
11/4/2022 20:30,34.5,34.5,34.5,34.5
10/7/2022 20:30,34.5,34.5,34.5,34.5
9/2/2022 20:30,34.5,34.6,34.6,34.6
8/5/2022 20:30,34.6,34.5,34.6,34.5
7/8/2022 20:30,34.5,34.6,34.5,34.6
6/3/2022 20:30,34.6,34.6,34.6,34.6
5/6/2022 20:30,34.6,34.7,34.6,34.6
4/1/2022 20:30,34.6,34.7,34.7,34.7
3/4/2022 21:30,34.7,34.6,34.6,34.5
2/4/2022 21:30,34.5,34.7,34.7,34.7
1/7/2022 21:30,34.7,34.8,34.7,34.8
12/3/2021 21:30,34.8,34.7,34.7,34.7
11/5/2021 20:30,34.7,34.8,34.8,34.8
10/8/2021 20:30,34.8,34.7,34.6,34.7
9/3/2021 20:30,34.7,34.8,34.7,34.8
8/6/2021 20:30,34.8,34.7,34.8,34.7
7/2/2021 20:30,34.7,34.9,34.8,34.9
6/4/2021 20:30,34.9,35,34.9,35
5/7/2021 20:30,35,34.9,34.9,34.9
4/2/2021 20:30,34.9,34.7,34.6,34.6
3/5/2021 21:30,34.6,34.9,34.9,35
2/5/2021 21:30,35,34.7,34.7,34.7
1/8/2021 21:30,34.7,34.8,34.8,34.8
12/4/2020 21:30,34.8,34.8,34.8,34.8
11/6/2020 21:30,34.8,34.7,34.8,34.7
10/2/2020 20:30,34.7,34.6,34.6,34.6
9/4/2020 20:30,34.6,34.5,34.5,34.5
8/7/2020 20:30,34.5,34.4,34.6,34.5
7/2/2020 20:30,34.5,34.5,34.7,34.7
6/5/2020 20:30,34.7,34.3,34.2,34.2
5/8/2020 20:30,34.2,33.7,34.1,34.2
4/3/2020 20:30,34.2,34.1,34.4,34.4
3/6/2020 21:30,34.4,34.3,34.3,34.3
2/7/2020 21:30,34.3,34.3,34.3,34.3
1/10/2020 21:30,34.3,34.4,34.3,34.4
12/6/2019 21:30,34.4,34.4,34.4,34.4
11/1/2019 20:30,34.4,34.4,34.4,34.4
10/4/2019 20:30,34.4,34.4,34.4,34.4
9/6/2019 20:30,34.4,34.4,34.3,34.3
8/2/2019 20:30,34.3,34.4,34.4,34.4
7/5/2019 20:30,34.4,34.4,34.4,34.4
6/7/2019 20:30,34.4,34.5,34.4,34.4
