datetime,US_CBCCI_MoM_Actual,US_CBCCI_MoM_Srv_Med,US_CBCCI_MoM_Revised,US_CBCCI_MoM_Prior
2023-08-29 22:00:00,None,None,117.0,117.0
2023-07-25 22:00:00,117.0,111.8,110.1,109.7
2023-06-27 22:00:00,109.7,104.0,102.5,102.3
2023-05-30 22:00:00,102.3,99.0,103.7,101.3
2023-04-25 22:00:00,101.3,104.0,104.0,104.2
2023-03-28 22:00:00,104.2,101.0,103.4,102.9
2023-02-28 23:00:00,102.9,108.5,106.0,107.1
2023-01-31 23:00:00,107.1,109.0,109.0,108.3
2022-12-21 23:00:00,108.3,101.0,101.4,100.2
2022-11-29 23:00:00,100.2,100.0,102.2,102.5
2022-10-25 22:00:00,102.5,106.5,107.8,108.0
2022-09-27 22:00:00,108.0,104.5,103.6,103.2
2022-08-30 22:00:00,103.2,97.9,95.3,95.7
2022-07-26 22:00:00,95.7,97.2,98.4,98.7
2022-06-28 22:00:00,98.7,100.4,103.2,106.4
2022-05-31 22:00:00,106.4,103.9,108.6,107.3
2022-04-26 22:00:00,107.3,108.0,107.6,107.2
2022-03-29 22:00:00,107.2,107.0,105.7,110.5
2022-02-22 23:00:00,110.5,110.0,111.1,113.8
2022-01-25 23:00:00,113.8,111.8,115.2,115.8
2021-12-22 23:00:00,115.8,110.8,111.9,109.5
2021-11-30 23:00:00,109.5,111.0,111.6,113.8
2021-10-26 22:00:00,113.8,108.3,109.8,109.3
2021-09-28 22:00:00,109.3,114.5,115.2,113.8
2021-08-31 22:00:00,113.8,124.0,125.1,129.1
2021-07-27 22:00:00,129.1,123.9,128.9,127.3
2021-06-29 22:00:00,127.3,119.0,120.0,117.2
2021-05-25 22:00:00,117.2,119.2,117.5,121.7
2021-04-27 22:00:00,121.7,113.0,109.0,109.7
2021-03-30 22:00:00,109.7,96.9,90.4,91.3
2021-02-23 23:00:00,91.3,90.0,88.9,89.3
2021-01-26 23:00:00,89.3,89.0,87.1,88.6
2020-12-22 23:00:00,88.6,97.0,92.9,96.1
2020-11-24 23:00:00,96.1,98.0,101.4,100.9
2020-10-27 22:00:00,100.9,102.0,101.3,101.8
2020-09-29 22:00:00,101.8,89.2,86.3,84.8
2020-08-25 22:00:00,84.8,93.0,91.7,92.6
2020-07-28 22:00:00,92.6,94.5,98.3,98.1
2020-06-30 22:00:00,98.1,91.8,85.9,86.6
2020-05-26 22:00:00,86.6,88.0,85.7,86.9
2020-04-28 22:00:00,86.9,87.9,118.8,120.0
2020-03-31 22:00:00,120.0,110.0,132.6,130.7
2020-02-25 23:00:00,130.7,132.0,130.4,131.6
2020-01-28 23:00:00,131.6,128.0,128.2,126.5
2019-12-31 23:00:00,126.5,128.2,126.8,125.5
2019-11-26 23:00:00,125.5,127.0,126.1,125.9
2019-10-29 22:00:00,125.9,128.0,126.3,125.1
2019-09-24 22:00:00,125.1,134.1,134.2,135.1
2019-08-27 22:00:00,135.1,129.5,135.8,135.7
2019-07-30 22:00:00,135.7,125.0,124.3,121.5
2019-06-25 22:00:00,121.5,131.1,131.3,134.1
2019-05-28 22:00:00,134.1,130.1,129.2,129.2
2019-04-30 22:00:00,129.2,126.0,124.1,124.1
2019-03-26 22:00:00,124.1,132.0,131.4,131.4
2019-02-26 23:00:00,131.4,124.7,121.7,120.2
2019-01-29 23:00:00,120.2,124.7,126.6,128.1
2018-12-27 23:00:00,128.1,133.7,136.4,135.7
2018-11-27 23:00:00,135.7,135.9,137.9,137.9
2018-10-30 22:00:00,137.9,136.0,135.3,138.4
2018-09-25 22:00:00,138.4,132.2,134.7,133.4
2018-08-28 22:00:00,133.4,126.7,127.9,127.4
2018-07-31 22:00:00,127.4,126.5,127.1,126.4
2018-06-26 22:00:00,126.4,127.6,128.8,128.0
2018-05-29 22:00:00,128.0,128.2,125.6,128.7
2018-04-24 22:00:00,128.7,126.0,127.0,127.7
2018-03-27 22:00:00,127.7,131.0,130.0,130.8
2018-02-27 23:00:00,130.8,126.2,124.3,125.4
2018-01-30 23:00:00,125.4,123.1,123.1,122.1
2017-12-27 23:00:00,122.1,128.0,128.6,129.5
2017-11-28 23:00:00,129.5,124.0,126.2,125.9
2017-10-31 22:00:00,125.9,121.0,120.6,119.8
2017-09-26 22:00:00,119.8,120.0,120.4,122.9
2017-08-29 22:00:00,122.9,120.3,120.0,121.1
2017-07-25 22:00:00,121.1,116.5,117.3,118.9
2017-06-27 22:00:00,118.9,116.0,117.6,117.9
2017-05-30 22:00:00,117.9,119.8,119.4,120.3
2017-04-25 22:00:00,120.3,122.5,124.9,125.6
2017-03-28 22:00:00,125.6,114.0,116.1,114.8
2017-02-28 23:00:00,114.8,111.0,111.6,111.8
2017-01-31 23:00:00,111.8,113.0,113.3,113.7
2016-12-27 23:00:00,113.7,109.0,109.4,107.1
2016-11-29 23:00:00,107.1,101.2,100.8,98.6
2016-10-25 22:00:00,98.6,101.0,103.5,104.1
2016-09-27 22:00:00,104.1,99.0,101.8,101.1
2016-08-30 22:00:00,101.1,97.0,96.7,97.3
2016-07-26 22:00:00,97.3,95.9,97.4,98.0
2016-06-28 22:00:00,98.0,93.3,92.4,92.6
2016-05-31 22:00:00,92.6,96.0,94.7,94.2
2016-04-26 22:00:00,94.2,96.0,96.1,96.2
2016-03-29 22:00:00,96.2,94.0,94.0,92.2
2016-02-23 23:00:00,92.2,97.0,97.8,98.1
2016-01-26 23:00:00,98.1,96.5,96.3,96.5
2015-12-29 23:00:00,96.5,93.8,92.6,90.4
2015-11-24 23:00:00,90.4,99.5,99.1,97.6
2015-10-27 22:00:00,97.6,103.0,102.6,103.0
2015-09-29 22:00:00,103.0,96.1,101.3,101.5
2015-08-25 22:00:00,101.5,93.4,91.0,90.9
2015-07-28 22:00:00,90.9,100.0,99.8,101.4
2015-06-30 22:00:00,101.4,97.3,94.6,95.4
2015-05-26 22:00:00,95.4,94.9,94.3,95.2
2015-04-28 22:00:00,95.2,102.5,101.4,101.3
2015-03-31 22:00:00,101.3,96.0,98.8,96.4
2015-02-24 23:00:00,96.4,99.6,103.8,102.9
2015-01-27 23:00:00,102.9,95.1,93.1,92.6
2014-12-30 23:00:00,92.6,93.2,91.0,88.7
2014-11-25 23:00:00,88.7,95.9,94.1,94.5
2014-10-28 22:00:00,94.5,87.0,89.0,86.0
2014-09-30 22:00:00,86.0,92.5,93.4,92.4
2014-08-26 22:00:00,92.4,89.0,90.3,90.9
2014-07-29 22:00:00,90.9,85.3,86.4,85.2
2014-06-24 22:00:00,85.2,83.5,82.2,83.0
2014-05-27 22:00:00,83.0,83.0,81.7,82.3
2014-04-29 22:00:00,82.3,83.0,83.9,82.3
2014-03-25 22:00:00,82.3,78.6,78.3,78.1
2014-02-25 23:00:00,78.1,80.0,79.4,80.7
2014-01-28 23:00:00,80.7,78.1,77.5,78.1
2013-12-31 23:00:00,78.1,76.0,72.0,70.4
2013-11-26 23:00:00,70.4,72.9,72.4,71.2
2013-10-29 22:00:00,71.2,75.0,80.2,79.7
2013-09-24 22:00:00,79.7,79.9,81.8,81.5
2013-08-27 22:00:00,81.5,79.0,81.0,80.3
2013-07-30 22:00:00,80.3,81.4,82.1,81.4
2013-06-25 22:00:00,81.4,75.4,74.3,76.2
2013-05-28 22:00:00,76.2,71.0,69.0,68.1
2013-04-30 22:00:00,68.1,60.8,61.9,59.7
2013-03-26 22:00:00,59.7,68.0,68.0,69.6
2013-02-26 23:00:00,69.6,61.0,58.4,58.6
2013-01-29 23:00:00,58.6,64.0,66.7,65.1
2012-12-27 23:00:00,65.1,70.0,71.5,73.7
2012-11-27 23:00:00,73.7,73.0,73.1,72.2
2012-11-01 22:00:00,72.2,72.5,68.4,70.3
2012-09-25 22:00:00,70.3,63.0,61.3,60.6
2012-08-28 22:00:00,60.6,66.0,65.4,65.9
2012-07-31 22:00:00,65.9,61.5,62.7,62.0
2012-06-26 22:00:00,62.0,63.5,64.4,64.9
2012-05-29 22:00:00,64.9,70.0,68.7,69.2
2012-04-24 22:00:00,69.2,69.7,69.5,70.2
2012-03-27 22:00:00,70.2,70.3,71.6,70.8
2012-02-28 23:00:00,70.8,63.0,61.5,61.1
2012-01-31 23:00:00,61.1,68.2,64.8,64.5
2011-12-27 23:00:00,64.5,58.2,55.2,56.0
2011-11-29 23:00:00,56.0,43.0,40.9,39.8
2011-10-25 22:00:00,39.8,46.0,46.4,45.4
2011-09-27 22:00:00,45.4,46.5,45.2,44.5
2011-08-30 22:00:00,44.5,52.2,59.2,59.5
2011-07-26 22:00:00,59.5,56.0,57.6,58.5
2011-06-28 21:45:00,58.5,60.3,61.7,60.8
2011-05-31 22:00:00,60.8,66.3,66.0,65.4
2011-04-26 22:00:00,65.4,64.4,63.8,63.4
2011-03-29 22:00:00,63.4,65.0,72.0,70.4
2011-02-22 23:00:00,70.4,65.1,64.8,60.6
2011-01-25 23:00:00,60.6,53.5,53.3,52.5
2010-12-28 23:00:00,52.5,56.1,54.3,54.1
2010-11-30 23:00:00,54.1,52.0,49.9,50.2
2010-10-26 22:00:00,50.2,49.0,48.6,48.5
2010-09-28 22:00:00,48.5,52.9,53.2,53.5
2010-08-31 22:00:00,53.5,50.0,51.0,50.4
2010-07-27 22:00:00,50.4,51.0,54.3,52.9
2010-06-29 22:00:00,52.9,62.0,62.7,63.3
2010-05-25 22:00:00,63.3,58.3,57.7,57.9
2010-04-27 22:00:00,57.9,53.7,52.3,52.5
2010-03-30 22:00:00,52.5,50.0,46.4,46.0
2010-02-23 23:00:00,46.0,55.0,56.5,55.9
2010-01-26 23:00:00,55.9,53.5,53.6,52.9
2009-12-29 23:00:00,52.9,53.0,50.6,49.5
2009-11-24 23:00:00,49.5,47.7,48.7,47.7
2009-10-27 22:00:00,47.7,53.4,53.4,53.1
2009-09-29 22:00:00,53.1,57.0,54.5,54.1
2009-08-25 22:00:00,54.1,48.1,47.4,46.6
2009-07-28 22:00:00,46.6,49.0,49.3,49.3
2009-06-30 22:00:00,49.3,55.8,54.8,54.9
2009-05-26 22:00:00,54.9,42.1,40.8,39.2
2009-04-28 22:00:00,39.2,29.6,26.9,26.0
2009-03-31 22:00:00,26.0,27.8,25.0,25.0
2009-02-24 23:00:00,25.0,35.5,37.7,37.7
2009-01-27 23:00:00,37.7,38.7,38.0,38.0
