datetime,US_CCPI_YoY_Actual,US_CCPI_YoY_Srv_Med,US_CCPI_YoY_Revised,US_CCPI_YoY_Prior
8/10/2023 20:30,4.7,4.8,4.8,4.8
7/12/2023 20:30,4.8,5,5.3,5.3
6/13/2023 20:30,5.3,5.3,5.5,5.5
5/10/2023 20:30,5.5,5.5,5.6,5.6
4/12/2023 20:30,5.6,5.6,5.5,5.5
3/14/2023 20:30,5.5,5.5,5.6,5.6
2/14/2023 21:30,5.6,5.5,5.7,5.7
1/12/2023 21:30,5.7,5.7,6,6
12/13/2022 21:30,6,6.1,6.3,6.3
11/10/2022 21:30,6.3,6.5,6.6,6.6
10/13/2022 20:30,6.6,6.5,6.3,6.3
9/13/2022 20:30,6.3,6.1,5.9,5.9
8/10/2022 20:30,5.9,6.1,5.9,5.9
7/13/2022 20:30,5.9,5.7,6,6
6/10/2022 20:30,6,5.9,6.2,6.2
5/11/2022 20:30,6.2,6,6.5,6.5
4/12/2022 20:30,6.5,6.6,6.4,6.4
3/10/2022 21:30,6.4,5.9,6,6
2/10/2022 21:30,6,5.9,5.5,5.5
1/12/2022 21:30,5.5,5.4,4.9,4.9
12/10/2021 21:30,4.9,4.9,4.6,4.6
11/10/2021 21:30,4.6,4.3,4,4
10/13/2021 20:30,4,4,4,4
9/14/2021 20:30,4,4.2,4.3,4.3
8/11/2021 20:30,4.3,4.3,4.5,4.5
7/13/2021 20:30,4.5,4,3.8,3.8
6/10/2021 20:30,3.8,3.4,3,3
5/12/2021 20:30,3,2.3,1.6,1.6
4/13/2021 20:30,1.6,1.5,1.3,1.3
3/10/2021 21:30,1.3,1.4,1.4,1.4
2/10/2021 21:30,1.4,1.5,1.6,1.6
1/13/2021 21:30,1.6,1.6,1.6,1.6
12/10/2020 21:30,1.6,1.6,1.6,1.6
11/12/2020 21:30,1.6,1.8,1.7,1.7
10/13/2020 20:30,1.7,1.8,1.7,1.7
9/11/2020 20:30,1.7,1.6,1.6,1.6
8/12/2020 20:30,1.6,1.1,1.2,1.2
7/14/2020 20:30,1.2,1.1,1.2,1.2
6/10/2020 20:30,1.2,1.3,1.4,1.4
5/12/2020 20:30,1.4,1.7,2.1,2.1
4/10/2020 20:30,2.1,2.3,2.4,2.4
3/11/2020 20:30,2.4,2.3,2.3,2.3
2/13/2020 21:30,2.3,2.2,2.3,2.3
1/14/2020 21:30,2.3,2.3,2.3,2.3
12/11/2019 21:30,2.3,2.3,2.3,2.3
11/13/2019 21:30,2.3,2.4,2.4,2.4
10/10/2019 20:30,2.4,2.4,2.4,2.4
9/12/2019 20:30,2.4,2.3,2.2,2.2
8/13/2019 20:30,2.2,2.1,2.1,2.1
7/11/2019 20:30,2.1,2,2,2
6/12/2019 20:30,2,2.1,2.1,2.1
5/10/2019 20:30,2.1,2.1,2,2
4/10/2019 20:30,2,2.1,2.1,2.1
3/12/2019 20:30,2.1,2.2,2.2,2.2
2/13/2019 21:30,2.2,2.1,2.2,2.2
1/11/2019 21:30,2.2,2.2,2.2,2.2
12/12/2018 21:30,2.2,2.2,2.1,2.1
11/14/2018 21:30,2.1,2.2,2.2,2.2
10/11/2018 20:30,2.2,2.3,2.2,2.2
9/13/2018 20:30,2.2,2.4,2.4,2.4
8/10/2018 20:30,2.4,2.3,2.3,2.3
7/12/2018 20:30,2.3,2.3,2.2,2.2
6/12/2018 20:30,2.2,2.2,2.1,2.1
5/10/2018 20:30,2.1,2.2,2.1,2.1
4/11/2018 20:30,2.1,2.1,1.8,1.8
3/13/2018 20:30,1.8,1.8,1.8,1.8
2/14/2018 21:30,1.8,1.7,1.8,1.8
1/12/2018 21:30,1.8,1.7,1.7,1.7
12/13/2017 21:30,1.7,1.8,1.8,1.8
11/15/2017 21:30,1.8,1.7,1.7,1.7
10/13/2017 20:30,1.7,1.8,1.7,1.7
9/14/2017 20:30,1.7,1.6,1.7,1.7
8/11/2017 20:30,1.7,1.7,1.7,1.7
7/14/2017 20:30,1.7,1.7,1.7,1.7
6/14/2017 20:30,1.7,1.9,1.9,1.9
5/12/2017 20:30,1.9,2,2,2
4/14/2017 20:30,2,2.3,2.2,2.2
3/15/2017 20:30,2.2,2.2,2.3,2.3
2/15/2017 21:30,2.3,2.1,2.2,2.2
1/18/2017 21:30,2.2,2.2,2.1,2.1
12/15/2016 21:30,2.1,2.2,2.1,2.1
11/17/2016 21:30,2.1,2.2,2.2,2.2
10/18/2016 20:30,2.2,2.3,2.3,2.3
9/16/2016 20:30,2.3,2.2,2.2,2.2
8/16/2016 20:30,2.2,2.3,2.3,2.3
7/15/2016 20:30,2.3,2.3,2.2,2.2
6/16/2016 20:30,2.2,2.2,2.1,2.1
5/17/2016 20:30,2.1,2.1,2.2,2.2
4/14/2016 20:30,2.2,2.3,2.3,2.3
3/16/2016 20:30,2.3,2.2,2.2,2.2
2/19/2016 21:30,2.2,2.1,2.1,2.1
1/20/2016 21:30,2.1,2.1,2,2
12/15/2015 21:30,2,2,1.9,1.9
11/17/2015 21:30,1.9,1.9,1.9,1.9
10/15/2015 20:30,1.9,1.8,1.8,1.8
9/16/2015 20:30,1.8,1.9,1.8,1.8
