datetime,US_CHICAGO_PMI_Actual,US_CHICAGO_PMI_Srv_Med,US_CHICAGO_PMI_Revised,US_CHICAGO_PMI_Prior
2023-08-31 21:45:00,None,None,42.8,42.8
2023-07-31 21:45:00,42.8,43.0,41.5,41.5
2023-06-30 21:45:00,41.5,44.0,40.4,40.4
2023-05-31 21:45:00,40.4,47.0,48.6,48.6
2023-04-28 21:45:00,48.6,43.5,43.8,43.8
2023-03-31 21:45:00,43.8,43.4,43.6,43.6
2023-02-28 22:45:00,43.6,45.0,44.3,44.3
2023-01-31 22:45:00,44.3,45.0,45.1,44.9
2022-12-30 22:45:00,44.9,40.0,37.2,37.2
2022-11-30 22:45:00,37.2,47.0,45.2,45.2
2022-10-31 21:45:00,45.2,47.0,45.7,45.7
2022-09-30 21:45:00,45.7,51.8,52.2,52.2
2022-08-31 21:45:00,52.2,52.0,52.1,52.1
2022-07-29 21:45:00,52.1,55.0,56.0,56.0
2022-06-30 21:45:00,56.0,58.0,60.3,60.3
2022-05-31 21:45:00,60.3,55.0,56.4,56.4
2022-04-29 21:45:00,56.4,62.0,62.9,62.9
2022-03-31 21:45:00,62.9,57.0,56.3,56.3
2022-02-28 22:45:00,56.3,63.0,65.2,65.2
2022-01-31 22:45:00,65.2,61.7,64.3,63.1
2021-12-30 22:45:00,63.1,62.0,61.8,61.8
2021-11-30 22:45:00,61.8,67.0,68.4,68.4
2021-10-29 21:45:00,68.4,63.5,64.7,64.7
2021-09-30 21:45:00,64.7,65.0,66.8,66.8
2021-08-31 21:45:00,66.8,68.0,73.4,73.4
2021-07-30 21:45:00,73.4,64.6,66.1,66.1
2021-06-30 21:45:00,66.1,70.0,75.2,75.2
2021-05-28 21:45:00,75.2,68.0,72.1,72.1
2021-04-30 21:45:00,72.1,65.3,66.3,66.3
2021-03-31 21:45:00,66.3,60.7,59.5,59.5
2021-02-26 22:45:00,59.5,61.1,63.8,63.8
2021-01-29 22:45:00,63.8,58.5,58.7,59.5
2020-12-30 22:45:00,59.5,57.0,58.2,58.2
2020-11-30 22:45:00,58.2,59.0,61.1,61.1
