datetime,US_CPCE_MoM_Actual,US_CPCE_MoM_Srv_Med,US_CPCE_MoM_Revised,US_CPCE_MoM_Prior
8/31/2023 20:30,None,None,0.2,0.2
7/28/2023 20:30,0.2,0.2,0.3,0.3
6/30/2023 20:30,0.3,0.3,0.4,0.4
5/26/2023 20:30,0.4,0.3,0.3,0.3
4/28/2023 20:30,0.3,0.3,0.3,0.3
3/31/2023 20:30,0.3,0.4,0.5,0.6
2/24/2023 21:30,0.6,0.4,0.4,0.3
1/27/2023 21:30,0.3,0.3,0.2,0.2
12/23/2022 21:30,0.2,0.2,0.3,0.2
12/1/2022 21:30,0.2,0.3,0.5,0.5
10/28/2022 20:30,0.5,0.5,0.5,0.6
9/30/2022 20:30,0.6,0.5,0.1,0.1
8/26/2022 20:30,0.1,0.3,0.6,0.6
7/29/2022 20:30,0.6,0.5,0.3,0.3
6/30/2022 20:30,0.3,0.4,0.3,0.3
5/27/2022 20:30,0.3,0.3,0.3,0.3
4/29/2022 20:30,0.3,0.3,0.3,0.4
3/31/2022 20:30,0.4,0.4,0.5,0.5
2/25/2022 21:30,0.5,0.5,0.5,0.5
1/28/2022 21:30,0.5,0.5,0.5,0.5
12/23/2021 21:30,0.5,0.4,0.5,0.4
11/24/2021 23:00,0.4,0.4,0.2,0.2
10/29/2021 20:30,0.2,0.2,0.3,0.3
10/1/2021 20:30,0.3,0.2,0.3,0.3
8/27/2021 20:30,0.3,0.3,0.5,0.4
7/30/2021 20:30,0.4,0.6,0.5,0.5
6/25/2021 20:30,0.5,0.6,0.7,0.7
5/28/2021 20:30,0.7,0.6,0.4,0.4
4/30/2021 20:30,0.4,0.3,0.1,0.1
3/26/2021 21:30,0.1,0.1,0.2,0.3
2/26/2021 21:30,0.3,0.2,0.3,0
11/25/2020 23:00,0,0.1,0.2,0.2
10/30/2020 20:30,0.2,0.2,0.3,0.3
10/1/2020 20:30,0.3,0.3,0.4,0.3
8/28/2020 20:30,0.3,0.5,0.3,0.2
7/31/2020 20:30,0.2,0.2,0.2,0.1
6/26/2020 20:30,0.1,0.2,-0.4,-0.4
5/29/2020 20:30,-0.4,-0.3,-0.1,-0.1
4/30/2020 20:30,-0.1,-0.1,0.2,0.2
3/27/2020 20:30,0.2,0.2,0.2,0.1
2/28/2020 21:30,0.1,0.2,0.2,0.2
1/31/2020 21:30,0.2,0.1,0.1,0.1
12/20/2019 23:00,0.1,0.1,0.1,0.1
11/27/2019 23:00,0.1,0.2,0,0
10/31/2019 20:30,0,0.1,0.1,0.1
9/27/2019 20:30,0.1,0.2,0.2,0.2
8/30/2019 20:30,0.2,0.3,0.2,0.2
7/30/2019 20:30,0.2,0.2,0.2,0.2
6/28/2019 20:30,0.2,0.2,0.2,0.2
5/31/2019 20:30,0.2,0.2,0.1,0.1
4/29/2019 20:30,0.1,0.2,0.1,0.1
3/29/2019 20:30,0.1,0.2,0.2,0.2
3/1/2019 21:30,0.2,0.2,0.2,0.1
12/21/2018 23:00,0.1,0.2,0.1,0.1
11/29/2018 21:30,0.1,0.2,0.2,0.2
10/29/2018 20:30,0.2,0.1,0,0
9/28/2018 20:30,0,0.1,0.2,0.2
8/30/2018 20:30,0.2,0.2,0.1,0.1
7/31/2018 20:30,0.1,0.1,0.2,0.2
6/29/2018 20:30,0.2,0.2,0.2,0.2
5/31/2018 20:30,0.2,0.1,0.2,0.2
4/30/2018 20:30,0.2,0.2,0.2,0.2
3/29/2018 20:30,0.2,0.2,0.3,0.3
3/1/2018 21:30,0.3,0.3,0.2,0.2
1/29/2018 21:30,0.2,0.2,0.1,0.1
12/22/2017 21:30,0.1,0.1,0.2,0.2
11/30/2017 21:30,0.2,0.2,0.2,0.1
10/30/2017 20:30,0.1,0.1,0.1,0.1
9/29/2017 20:30,0.1,0.2,0.1,0.1
8/31/2017 20:30,0.1,0.1,0.1,0.1
8/1/2017 20:30,0.1,0.1,0.1,0.1
6/30/2017 20:30,0.1,0.1,0.1,0.2
5/30/2017 20:30,0.2,0.1,-0.1,-0.1
5/1/2017 20:30,-0.1,-0.1,0.2,0.2
3/31/2017 20:30,0.2,0.2,0.3,0.3
3/1/2017 21:30,0.3,0.2,0.1,0.1
1/30/2017 21:30,0.1,0.1,0,0
12/22/2016 23:00,0,0.1,0.1,0.1
11/30/2016 21:30,0.1,0.1,0.1,0.1
10/31/2016 20:30,0.1,0.1,0.2,0.2
9/30/2016 20:30,0.2,0.2,0.1,0.1
8/29/2016 20:30,0.1,0.1,0.1,0.1
8/2/2016 20:30,0.1,0.1,0.2,0.2
6/29/2016 20:30,0.2,0.2,0.2,0.2
5/31/2016 20:30,0.2,0.2,0.1,0.1
4/29/2016 20:30,0.1,0.1,0.2,0.1
3/28/2016 20:30,0.1,0.2,0.3,0.3
2/26/2016 23:00,0.3,0.2,0.1,0
2/1/2016 21:30,0,0.1,0.2,0.1
12/23/2015 21:30,0.1,0.1,0,0
11/25/2015 21:30,0,0.1,0.2,0.1
10/30/2015 20:30,0.1,0.2,0.1,0.1
9/28/2015 20:30,0.1,0.1,0.1,0.1
8/28/2015 20:30,0.1,0.1,0.1,0.1
8/3/2015 20:30,0.1,0.1,0.1,0.1
6/25/2015 20:30,0.1,0.1,0.1,0.1
6/1/2015 20:30,0.1,0.2,0.1,0.1
4/30/2015 20:30,0.1,0.2,0.1,0.1
3/30/2015 20:30,0.1,0.1,0.1,0.1
3/2/2015 21:30,0.1,0.1,0,0
2/2/2015 21:30,0,0.1,0,0
12/23/2014 23:00,0,0.1,0.2,0.2
11/26/2014 21:30,0.2,0.1,0.1,0.1
10/31/2014 20:30,0.1,0.1,0.1,0.1
9/29/2014 20:30,0.1,0.1,0.1,0.1
8/29/2014 20:30,0.1,0.1,0.1,0.1
8/1/2014 20:30,0.1,0.1,0.2,0.2
6/26/2014 20:30,0.2,0.2,0.2,0.2
5/30/2014 20:30,0.2,0.2,0.2,0.2
5/1/2014 20:30,0.2,0.2,0.1,0.1
3/28/2014 20:30,0.1,0.1,0.1,0.1
3/3/2014 21:30,0.1,0.1,0.1,0.1
1/31/2014 21:30,0.1,0.1,0.1,0.1
12/23/2013 21:30,0.1,0.1,0.1,0.1
12/6/2013 21:30,0.1,0.1,0.1,0.1
11/8/2013 21:30,0.1,0.1,0.1,0.2
9/27/2013 20:30,0.2,0.1,0.1,0.1
8/30/2013 20:30,0.1,0.2,0.2,0.2
8/2/2013 20:30,0.2,0.1,0.1,0.1
6/27/2013 20:30,0.1,0.1,0,0
5/31/2013 20:30,0,0.1,0.1,0
4/29/2013 20:30,0,0.1,0.1,0.1
3/29/2013 20:30,0.1,0.1,0.2,0.1
3/1/2013 21:30,0.1,0.2,0,0
1/31/2013 21:30,0,0.1,0,0
12/21/2012 21:30,0,0.1,0.1,0.1
11/30/2012 21:30,0.1,0.2,0.1,0.1
10/29/2012 20:30,0.1,0.1,0.1,0.1
9/28/2012 20:30,0.1,0.1,0.1,0
8/30/2012 20:30,0,0.1,0.2,0.2
7/31/2012 20:30,0.2,0.2,0.1,0.1
6/29/2012 20:30,0.1,0.2,0.1,0.1
6/1/2012 20:30,0.1,0.2,0.2,0.2
4/30/2012 20:30,0.2,0.2,0.1,0.1
3/30/2012 20:30,0.1,0.1,0.2,0.2
3/1/2012 21:30,0.2,0.2,0.1,0.2
1/30/2012 21:30,0.2,0.1,0.1,0.1
12/23/2011 21:30,0.1,0.1,0.1,0.1
11/23/2011 21:30,0.1,0.2,0,0
10/28/2011 20:30,0,0.2,0.2,0.1
9/30/2011 20:30,0.1,0.2,0.2,0.2
8/29/2011 20:30,0.2,0.2,0.2,0.1
8/2/2011 20:30,0.1,0.2,0.2,0.3
6/27/2011 20:30,0.3,0.2,0.2,0.2
5/27/2011 20:30,0.2,0.2,0.1,0.1
4/29/2011 20:30,0.1,0.1,0.2,0.2
3/28/2011 20:30,0.2,0.2,0.2,0.1
2/28/2011 21:30,0.1,0.1,0,0
1/31/2011 21:30,0,0.1,0.1,0.1
12/23/2010 21:30,0.1,0.1,0,0
11/24/2010 21:30,0,0.1,0,0
11/1/2010 20:30,0,0.1,0.1,0.1
10/1/2010 20:30,0.1,0.1,0.1,
