datetime,US_CPCE_QoQ_Actual,US_CPCE_QoQ_Srv_Med,US_CPCE_QoQ_Revised,US_CPCE_QoQ_Prior,Is_P
2023-08-30 20:30:00,None,None,3.80,3.80,0
2023-07-27 20:30:00,3.80,4.00,4.90,4.90,0
2023-06-29 20:30:00,4.90,5.00,4.40,4.40,0
2023-05-25 20:30:00,5.00,4.90,4.40,4.90,1
2023-04-27 20:30:00,4.90,4.70,4.40,4.30,1
2023-03-30 20:30:00,4.40,4.30,4.70,4.70,0
2023-02-23 21:30:00,4.30,3.90,4.70,3.90,1
2023-01-26 21:30:00,3.90,4.00,4.70,4.60,1
2022-12-22 21:30:00,4.70,4.60,4.60,4.70,0
2022-11-30 21:30:00,4.60,4.50,4.70,4.50,1
2022-10-27 20:30:00,4.50,4.50,4.70,4.40,1
2022-09-29 20:30:00,4.70,4.40,5.20,4.40,0
2022-08-25 20:30:00,4.40,4.40,5.20,5.20,1
2022-07-28 20:30:00,4.40,4.50,5.20,5.20,0
2022-06-29 20:30:00,5.20,5.10,5.00,5.10,0
2022-05-26 20:30:00,5.10,5.20,5.00,5.00,0
2022-04-28 20:30:00,5.20,5.40,5.00,5.00,1
2022-03-30 20:30:00,5.00,5.00,4.60,4.60,0
2022-02-24 21:30:00,5.00,4.90,4.90,4.90,1
2022-01-27 21:30:00,4.90,4.90,4.60,4.50,1
2021-12-22 21:30:00,4.60,4.50,6.10,6.10,0
2021-11-24 21:30:00,4.50,4.50,6.10,4.50,1
2021-10-28 20:30:00,4.50,4.50,6.10,1.80,1
2021-09-30 20:30:00,6.10,6.10,2.70,6.10,0
2021-08-26 20:30:00,6.10,6.10,2.70,6.10,0
2021-07-29 20:30:00,6.10,5.90,2.70,2.50,0
2021-06-24 20:30:00,2.50,2.50,1.30,2.50,0
2021-05-27 20:30:00,2.50,2.30,1.30,2.30,0
2021-04-29 20:30:00,2.30,2.40,1.30,1.30,0
2021-03-25 20:30:00,1.30,1.40,3.40,1.40,0
2021-02-25 21:30:00,1.40,1.40,3.40,1.40,0
2021-01-28 21:30:00,1.40,1.50,3.40,3.40,0
2020-12-22 21:30:00,3.40,3.50,-0.80,3.50,0
2020-11-25 21:30:00,3.50,3.50,-0.80,3.50,0
2020-10-29 20:30:00,3.50,4.00,-0.80,-0.80,0
2020-09-30 20:30:00,-0.80,-1.00,1.60,-1.00,0
2020-08-27 20:30:00,-1.00,-1.10,1.60,-1.10,0
2020-07-30 20:30:00,-1.10,1.00,1.60,1.70,0
2020-06-25 20:30:00,1.70,1.60,1.30,1.60,0
2020-05-28 20:30:00,1.60,1.80,1.30,1.30,0
2020-04-29 20:30:00,1.80,1.40,1.30,1.20,1
2020-03-26 20:30:00,1.30,1.20,2.10,2.10,0
2020-02-27 21:30:00,1.20,1.30,2.10,1.30,1
2020-01-30 21:30:00,1.30,1.70,2.10,2.10,1
2019-12-20 21:30:00,2.10,2.10,1.90,1.90,0
2019-11-27 21:30:00,2.10,2.20,1.90,2.20,1
2019-10-30 20:30:00,2.20,2.10,1.90,1.70,1
2019-09-26 20:30:00,1.90,1.70,1.10,1.20,0
2019-08-29 20:30:00,1.70,None,1.80,1.80,1
2019-07-26 20:30:00,1.80,2.00,1.10,1.00,1
2019-06-27 20:30:00,1.20,1.00,1.80,1.80,0
2019-05-30 20:30:00,1.00,1.30,1.80,1.30,1
2019-04-26 20:30:00,1.30,1.30,1.80,1.50,1
2019-03-28 20:30:00,1.80,1.70,1.70,1.70,0
2019-02-28 21:30:00,1.70,1.60,1.60,1.60,0
2018-12-21 21:30:00,1.60,1.50,2.10,2.10,0
2018-11-28 21:30:00,1.50,1.60,1.60,1.60,1
2018-10-26 20:30:00,1.60,2.00,2.10,2.00,1
2018-09-27 20:30:00,2.10,2.00,2.00,2.30,0
2018-08-29 20:30:00,2.00,2.00,2.00,2.00,1
2018-07-27 20:30:00,2.00,None,2.30,2.30,1
2018-06-28 20:30:00,2.30,2.30,2.50,1.90,0
2018-05-30 20:30:00,2.30,2.50,2.50,2.50,1
2018-04-27 20:30:00,2.50,2.40,1.90,1.90,1
2018-03-28 20:30:00,1.90,1.90,1.90,1.30,0
2018-02-28 21:30:00,1.90,1.90,1.90,1.90,1
2018-01-26 21:30:00,1.90,1.60,1.30,1.40,1
2017-12-21 21:30:00,1.30,1.40,1.40,0.90,0
2017-11-29 21:30:00,1.40,1.30,1.30,,1
2017-09-28 20:30:00,0.90,0.90,0.90,2.00,0
2017-06-29 20:30:00,2.00,2.10,2.10,1.30,0
2017-03-30 20:30:00,1.30,1.20,1.20,1.70,0
2016-12-22 21:30:00,1.70,1.70,1.70,1.80,0
2016-09-29 20:30:00,1.80,1.80,1.80,2.00,0
2016-06-28 20:30:00,2.00,2.10,2.10,1.30,0
2016-03-25 20:30:00,1.30,1.30,1.30,1.40,0
2015-12-22 21:30:00,1.40,1.30,1.30,1.90,0
2015-09-25 20:30:00,1.90,1.80,1.80,0.80,0
2015-06-24 20:30:00,0.80,0.80,0.80,1.10,0
2015-03-27 20:30:00,1.10,1.10,1.10,1.40,0
2014-12-23 21:30:00,1.40,1.50,1.40,2.00,0
2014-09-26 20:30:00,2.00,2.00,2.00,,0
