datetime,US_CPPI_YoY_Actual,US_CPPI_YoY_Srv_Med,US_CPPI_YoY_Revised,US_CPPI_YoY_Prior
8/11/2023 20:30,2.4,2.3,2.4,2.4
7/13/2023 20:30,2.4,2.6,2.6,2.8
6/14/2023 20:30,2.8,2.9,3.1,3.2
5/11/2023 20:30,3.2,3.3,3.4,3.4
4/13/2023 20:30,3.4,3.4,4.8,4.4
3/15/2023 20:30,4.4,5.2,5,5.4
2/16/2023 21:30,5.4,4.9,5.8,5.5
1/18/2023 21:30,5.5,5.7,6.2,6.2
12/9/2022 21:30,6.2,5.9,6.8,6.7
11/15/2022 21:30,6.7,7.2,7.1,7.2
10/12/2022 20:30,7.2,7.3,7.2,7.3
9/14/2022 20:30,7.3,7.1,7.7,7.6
8/11/2022 20:30,7.6,7.6,8.4,8.2
7/14/2022 20:30,8.2,8.1,8.5,8.3
6/14/2022 20:30,8.3,8.6,8.6,8.8
5/12/2022 20:30,8.8,8.9,9.6,9.2
4/13/2022 20:30,9.2,8.4,8.7,8.4
3/15/2022 20:30,8.4,8.7,8.5,8.3
2/15/2022 21:30,8.3,7.9,8.5,8.3
1/13/2022 21:30,8.3,8,7.9,7.7
12/14/2021 21:30,7.7,7.2,7,6.8
11/9/2021 21:30,6.8,6.8,6.8,6.8
10/14/2021 20:30,6.8,7.1,6.7,6.7
9/10/2021 20:30,6.7,6.6,6.2,6.2
8/12/2021 20:30,6.2,5.6,5.6,5.6
7/14/2021 20:30,5.6,5.1,4.8,4.8
6/15/2021 20:30,4.8,4.8,4.1,4.1
5/13/2021 20:30,4.1,3.7,3.1,3.1
4/9/2021 20:30,3.1,2.7,2.5,2.5
3/12/2021 21:30,2.5,2.6,2,2
2/17/2021 21:30,2,1.1,1.2,1.2
1/15/2021 21:30,1.2,1.3,1.4,1.4
12/11/2020 21:30,1.4,1.5,1.1,1.1
11/13/2020 21:30,1.1,1.2,1.2,1.2
10/14/2020 20:30,1.2,0.9,0.6,0.6
9/10/2020 20:30,0.6,0.3,0.3,0.3
8/11/2020 20:30,0.3,0.4,0.1,0.1
7/10/2020 20:30,0.1,0.4,0.3,0.3
6/11/2020 20:30,0.3,0.4,0.6,0.6
5/13/2020 20:30,0.6,0.9,1.4,1.4
4/9/2020 20:30,1.4,1.2,1.4,1.4
3/12/2020 20:30,1.4,1.7,1.7,1.7
2/19/2020 21:30,1.7,1.3,1.1,1.1
1/15/2020 21:30,1.1,1.3,1.3,1.3
12/12/2019 21:30,1.3,1.6,1.6,1.6
11/14/2019 21:30,1.6,1.5,2,2
10/8/2019 20:30,2,2.3,2.3,2.3
9/11/2019 20:30,2.3,2.2,2.1,2.1
8/9/2019 20:30,2.1,2.4,2.3,2.3
7/12/2019 20:30,2.3,2.2,2.3,2.3
6/11/2019 20:30,2.3,2.3,2.4,2.4
5/9/2019 20:30,2.4,2.5,2.4,2.4
4/11/2019 20:30,2.4,2.4,2.5,2.5
3/13/2019 20:30,2.5,2.6,2.6,2.6
