datetime,US_DGL_MoM_Actual,US_DGL_MoM_Srv_Med,US_DGL_MoM_Revised,US_DGL_MoM_Prior,Is_P
2021-05-04 22:00:00,1.6,None,-1.1,-1.1,0.0
2021-04-26 20:30:00,1.3,None,-1.1,-1.0,1.0
2021-04-05 22:00:00,-1.1,None,1.9,1.8,0.0
2021-03-24 21:30:00,-1.0,None,1.9,2.1,1.0
2021-03-04 23:00:00,1.8,None,1.0,0.7,0.0
2021-02-04 23:00:00,0.7,,0.5,0.5,0.0
2021-02-25 21:30:00,2.1,None,1.0,0.5,1.0
2021-01-27 21:30:00,0.5,,0.4,0.4,1.0
2021-01-06 23:00:00,0.5,,0.4,2.4,0.0
2020-12-23 21:30:00,0.4,,2.6,2.3,1.0
2020-12-04 23:00:00,2.4,,0.7,0.5,0.0
2020-11-25 21:30:00,2.3,,0.7,0.3,1.0
2020-11-03 23:00:00,0.5,,1.5,1.5,0.0
2020-10-27 20:30:00,0.3,,1.5,1.5,1.0
2020-10-02 22:00:00,1.5,,2.8,2.4,0.0
2020-09-25 20:30:00,1.5,,2.8,2.4,1.0
2020-09-02 22:00:00,2.4,,3.8,3.3,0.0
2020-08-26 20:30:00,2.4,,3.8,3.4,1.0
2020-08-04 23:00:00,3.3,,1.6,1.5,0.0
2020-07-27 20:30:00,3.4,,1.6,1.8,1.0
2020-07-02 22:00:00,1.5,,-6.2,-5.7,0.0
2020-06-25 20:30:00,1.8,,-6.2,-5.4,1.0
2020-06-03 22:00:00,-5.7,,-1.2,-0.2,0.0
2020-05-28 20:30:00,-5.4,,-1.2,-0.2,1.0
2020-05-04 22:00:00,-0.2,,-0.9,-0.8,0.0
2020-04-24 20:30:00,-0.2,,-0.9,-0.7,1.0
2020-04-02 22:00:00,-0.8,,1.1,1.0,0.0
2020-03-25 21:30:00,-0.7,,1.1,1.1,1.0
2020-03-05 23:00:00,1.0,,-0.1,-0.3,0.0
2020-02-27 21:30:00,1.1,,-0.1,-0.4,1.0
2020-02-04 23:00:00,-0.3,,-0.3,-0.3,0.0
2020-01-28 21:30:00,-0.4,,-0.3,-0.3,1.0
2020-01-07 23:00:00,-0.3,,-0.3,0.8,0.0
2019-12-23 21:30:00,-0.3,,0.7,0.8,1.0
2019-12-05 23:00:00,0.8,,-0.7,-0.7,0.0
2019-11-27 21:30:00,0.8,,-0.7,-0.7,1.0
2019-11-04 23:00:00,-0.7,,0.0,0.3,0.0
2019-10-24 20:30:00,-0.7,,0.3,0.4,1.0
2019-10-03 22:00:00,0.3,,-0.6,-0.6,0.0
2019-09-27 20:30:00,0.4,,-0.6,-0.7,1.0
2019-09-05 22:00:00,-0.6,,-0.7,0.3,0.0
2019-08-26 20:30:00,-0.7,,0.3,0.6,1.0
2019-08-02 22:00:00,0.3,,0.6,0.6,0.0
2019-07-25 20:30:00,0.6,,0.5,0.7,1.0
2019-07-03 22:00:00,0.6,,0.7,0.0,0.0
2019-06-26 20:30:00,0.7,,0.4,0.0,1.0
2019-06-04 22:00:00,0.0,,0.0,0.0,0.0
2019-05-24 20:30:00,0.0,0.4,-0.6,-0.2,1.0
2019-05-02 22:00:00,0.0,,-0.2,-0.1,0.0
2019-04-25 20:30:00,-0.2,,0.2,0.0,1.0
2019-04-08 22:00:00,-0.1,0.0,0.0,0.8,0.0
2019-04-02 20:30:00,0.0,0.3,1.0,0.8,1.0
2019-03-19 22:00:00,0.8,,0.8,0.0,0.0
2019-03-13 20:30:00,0.8,-0.1,0.1,0.5,1.0
2019-02-27 23:00:00,0.0,,0.5,-0.2,0.0
2019-02-21 21:30:00,0.5,0.0,-0.2,-0.1,1.0
2019-02-04 23:00:00,-0.2,,-0.1,0.3,0.0
2018-12-21 21:30:00,-0.1,,0.8,0.3,1.0
2018-12-06 23:00:00,0.3,,0.3,-0.1,0.0
2018-11-21 21:30:00,0.3,0.3,-0.2,0.0,1.0
2018-11-02 22:00:00,-0.1,,0.0,-0.2,0.0
2018-10-25 20:30:00,0.0,0.5,-0.2,0.1,1.0
2018-10-04 22:00:00,-0.2,0.1,0.1,1.0,0.0
2018-09-27 20:30:00,0.1,0.5,1.0,0.9,1.0
2018-09-06 22:00:00,1.0,,0.9,0.8,0.0
2018-08-24 20:30:00,0.9,0.3,0.9,1.0,1.0
2018-08-02 22:00:00,0.8,,1.0,0.2,0.0
2018-07-26 20:30:00,1.0,0.4,0.2,-0.3,1.0
2018-07-03 22:00:00,0.2,,-0.1,0.9,0.0
2018-06-27 20:30:00,-0.3,0.3,1.9,0.8,1.0
2018-06-04 22:00:00,0.9,0.8,0.8,-0.8,0.0
2018-05-25 20:30:00,0.8,0.4,-0.7,-0.7,1.0
2018-05-03 22:00:00,-0.8,,-0.7,1.4,0.0
2018-04-26 20:30:00,-0.7,0.4,1.0,1.4,1.0
2018-04-04 22:00:00,1.4,1.4,1.4,-0.1,0.0
2018-03-23 20:30:00,1.4,0.5,-0.1,0.1,1.0
2018-03-06 23:00:00,-0.1,,0.1,0.4,0.0
2018-02-27 21:30:00,0.1,0.3,0.7,,1.0
2018-02-02 23:00:00,0.4,,0.6,,0.0
