datetime,US_EROPC_WoW_Actual,US_EROPC_WoW_Srv_Med,US_EROPC_WoW_Revised,US_EROPC_WoW_Prior
2023-08-23 22:30:00,None,0.011,-0.182,-0.182
2023-08-16 22:30:00,-0.182,0.041,0.050,0.050
2023-08-09 22:30:00,0.050,0.000,0.080,0.080
2023-08-02 22:30:00,0.080,-0.005,-0.251,-0.251
2023-07-26 22:30:00,-0.251,0.002,-0.054,-0.054
2023-07-19 22:30:00,-0.054,-0.002,0.236,0.236
2023-07-12 22:30:00,0.236,-0.011,0.141,0.141
2023-07-06 23:00:00,0.141,-0.006,-0.368,-0.368
2023-06-28 22:30:00,-0.368,0.014,0.089,0.089
2023-06-22 23:00:00,0.089,0.020,-0.255,-0.255
2023-06-14 22:30:00,-0.255,0.002,0.203,0.203
2023-06-07 22:30:00,0.203,-0.025,0.165,0.165
2023-06-01 23:00:00,0.165,-0.026,0.019,0.019
2023-05-24 22:30:00,0.019,0.009,0.250,0.250
2023-05-17 22:30:00,0.250,0.039,0.030,0.030
2023-05-10 22:30:00,0.030,0.022,-0.093,-0.093
2023-05-03 22:30:00,-0.093,-0.019,-0.081,-0.081
2023-04-26 22:30:00,-0.081,-0.045,0.167,0.167
2023-04-19 22:30:00,0.167,-0.014,-0.157,-0.157
2023-04-12 22:30:00,-0.157,0.032,0.107,0.107
2023-04-05 22:30:00,0.107,0.044,0.13,0.130
2023-03-29 22:30:00,0.130,,0.075,0.075
2023-03-22 22:30:00,0.075,,-0.097,-0.097
2023-03-15 22:30:00,-0.097,,-0.084,-0.084
2023-03-08 23:30:00,-0.084,,-0.091,-0.091
2023-03-01 23:30:00,-0.091,,0.191,-0.091
2023-03-01 23:00:00,-0.091,,0.191,0.191
2023-02-24 00:00:00,0.191,,-0.155,-0.155
2023-02-15 23:30:00,-0.155,,-0.028,-0.028
2023-02-08 23:30:00,-0.028,,0.1,0.100
2023-02-01 23:30:00,0.100,,-0.009,-0.009
2023-01-25 23:30:00,-0.009,,0.057,0.057
2023-01-20 00:00:00,0.057,,0.509,0.509
2023-01-11 23:30:00,0.509,,-1.05,-1.050
