datetime,US_FFR_1Y_Actual,US_FFR_1Y_Srv_Med,US_FFR_1Y_Revised,US_FFR_1Y_Prior
2023-06-15 02:00:00,4.6,None,4.3,4.3
2023-03-23 02:00:00,4.3,None,5.1,5.1
2022-12-15 03:00:00,5.1,None,4.6,4.6
2022-09-22 02:00:00,4.6,None,3.8,3.80
2022-06-16 02:00:00,3.80,None,2.80,2.80
2022-03-17 02:00:00,2.80,None,0.90,0.90
2021-12-16 03:00:00,0.90,None,0.30,0.30
2021-09-23 02:00:00,0.30,None,0.10,0.10
2021-06-17 02:00:00,0.10,None,0.10,0.10
2021-03-18 02:00:00,0.10,None,0.10,0.10
2020-12-17 03:00:00,0.10,None,0.10,0.10
2020-09-17 02:00:00,0.10,None,0.10,0.10
2020-06-11 02:00:00,0.10,None,1.60,1.60
2019-12-12 03:00:00,1.60,None,1.90,1.90
2019-09-19 02:00:00,1.90,None,2.10,
