datetime,US_FFR_l_Actual,US_FFR_l_Srv_Med,US_FFR_l_Revised,US_FFR_l_Prior
2023-06-15 02:00:00,2.5,None,2.5,2.5
2023-03-23 02:00:00,2.5,None,2.5,2.5
2022-12-15 03:00:00,2.5,None,2.5,2.5
2022-09-22 02:00:00,2.5,None,2.5,2.5
2022-06-16 02:00:00,2.5,None,2.4,2.4
2022-03-17 02:00:00,2.4,None,2.5,2.5
2021-12-16 03:00:00,2.5,None,2.5,2.5
2021-09-23 02:00:00,2.5,None,2.5,2.5
2021-06-17 02:00:00,2.5,None,2.5,2.5
2021-03-18 02:00:00,2.5,None,2.5,2.5
2020-12-17 03:00:00,2.5,None,2.5,2.5
2020-09-17 02:00:00,2.5,None,2.5,2.5
2020-06-11 02:00:00,2.5,None,2.5,2.5
2019-12-12 03:00:00,2.5,None,2.5,2.5
2019-09-19 02:00:00,2.5,None,2.5,
