datetime,US_GDP_QoQ_Actual,US_GDP_QoQ_Srv_Med,US_GDP_QoQ_Revised,US_GDP_QoQ_Prior,Is_P
2023-08-30 20:30:00,None,None,2.4,2.0,0.0
2023-07-27 20:30:00,2.4,1.8,2.0,1.3,1.0
2023-06-29 20:30:00,2.0,1.4,2.6,2.6,0.0
2023-05-25 20:30:00,1.3,1.1,2.6,1.1,1.0
2023-04-27 20:30:00,1.1,2.0,2.6,2.7,1.0
2023-03-30 20:30:00,2.6,2.7,3.2,3.2,0.0
2023-02-23 21:30:00,2.7,2.9,3.2,2.9,1.0
2023-01-26 21:30:00,2.9,2.6,3.2,2.9,1.0
2022-12-22 21:30:00,3.2,2.9,-0.6,-0.6,0.0
2022-11-30 21:30:00,2.9,2.7,2.6,2.6,1.0
2022-10-27 20:30:00,2.6,2.4,-0.6,-0.6,1.0
2022-09-29 20:30:00,-0.6,-0.6,-1.6,-1.6,0.0
2022-08-25 20:30:00,-0.6,-0.8,-0.9,-0.9,1.0
2022-07-28 20:30:00,-0.9,0.5,-1.6,-1.5,1.0
2022-06-29 20:30:00,-1.6,-1.5,-1.5,6.9,0.0
2022-05-26 20:30:00,-1.5,-1.3,-1.4,-1.4,1.0
2022-04-28 20:30:00,-1.4,1.1,6.9,7.0,1.0
2022-03-30 20:30:00,6.9,7.1,7.0,2.3,0.0
2022-02-24 21:30:00,7.0,7.0,6.9,6.9,1.0
2022-01-27 21:30:00,6.9,5.5,2.3,2.1,1.0
2021-12-22 21:30:00,2.3,2.1,2.1,6.7,0.0
2021-11-24 21:30:00,2.1,2.2,2.0,2.0,1.0
2021-10-28 20:30:00,2.0,2.7,6.7,6.6,1.0
2021-09-30 20:30:00,6.7,6.6,6.6,6.4,0.0
2021-08-26 20:30:00,6.6,6.7,6.5,6.5,1.0
2021-07-29 20:30:00,6.5,8.5,6.4,6.4,1.0
2021-06-24 20:30:00,6.4,6.4,6.4,4.3,0.0
2021-05-27 20:30:00,6.4,6.5,6.4,6.4,1.0
2021-04-29 20:30:00,6.4,6.1,4.3,4.1,1.0
2021-03-25 20:30:00,4.3,4.1,4.1,33.4,0.0
2021-02-25 21:30:00,4.1,4.2,4.0,4.0,1.0
2021-01-28 21:30:00,4.0,4.0,33.4,33.1,1.0
2020-12-22 21:30:00,33.4,33.1,33.1,-31.4,0.0
2020-11-25 21:30:00,33.1,33.2,33.1,33.1,1.0
2020-10-29 20:30:00,33.1,31.0,-31.4,-31.7,1.0
2020-09-30 20:30:00,-31.4,-31.7,-31.7,-5.0,0.0
2020-08-27 20:30:00,-31.7,-32.5,-32.9,-32.9,1.0
2020-07-30 20:30:00,-32.9,-34.1,-5.0,-5.0,1.0
2020-06-25 20:30:00,-5.0,-5.0,-5.0,2.1,0.0
2020-05-28 20:30:00,-5.0,-4.8,-4.8,-4.8,1.0
2020-04-29 20:30:00,-4.8,-4.0,2.1,2.1,1.0
2016-01-29 21:30:00,0.7,0.8,2.0,2.1,1.0
2020-03-26 20:30:00,2.1,2.1,2.1,2.1,0.0
2020-02-27 21:30:00,2.1,2.1,2.1,2.1,1.0
2015-12-22 21:30:00,2.0,1.9,2.1,3.9,0.0
2020-01-30 21:30:00,2.1,2.1,2.1,2.1,1.0
2015-11-24 21:30:00,2.1,2.1,1.5,1.5,1.0
2015-10-29 20:30:00,1.5,1.6,3.9,3.7,1.0
2019-12-20 21:30:00,2.1,2.1,2.1,2.0,0.0
2019-11-27 21:30:00,2.1,1.9,1.9,1.9,1.0
2015-09-25 20:30:00,3.9,3.7,3.7,-0.2,0.0
2019-10-30 20:30:00,1.9,1.6,2.0,2.0,1.0
2015-08-27 20:30:00,3.7,3.2,2.3,2.3,1.0
2019-09-26 20:30:00,2.0,2.0,2.0,3.1,0.0
2015-07-30 20:30:00,2.3,2.6,0.6,-0.7,1.0
2019-08-29 20:30:00,2.0,2.0,2.1,2.1,1.0
2015-06-24 20:30:00,-0.2,-0.2,-0.7,2.2,0.0
2019-07-26 20:30:00,2.1,1.8,3.1,3.1,1.0
2015-05-29 20:30:00,-0.7,-0.8,0.2,0.2,1.0
2019-06-27 20:30:00,3.1,3.1,3.1,2.2,0.0
2015-04-29 20:30:00,0.2,1.0,2.2,2.2,1.0
2019-05-30 20:30:00,3.1,3.1,2.2,3.2,1.0
2015-03-27 20:30:00,2.2,2.4,2.2,5.0,0.0
2015-02-27 21:30:00,2.2,2.1,2.6,2.6,1.0
2019-04-26 20:30:00,3.2,2.0,2.2,2.6,1.0
2015-01-30 21:30:00,2.6,3.0,5.0,3.9,1.0
2019-03-28 20:30:00,2.2,2.4,2.6,3.4,0.0
2014-12-23 21:30:00,5.0,4.3,3.9,4.6,0.0
2019-02-28 21:30:00,2.6,2.6,3.4,3.5,1.0
2018-12-21 21:30:00,3.4,3.5,3.5,4.2,0.0
2014-11-25 21:30:00,3.9,3.3,3.5,3.5,1.0
2018-11-28 21:30:00,3.5,3.6,4.2,3.5,1.0
