datetime,US_IJCFWA_QoQ_Actual,US_IJCFWA_QoQ_Srv_Med,US_IJCFWA_QoQ_Revised,US_IJCFWA_QoQ_Prior
2023-08-24 20:30:00,None,232.63,234.25,234.25
2023-08-17 20:30:00,234.25,229.63,231.50,231.00
2023-08-10 20:30:00,231.00,231.01,228.25,228.25
2023-08-03 20:30:00,228.25,235.63,233.75,233.75
2023-07-27 20:30:00,233.75,242.10,237.50,237.50
2023-07-20 20:30:00,237.50,250.01,246.75,246.75
2023-07-13 20:30:00,246.75,255.39,253.50,253.25
2023-07-06 20:30:00,253.25,256.64,256.75,257.50
2023-06-29 20:30:00,257.50,251.27,256.00,255.75
2023-06-22 20:30:00,255.75,242.01,247.25,246.75
2023-06-15 20:30:00,246.75,233.38,237.50,237.25
2023-06-08 20:30:00,237.25,209.67,229.75,229.50
2023-06-01 20:30:00,229.50,None,232.00,231.75
2023-05-25 20:30:00,231.75,258.97,231.75,244.25
2023-05-18 20:30:00,244.25,245.94,245.25,245.25
2023-05-11 20:30:00,245.25,220.35,239.25,239.25
2023-05-04 20:30:00,239.25,217.09,235.75,236.00
2023-04-27 20:30:00,236.00,None,240.00,239.75
2023-04-20 20:30:00,239.75,255.15,240.25,240.00
2023-04-13 20:30:00,240.00,253.17,237.75,237.75
2023-04-06 20:30:00,237.75,196.50,242.00,198.25
2023-03-30 20:30:00,198.25,None,196.25,196.25
2023-03-23 20:30:00,196.25,None,196.50,196.50
2023-03-16 20:30:00,196.50,None,197.25,197.00
2023-03-09 21:30:00,197.00,None,193.00,193.00
2023-03-02 21:30:00,193.00,None,191.25,191.25
2023-02-23 21:30:00,191.25,None,189.75,189.50
2023-02-16 21:30:00,189.50,None,189.00,189.25
2023-02-09 21:30:00,189.25,None,191.75,191.75
2023-02-02 21:30:00,191.75,None,197.50,197.50
2023-01-26 21:30:00,197.50,None,206.75,206.00
2023-01-19 21:30:00,206.00,None,212.50,212.50
2023-01-12 21:30:00,212.50,None,214.25,213.75
2023-01-05 21:30:00,213.75,None,220.50,221.00
2022-12-29 21:30:00,221.00,None,221.25,221.75
2022-12-22 21:30:00,221.75,None,228.00,227.25
2022-12-15 21:30:00,227.25,None,230.25,230.00
2022-12-08 21:30:00,230.00,None,229.00,228.75
2022-12-01 21:30:00,228.75,None,227.00,226.75
2022-11-23 21:30:00,226.75,None,221.25,221.00
2022-11-17 21:30:00,221.00,None,219.00,218.75
2022-11-10 21:30:00,218.75,None,219.00,218.75
2022-11-03 20:30:00,218.75,None,219.25,219.00
2022-10-27 20:30:00,219.00,None,212.25,212.25
2022-10-20 20:30:00,212.25,None,211.00,211.50
2022-10-13 20:30:00,211.50,None,206.50,206.50
2022-10-06 20:30:00,206.50,None,206.25,207.00
2022-09-29 20:30:00,207.00,None,215.75,216.75
2022-09-22 20:30:00,216.75,None,222.75,224.00
2022-09-15 20:30:00,224.00,None,232.00,233.00
2022-09-08 20:30:00,233.00,None,240.50,241.50
2022-09-01 20:30:00,241.50,None,245.50,247.00
2022-08-25 20:30:00,247.00,None,245.50,246.75
2022-08-18 20:30:00,246.75,None,249.50,252.00
2022-08-11 20:30:00,252.00,None,247.50,254.75
2022-08-04 20:30:00,254.75,None,248.75,249.25
2022-07-28 20:30:00,249.25,None,243.00,240.50
2022-07-21 20:30:00,240.50,None,236.00,235.75
2022-07-14 20:30:00,235.75,None,232.50,232.50
2022-07-07 20:30:00,232.50,None,231.75,231.75
2022-06-30 20:30:00,231.75,None,224.50,223.50
2022-06-23 20:30:00,223.50,None,219.00,218.50
2022-06-16 20:30:00,218.50,None,215.75,215.00
2022-06-09 20:30:00,215.00,None,207.00,206.50
2022-06-02 20:30:00,206.50,None,207.00,206.75
2022-05-26 20:30:00,206.75,None,199.50,199.50
2022-05-19 20:30:00,199.50,None,191.25,192.75
2022-05-12 20:30:00,192.75,None,188.50,188.00
2022-05-05 20:30:00,188.00,None,180.00,179.75
2022-04-28 20:30:00,179.75,None,177.50,177.25
2022-04-21 20:30:00,177.25,None,172.75,172.25
2022-04-14 20:30:00,172.25,None,170.25,170.00
2022-04-07 20:30:00,170.00,None,178.00,208.50
2022-03-31 20:30:00,208.50,None,212.00,211.75
2022-03-24 20:30:00,211.75,None,223.25,223.00
2022-03-17 20:30:00,223.00,None,231.75,231.25
2022-03-10 21:30:00,231.25,None,230.75,230.50
2022-03-03 21:30:00,230.50,None,236.50,236.25
2022-02-24 21:30:00,236.25,None,243.50,243.25
2022-02-17 21:30:00,243.25,None,253.75,253.25
2022-02-10 21:30:00,253.25,None,255.25,255.00
2022-02-03 21:30:00,255.00,None,247.25,247.00
2022-01-27 21:30:00,247.00,None,232.00,231.00
2022-01-20 21:30:00,231.00,None,211.00,210.75
2022-01-13 21:30:00,210.75,None,204.50,204.50
2022-01-06 21:30:00,204.50,None,199.75,199.25
2021-12-30 21:30:00,199.25,None,206.50,206.25
2021-12-23 21:30:00,206.25,None,203.50,203.75
2021-12-16 21:30:00,203.75,None,219.75,218.75
2021-12-09 21:30:00,218.75,None,240.00,238.75
2021-12-02 21:30:00,238.75,None,251.00,252.25
2021-11-24 21:30:00,252.25,None,273.25,272.75
2021-11-18 21:30:00,272.75,None,278.50,278.00
2021-11-10 21:30:00,278.00,None,285.25,284.75
2021-11-04 20:30:00,284.75,None,299.75,299.25
2021-10-28 20:30:00,299.25,None,320.00,319.75
2021-10-21 20:30:00,319.75,None,335.00,334.25
2021-10-14 20:30:00,334.25,None,344.75,344.00
2021-10-07 20:30:00,344.00,None,340.50,340.00
2021-09-30 20:30:00,340.00,None,335.75,335.75
2021-09-23 20:30:00,335.75,None,336.50,335.75
2021-09-16 20:30:00,335.75,None,340.00,339.50
2021-09-09 20:30:00,339.50,None,356.25,355.00
2021-09-02 20:30:00,355.00,None,366.75,366.50
2021-08-26 20:30:00,366.50,None,378.00,377.75
2021-08-19 20:30:00,377.75,None,396.75,396.25
2021-08-12 20:30:00,396.25,None,394.50,394.00
2021-08-05 20:30:00,394.00,None,394.25,394.50
2021-07-29 20:30:00,394.50,None,386.50,385.25
2021-07-22 20:30:00,385.25,None,384.50,382.50
2021-07-15 20:30:00,382.50,None,397.00,394.50
2021-07-08 20:30:00,394.50,None,394.75,392.75
2021-07-01 20:30:00,392.75,None,398.75,397.75
2021-06-24 20:30:00,397.75,None,396.25,395.00
2021-06-17 20:30:00,395.00,None,403.00,402.50
2021-06-10 20:30:00,402.50,None,428.00,428.00
2021-06-03 20:30:00,428.00,None,458.50,458.75
2021-05-27 20:30:00,458.75,None,504.75,504.75
2021-05-20 20:30:00,504.75,None,535.25,534.00
2021-05-13 20:30:00,534.00,None,562.25,560.00
2021-05-06 20:30:00,560.00,None,621.00,611.75
2021-04-29 20:30:00,611.75,None,655.75,651.00
2021-04-22 20:30:00,651.00,None,678.75,683.00
2021-04-15 20:30:00,683.00,None,730.25,723.75
2021-04-08 20:30:00,723.75,None,721.25,719.00
2021-04-01 20:30:00,719.00,None,729.50,736.00
2021-03-25 20:30:00,736.00,None,749.00,746.25
2021-03-18 20:30:00,746.25,None,762.25,759.00
2021-03-11 21:30:00,759.00,None,793.00,790.75
2021-03-04 21:30:00,790.75,None,807.50,807.75
2021-02-25 21:30:00,807.75,None,828.25,833.25
2021-02-18 21:30:00,833.25,None,836.75,823.00
2021-02-11 21:30:00,823.00,None,856.50,848.25
2021-02-04 21:30:00,848.25,None,849.50,868.00
2021-01-28 21:30:00,868.00,None,851.75,848.00
2021-01-21 21:30:00,848.00,None,824.50,834.25
2021-01-14 21:30:00,834.25,None,816.00,818.75
2021-01-07 21:30:00,818.75,None,837.50,836.75
2020-12-31 21:30:00,836.75,None,819.00,818.25
2020-12-23 21:30:00,818.25,None,814.25,812.50
2020-12-17 21:30:00,812.50,None,778.25,776.00
2020-12-10 21:30:00,776.00,None,740.50,739.50
2020-12-03 21:30:00,739.50,None,750.75,748.50
2020-11-25 21:30:00,748.50,None,743.50,742.00
2020-11-19 21:30:00,742.00,None,755.75,755.25
2020-11-12 21:30:00,755.25,None,788.50,787.00
2020-11-05 21:30:00,787.00,None,791.00,787.75
2020-10-29 20:30:00,787.75,None,812.25,811.25
2020-10-22 20:30:00,811.25,None,832.75,866.25
2020-10-15 20:30:00,866.25,None,858.25,857.00
2020-10-08 20:30:00,857.00,None,870.25,867.25
2020-10-01 20:30:00,867.25,None,879.00,878.25
2020-09-24 20:30:00,878.25,None,913.50,912.00
2020-09-17 20:30:00,912.00,None,973.00,970.75
2020-09-10 20:30:00,970.75,None,992.50,991.75
2020-09-03 20:30:00,991.75,None,1069.25,1068.00
2020-08-27 20:30:00,1068.00,None,1175.25,1175.75
2020-08-20 20:30:00,1175.75,None,1254.75,1252.75
2020-08-13 20:30:00,1252.75,None,1339.00,1337.75
2020-08-06 20:30:00,1337.75,None,1368.75,1368.50
2020-07-30 20:30:00,1368.50,None,1362.00,1360.25
2020-07-23 20:30:00,1360.25,None,1376.75,1375.00
2020-07-16 20:30:00,1375.00,None,1435.00,1437.25
2020-07-09 20:30:00,1437.25,None,1500.25,1503.75
2020-07-02 20:30:00,1503.75,None,1621.25,1620.75
2020-06-25 20:30:00,1620.75,None,1781.50,1773.50
2020-06-18 20:30:00,1773.50,None,2008.00,2002.00
2020-06-11 20:30:00,2002.00,None,2288.25,2284.00
2020-06-04 20:30:00,2284.00,None,2608.75,2608.00
2020-05-28 20:30:00,2608.00,None,3044.00,3042.00
2020-05-21 20:30:00,3042.00,None,3543.00,3616.50
2020-05-14 20:30:00,3616.50,None,4180.50,4173.50
2020-05-07 20:30:00,4173.50,None,5035.00,5033.25
2020-04-30 20:30:00,5033.25,None,5790.25,5786.50
2020-04-23 20:30:00,5786.50,None,5506.50,5508.50
2020-04-16 20:30:00,5508.50,None,4267.75,4265.50
2020-04-09 20:30:00,4265.50,None,2666.75,2612.00
2020-04-02 20:30:00,2612.00,None,1004.25,998.25
2020-03-26 20:30:00,998.25,None,232.50,232.25
2020-03-19 20:30:00,232.25,None,215.75,214.00
2020-03-12 20:30:00,214.00,None,212.75,213.00
2020-03-05 21:30:00,213.00,None,209.75,209.75
2020-02-27 21:30:00,209.75,None,209.25,209.00
2020-02-20 21:30:00,209.00,None,212.25,212.00
2020-02-13 21:30:00,212.00,None,212.00,211.75
2020-02-06 21:30:00,211.75,None,214.75,214.50
2020-01-30 21:30:00,214.50,None,216.25,213.25
2020-01-23 21:30:00,213.25,None,216.50,216.25
2020-01-16 21:30:00,216.25,None,224.00,224.00
2020-01-09 21:30:00,224.00,None,233.50,233.25
2020-01-02 21:30:00,233.25,None,228.50,228.00
2019-12-26 21:30:00,228.00,None,225.75,225.50
2019-12-19 21:30:00,225.50,None,224.00,224.00
2019-12-12 21:30:00,224.00,None,217.75,217.75
2019-12-05 21:30:00,217.75,None,219.75,219.75
2019-11-27 21:30:00,219.75,None,221.25,221.00
2019-11-21 21:30:00,221.00,None,217.50,217.00
2019-11-14 21:30:00,217.00,None,215.25,215.25
2019-11-07 21:30:00,215.25,None,214.75,214.75
2019-10-31 20:30:00,214.75,None,215.25,215.00
2019-10-24 20:30:00,215.00,None,215.75,214.75
2019-10-17 20:30:00,214.75,None,213.75,213.75
2019-10-10 20:30:00,213.75,None,212.75,212.50
2019-10-03 20:30:00,212.50,None,212.50,212.00
2019-09-26 20:30:00,212.00,None,212.75,212.25
2019-09-19 20:30:00,212.25,None,213.00,212.50
2019-09-12 20:30:00,212.50,None,216.75,216.25
2019-09-05 20:30:00,216.25,None,214.75,214.50
2019-08-29 20:30:00,214.50,None,215.00,214.50
2019-08-22 20:30:00,214.50,None,214.00,213.75
2019-08-15 20:30:00,213.75,None,212.75,212.25
2019-08-08 20:30:00,212.25,None,212.00,211.50
2019-08-01 20:30:00,211.50,None,213.25,213.00
2019-07-25 20:30:00,213.00,None,218.75,218.75
2019-07-18 20:30:00,218.75,None,219.00,219.25
2019-07-11 20:30:00,219.25,None,222.50,222.25
2019-07-03 20:30:00,222.25,None,221.75,221.25
2019-06-27 20:30:00,221.25,None,219.00,218.75
2019-06-20 20:30:00,218.75,None,217.75,217.75
2019-06-13 20:30:00,217.75,None,215.25,215.00
2019-06-06 20:30:00,215.00,None,217.50,216.75
2019-05-30 20:30:00,216.75,None,220.50,220.25
2019-05-23 20:30:00,220.25,None,225.00,225.00
2019-05-16 20:30:00,225.00,None,220.25,220.25
2019-05-09 20:30:00,220.25,None,212.50,212.50
2019-05-02 20:30:00,212.50,None,206.00,206.00
2019-04-25 20:30:00,206.00,None,201.50,201.25
2019-04-18 20:30:00,201.25,None,207.25,207.00
2019-04-11 20:30:00,207.00,None,214.00,213.50
2019-04-04 20:30:00,213.50,None,217.50,217.25
2019-03-28 20:30:00,217.25,None,220.50,225.00
2019-03-21 20:30:00,225.00,None,224.00,223.75
2019-03-14 20:30:00,223.75,None,226.25,226.25
2019-03-07 21:30:00,226.25,None,229.25,229.00
2019-02-28 21:30:00,229.00,,236.0,235.75
2019-02-21 21:30:00,235.75,,231.75,231.75
2019-02-14 21:30:00,231.75,,225.0,224.75
2019-02-07 21:30:00,224.75,,220.25,220.25
2019-01-31 21:30:00,220.25,,215.25,215.00
2019-01-24 21:30:00,215.00,,220.5,220.75
2019-01-17 21:30:00,220.75,,221.75,221.75
2019-01-10 21:30:00,221.75,,219.25,218.75
2019-01-03 21:30:00,218.75,,219.25,218.00
2018-12-27 21:30:00,218.00,,222.75,222.00
2018-12-20 21:30:00,222.00,,224.75,224.75
2018-12-13 21:30:00,224.75,,228.5,228.00
2018-12-06 21:30:00,228.00,,223.75,223.25
2018-11-29 21:30:00,223.25,,218.5,218.50
2018-11-21 21:30:00,218.50,,216.5,215.25
2018-11-15 21:30:00,215.25,,213.75,213.75
2018-11-08 21:30:00,213.75,,214.0,213.75
2018-11-01 20:30:00,213.75,,212.0,211.75
2018-10-25 20:30:00,211.75,,211.75,211.75
2018-10-18 20:30:00,211.75,,209.75,209.50
2018-10-11 20:30:00,209.50,,207.0,207.00
2018-10-04 20:30:00,207.00,,206.5,206.25
2018-09-27 20:30:00,206.25,,206.0,205.75
2018-09-20 20:30:00,205.75,,208.0,208.00
2018-09-13 20:30:00,208.00,,210.0,209.50
2018-09-06 20:30:00,209.50,,212.25,212.25
