datetime,US_JOLTS_Actual,US_JOLTS_Srv_Med,US_JOLTS_Revised,US_JOLTS_Prior
2023-08-29 22:00:00,None,None,9.582,9.582
2023-08-01 22:00:00,9.582,9.610,9.616,9.824
2023-07-06 22:00:00,9.824,9.935,10.320,10.103
2023-05-31 22:00:00,10.103,9.775,9.745,9.590
2023-05-02 22:00:00,9.590,9.775,9.974,9.931
2023-04-04 22:00:00,9.931,10.400,10.563,10.824
2023-03-08 23:00:00,10.824,10.500,11.234,11.012
2023-02-01 23:00:00,11.012,10.250,10.440,10.458
2023-01-04 23:00:00,10.458,10.000,10.512,10.334
2022-11-30 23:00:00,10.334,10.300,10.687,10.717
2022-11-01 22:00:00,10.717,10.000,10.280,10.053
2022-10-04 22:00:00,10.053,10.775,11.170,11.239
2022-08-30 22:00:00,11.239,10.475,11.04,10.698
2022-08-02 22:00:00,10.698,11.000,11.303,11.254
2022-07-06 22:00:00,11.254,11.000,11.681,11.400
2022-06-01 22:00:00,11.400,11.400,11.855,11.549
2022-05-03 22:00:00,11.549,11.000,11.344,11.266
2022-03-29 22:00:00,11.266,11.000,11.283,11.263
2022-03-09 23:00:00,11.263,10.925,11.448,10.925
2022-02-01 23:00:00,10.925,10.300,10.775,10.562
2022-01-04 23:00:00,10.562,11.075,11.091,11.033
2021-12-08 23:00:00,11.033,10.369,10.602,10.438
2021-11-12 23:00:00,10.438,10.300,10.629,10.439
2021-10-12 22:00:00,10.439,10.925,11.098,10.934
2021-09-08 22:00:00,10.934,10.000,10.185,10.073
2021-08-09 22:00:00,10.073,9.281,9.483,9.209
2021-07-07 22:00:00,9.209,9.388,9.193,9.286
2021-06-08 22:00:00,9.286,8.300,8.288,8.123
2021-05-11 22:00:00,8.123,7.500,7.526,7.367
2021-04-06 22:00:00,7.367,6.995,7.099,6.917
2021-03-11 23:00:00,6.917,6.600,6.752,6.646
2021-02-09 23:00:00,6.646,6.500,6.572,6.527
2021-01-12 23:00:00,6.527,,6.632,6.652
2020-12-09 23:00:00,6.652,6.300,6.494,6.436
2020-11-10 23:00:00,6.436,6.500,6.352,6.493
2020-10-06 22:00:00,6.493,6.685,6.697,6.618
2020-09-09 22:00:00,6.618,6.000,6.001,5.889
2020-08-10 22:00:00,5.889,,5.371,5.397
2020-07-07 22:00:00,5.397,4.850,4.996,5.046
2020-06-09 22:00:00,5.046,5.000,6.011,6.191
2020-05-15 22:00:00,6.191,,7.004,6.882
2020-04-07 22:00:00,6.882,6.600,7.012,6.963
2020-03-17 22:00:00,6.963,6.476,6.552,6.423
2020-02-11 23:00:00,6.423,7.000,6.787,6.800
2020-01-17 23:00:00,6.800,7.233,7.361,7.267
2019-12-17 23:00:00,7.267,7.018,7.032,7.024
2019-11-05 23:00:00,7.024,7.028,7.301,7.051
2019-10-09 22:00:00,7.051,7.191,7.174,7.217
2019-09-10 22:00:00,7.217,7.311,7.248,7.348
2019-08-06 22:00:00,7.348,7.450,7.384,7.323
2019-07-09 22:00:00,7.323,7.470,7.372,7.449
2019-06-10 22:00:00,7.449,7.479,7.474,7.488
2019-05-07 22:00:00,7.488,7.350,7.142,7.087
2019-04-09 22:00:00,7.087,7.550,7.625,7.581
2019-03-15 22:00:00,7.581,7.310,7.479,7.335
2019-02-12 23:00:00,7.335,6.900,7.166,6.888
2019-01-08 23:00:00,6.888,7.063,7.131,7.079
2018-12-10 23:00:00,7.079,7.220,6.96,7.009
2018-11-06 23:00:00,7.009,7.100,7.293,7.136
2018-10-16 22:00:00,7.136,6.945,7.077,6.939
2018-09-11 22:00:00,6.939,6.646,6.822,6.662
2018-08-07 22:00:00,6.662,6.740,6.659,6.638
2018-07-10 22:00:00,6.638,6.583,6.84,6.698
2018-06-05 22:00:00,6.698,6.490,6.633,6.550
2018-05-08 22:00:00,6.550,6.020,6.078,6.052
2018-04-13 22:00:00,6.052,6.110,6.228,6.312
2018-03-16 22:00:00,6.312,5.890,5.667,5.811
2018-02-06 23:00:00,5.811,5.950,5.978,5.879
2018-01-09 23:00:00,5.879,6.038,5.925,5.996
2017-12-11 23:00:00,5.996,6.030,6.177,6.093
2017-11-07 23:00:00,6.093,6.091,6.09,6.082
2017-10-11 22:00:00,6.082,6.125,6.14,6.170
2017-09-12 22:00:00,6.170,5.960,6.116,6.163
2017-08-08 22:00:00,6.163,5.775,5.702,5.666
2017-07-11 22:00:00,5.666,5.950,5.967,6.044
2017-06-06 22:00:00,6.044,5.650,5.785,5.743
