datetime,US_LFPR_YoY_Actual,US_LFPR_YoY_Srv_Med,US_LFPR_YoY_Revised,US_LFPR_YoY_Prior
9/1/2023 20:30,None,None,62.6,62.6
8/4/2023 20:30,62.6,62.6,62.6,62.6
7/7/2023 20:30,62.6,62.6,62.6,62.6
6/2/2023 20:30,62.6,62.5,62.6,62.6
5/5/2023 20:30,62.6,62.5,62.6,62.6
4/7/2023 20:30,62.6,62.5,62.5,62.5
3/10/2023 21:30,62.5,None,62.4,62.4
2/3/2023 21:30,62.4,None,62.3,62.3
1/6/2023 21:30,62.3,None,62.2,62.1
12/2/2022 21:30,62.1,None,62.2,62.2
11/4/2022 20:30,62.2,None,62.3,62.3
10/7/2022 20:30,62.3,None,62.4,62.4
9/2/2022 20:30,62.4,None,62.1,62.1
8/5/2022 20:30,62.1,None,62.2,62.2
7/8/2022 20:30,62.2,None,62.3,62.3
6/3/2022 20:30,62.3,None,62.2,62.2
5/6/2022 20:30,62.2,None,62.4,62.4
4/1/2022 20:30,62.4,None,62.3,62.3
3/4/2022 21:30,62.3,None,62.2,62.2
2/4/2022 21:30,62.2,None,61.9,61.9
1/7/2022 21:30,61.9,None,61.9,61.8
12/3/2021 21:30,61.8,None,61.6,61.6
11/5/2021 20:30,61.6,None,61.6,61.6
10/8/2021 20:30,61.6,None,61.7,61.7
9/3/2021 20:30,61.7,None,61.7,61.7
8/6/2021 20:30,61.7,None,61.6,61.6
7/2/2021 20:30,61.6,None,61.6,61.6
6/4/2021 20:30,61.6,None,61.7,61.7
5/7/2021 20:30,61.7,None,61.5,61.5
4/2/2021 20:30,61.5,None,61.4,61.4
3/5/2021 21:30,61.4,None,61.4,61.4
2/5/2021 21:30,61.4,None,61.5,61.5
1/8/2021 21:30,61.5,None,61.5,61.5
12/4/2020 21:30,61.5,None,61.7,61.7
11/6/2020 21:30,61.7,None,61.4,61.4
10/2/2020 20:30,61.4,None,61.7,61.7
9/4/2020 20:30,61.7,None,61.4,61.4
8/7/2020 20:30,61.4,None,61.5,61.5
7/2/2020 20:30,61.5,None,60.8,60.8
6/5/2020 20:30,60.8,None,60.2,60.2
5/8/2020 20:30,60.2,None,62.7,62.7
4/3/2020 20:30,62.7,63.3,63.4,63.4
3/6/2020 21:30,63.4,None,63.4,63.4
2/7/2020 21:30,63.4,63.1,63.2,63.2
1/10/2020 21:30,63.2,63.2,63.2,63.2
12/6/2019 21:30,63.2,63.3,63.3,63.3
11/1/2019 20:30,63.3,63.2,63.2,63.2
10/4/2019 20:30,63.2,None,63.2,63.2
9/6/2019 20:30,63.2,None,63,63
8/2/2019 20:30,63,None,62.9,62.9
7/5/2019 20:30,62.9,None,62.8,62.8
6/7/2019 20:30,62.8,None,62.8,62.8
5/3/2019 20:30,62.8,62.9,63,63
4/5/2019 20:30,63,None,63.2,63.2
3/8/2019 21:30,63.2,None,63.2,63.2
2/1/2019 21:30,63.2,None,63.1,63.1
1/4/2019 21:30,63.1,None,62.9,62.9
12/7/2018 21:30,62.9,None,62.9,62.9
11/2/2018 20:30,62.9,None,62.7,62.7
10/5/2018 20:30,62.7,None,62.7,62.7
9/7/2018 20:30,62.7,None,62.9,62.9
8/3/2018 20:30,62.9,None,62.9,62.9
7/6/2018 20:30,62.9,None,62.7,62.7
6/1/2018 20:30,62.7,None,62.8,62.8
5/4/2018 20:30,62.8,None,62.9,62.9
4/6/2018 20:30,62.9,None,63,63
3/9/2018 21:30,63,None,62.7,62.7
2/2/2018 21:30,62.7,None,62.7,62.7
1/5/2018 21:30,62.7,None,62.7,62.7
12/8/2017 21:30,62.7,None,62.7,62.7
11/3/2017 20:30,62.7,None,63.1,63.1
10/6/2017 20:30,63.1,None,62.9,62.9
9/1/2017 20:30,62.9,None,62.9,62.9
8/4/2017 20:30,62.9,None,62.8,62.8
7/7/2017 20:30,62.8,None,62.7,62.7
6/2/2017 20:30,62.7,None,62.9,62.9
5/5/2017 20:30,62.9,None,63,63
4/7/2017 20:30,63,None,63,63
3/10/2017 21:30,63,None,62.9,62.9
2/3/2017 21:30,62.9,None,62.7,62.7
1/6/2017 21:30,62.7,None,62.6,62.7
12/2/2016 21:30,62.7,None,62.8,62.8
11/4/2016 20:30,62.8,None,62.9,62.9
10/7/2016 20:30,62.9,None,62.8,62.8
9/2/2016 20:30,62.8,None,62.8,62.8
8/5/2016 20:30,62.8,None,62.7,62.7
7/8/2016 20:30,62.7,None,62.6,62.6
6/3/2016 20:30,62.6,None,62.8,62.8
5/6/2016 20:30,62.8,None,63,63
4/1/2016 20:30,63,None,62.9,62.9
3/4/2016 21:30,62.9,None,62.7,62.7
2/5/2016 21:30,62.7,None,62.6,62.6
1/8/2016 21:30,62.6,None,62.5,62.5
12/4/2015 21:30,62.5,62.4,62.4,62.4
11/6/2015 21:30,62.4,None,62.4,62.4
10/2/2015 20:30,62.4,None,62.6,62.6
9/4/2015 20:30,62.6,None,62.6,62.6
8/7/2015 20:30,62.6,None,62.6,62.6
7/2/2015 20:30,62.6,None,62.9,62.9
6/5/2015 20:30,62.9,None,62.8,62.8
5/8/2015 20:30,62.8,None,62.7,62.7
4/3/2015 20:30,62.7,None,62.8,62.8
3/6/2015 21:30,62.8,None,62.9,62.9
2/6/2015 21:30,62.9,None,62.7,62.7
1/9/2015 21:30,62.7,None,62.9,62.8
12/5/2014 21:30,62.8,None,62.8,62.8
11/7/2014 21:30,62.8,None,62.7,62.7
10/3/2014 20:30,62.7,None,62.8,62.8
9/5/2014 20:30,62.8,None,62.9,
