datetime,US_MCC_Actual,US_MCC_Srv_Med,US_MCC_Revised,US_MCC_Prior,Is_P
2023-08-25 22:00:00,None,77.4,76.6,76.6,0
2023-08-11 22:00:00,77.4,76.9,76.6,77.5,1
2023-07-28 22:00:00,76.6,77.5,69.0,69.0,0
2023-07-14 22:00:00,77.5,70.4,69.0,68.0,1
2023-06-30 22:00:00,69.0,68.0,64.9,64.9,0
2023-05-26 22:00:00,64.9,64.5,68.2,68.2,0
2023-06-16 22:00:00,68.0,61.6,64.9,64.5,1
2023-05-12 22:00:00,64.5,67.0,68.2,68.6,1
2023-04-28 22:00:00,68.2,66.0,68.6,66.3,0
2023-04-14 22:00:00,68.6,67.3,66.3,66.4,1
2023-03-31 22:00:00,66.3,66.4,70.7,70.7,0
2023-03-17 22:00:00,66.4,70.0,70.7,72.6,1
2023-02-24 23:00:00,70.7,72.6,68.4,68.4,0
2023-02-10 23:00:00,72.6,68.0,68.4,68.6,1
2023-01-27 23:00:00,68.4,68.6,59.4,59.4,0
2023-01-13 23:00:00,68.6,60.0,59.4,60.2,1
2022-12-23 23:00:00,59.4,,60.2,58.8,0
2022-12-09 23:00:00,60.2,58.0,58.8,57.8,1
2022-11-23 23:00:00,58.8,57.8,65.6,59.7,0
2022-11-11 23:00:00,57.8,64.0,65.6,65.6,1
2022-10-28 22:00:00,65.6,65.3,65.3,65.3,1
2022-10-14 22:00:00,65.3,59.9,59.7,58.9,1
2022-09-30 22:00:00,59.7,,58.9,58.6,0
2022-09-16 22:00:00,58.9,60.8,58.6,55.5,1
2022-08-26 22:00:00,58.6,55.5,58.1,58.1,0
2022-08-12 22:00:00,55.5,59.0,58.1,57.1,1
2022-07-29 22:00:00,58.1,57.1,53.8,53.8,0
2022-07-15 22:00:00,57.1,52.5,53.8,55.4,1
2022-06-24 22:00:00,53.8,,55.4,63.3,0
2022-06-10 22:00:00,55.4,62.5,63.3,63.6,1
2022-05-27 22:00:00,63.3,63.6,69.4,69.4,0
2022-05-13 22:00:00,63.6,70.5,69.4,68.1,1
2022-04-29 22:00:00,69.4,67.8,68.1,67.2,0
2022-04-14 22:00:00,68.1,68.0,67.2,67.8,1
2022-03-25 22:00:00,67.2,67.8,68.2,68.2,0
2022-03-11 23:00:00,67.8,66.0,68.2,68.5,1
