datetime,US_NESMI_Actual,US_NESMI_Srv_Med,US_NESMI_Revised,US_NESMI_Prior
2023-08-15 20:30:00,-19.00,-1.00,1.10,1.10
2023-07-17 20:30:00,1.10,-4.30,6.60,6.60
2023-06-15 20:30:00,6.60,-16.00,-31.80,-31.80
2023-05-15 20:30:00,-31.80,-3.70,10.80,10.80
2023-04-17 20:30:00,10.80,-18.00,-24.60,-24.60
2023-03-15 20:30:00,-24.60,-8.00,-5.80,-5.80
2023-02-15 21:30:00,-5.80,-18.00,-32.90,-32.90
2023-01-17 21:30:00,-32.90,-8.70,-11.20,-11.20
2022-12-15 21:30:00,-11.20,-1.00,4.50,4.50
2022-11-15 21:30:00,4.50,-5.00,-9.10,-9.10
2022-10-17 20:30:00,-9.10,-4.00,-1.50,-1.50
2022-09-15 20:30:00,-1.50,-13.00,-31.30,-31.3
2022-08-15 20:30:00,-31.3,5.5,11.1,11.1
2022-07-15 20:30:00,11.1,-2.0,-1.2,-1.2
2022-06-15 20:30:00,-1.2,3.0,-11.6,-11.6
2022-05-16 20:30:00,-11.6,17.0,24.6,24.6
2022-04-15 20:30:00,24.6,0.5,-11.8,-11.8
2022-03-15 20:30:00,-11.8,7.0,3.1,3.1
2022-02-15 21:30:00,3.1,12.15,-0.7,-0.7
2022-01-18 21:30:00,-0.7,25.7,31.9,31.9
2021-12-15 21:30:00,31.9,25.0,30.9,30.9
2021-11-15 21:30:00,30.9,21.6,19.8,19.8
2021-10-15 20:30:00,19.8,27.0,34.3,34.3
2021-09-15 20:30:00,34.3,18.0,18.3,18.3
2021-08-16 20:30:00,18.3,29.0,43.0,43.0
2021-07-15 20:30:00,43.0,18.0,17.4,17.4
2021-06-15 20:30:00,17.4,23.0,24.3,24.3
2021-05-17 20:30:00,24.3,23.9,26.3,26.3
2021-04-15 20:30:00,26.3,19.5,17.4,17.4
2021-03-15 20:30:00,17.4,14.5,12.1,12.1
2021-02-16 21:30:00,12.1,6.0,3.5,3.5
2021-01-15 21:30:00,3.5,6.0,4.9,4.9
2020-12-15 21:30:00,4.9,6.9,6.3,6.3
2020-11-16 21:30:00,6.3,13.5,10.5,10.5
2020-10-15 20:30:00,10.5,15.0,17.0,17.0
2020-09-15 20:30:00,17.0,6.0,3.7,3.7
2020-08-17 20:30:00,3.7,15.0,17.2,17.2
2020-07-15 20:30:00,17.2,10.0,-0.2,-0.2
2020-06-15 20:30:00,-0.2,-27.5,-48.5,-48.5
2020-05-15 20:30:00,-48.5,-63.5,-78.2,-78.2
2020-04-15 20:30:00,-78.2,-35.0,-21.5,-21.5
2020-03-16 20:30:00,-21.5,4.0,12.9,12.9
