datetime,US_NF_HWR_MoM_Actual,US_NF_HWR_MoM_Srv_Med,US_NF_HWR_MoM_Revised,US_NF_HWR_MoM_Prior
9/1/2023 20:30,None,None,0.4,0.4
8/4/2023 20:30,0.4,0.3,0.4,0.4
7/7/2023 20:30,0.4,0.3,0.4,0.3
6/2/2023 20:30,0.3,0.4,0.4,0.5
5/5/2023 20:30,0.5,0.3,0.3,0.3
4/7/2023 20:30,0.3,0.3,0.2,0.2
3/10/2023 21:30,0.2,0.3,0.3,0.3
2/3/2023 21:30,0.3,0.3,0.4,0.3
1/6/2023 21:30,0.3,0.4,0.4,0.6
12/2/2022 21:30,0.6,0.3,0.5,0.4
11/4/2022 20:30,0.4,0.3,0.3,0.3
10/7/2022 20:30,0.3,0.3,0.3,0.3
9/2/2022 20:30,0.3,0.4,0.5,0.5
8/5/2022 20:30,0.5,0.3,0.4,0.3
7/8/2022 20:30,0.3,0.3,0.4,0.3
6/3/2022 20:30,0.3,0.4,0.3,0.3
5/6/2022 20:30,0.3,0.4,0.5,0.4
4/1/2022 20:30,0.4,0.4,0.1,0
3/4/2022 21:30,0,0.5,0.6,0.7
2/4/2022 21:30,0.7,0.5,0.5,0.6
1/7/2022 21:30,0.6,0.4,0.4,0.3
12/3/2021 21:30,0.3,0.4,0.4,0.4
11/5/2021 20:30,0.4,0.4,0.6,0.6
10/8/2021 20:30,0.6,0.4,0.4,0.6
9/3/2021 20:30,0.6,0.3,0.4,0.4
8/6/2021 20:30,0.4,0.3,0.4,0.3
7/2/2021 20:30,0.3,0.4,0.4,0.5
6/4/2021 20:30,0.5,0.2,0.7,0.7
5/7/2021 20:30,0.7,0.1,-0.1,-0.1
4/2/2021 20:30,-0.1,0.1,0.3,0.2
3/5/2021 21:30,0.2,0.2,0.1,0.2
2/5/2021 21:30,0.2,0.3,1,0.8
1/8/2021 21:30,0.8,0.2,0.3,0.3
12/4/2020 21:30,0.3,0.1,0.1,0.1
11/6/2020 21:30,0.1,0.2,0.1,0.1
10/2/2020 20:30,0.1,0.2,0.3,0.4
9/4/2020 20:30,0.4,None,0.1,0.2
8/7/2020 20:30,0.2,-0.5,-1.3,-1.2
7/2/2020 20:30,-1.2,-0.7,-1,-1
6/5/2020 20:30,-1,1,4.7,4.7
5/8/2020 20:30,4.7,0.4,0.5,0.4
4/3/2020 20:30,0.4,0.2,0.3,0.3
3/6/2020 21:30,0.3,0.3,0.2,0.2
2/7/2020 21:30,0.2,0.3,0.1,0.1
1/10/2020 21:30,0.1,0.3,0.3,0.2
12/6/2019 21:30,0.2,0.3,0.4,0.2
11/1/2019 20:30,0.2,0.3,0.4,0
10/4/2019 20:30,0,0.3,0.4,0.4
9/6/2019 20:30,0.4,0.3,0.3,0.3
8/2/2019 20:30,0.3,0.2,0.3,0.2
7/5/2019 20:30,0.2,0.3,0.3,0.2
6/7/2019 20:30,0.2,0.3,0.2,0.2
5/3/2019 20:30,0.2,0.3,0.2,0.1
4/5/2019 20:30,0.1,0.2,0.4,0.4
3/8/2019 21:30,0.4,0.3,0.1,0.1
2/1/2019 21:30,0.1,0.3,0.4,0.4
1/4/2019 21:30,0.4,0.3,0.2,0.2
12/7/2018 21:30,0.2,0.3,0.1,0.2
11/2/2018 20:30,0.2,0.2,0.3,0.3
10/5/2018 20:30,0.3,0.3,0.3,0.4
9/7/2018 20:30,0.4,0.3,0.3,0.3
8/3/2018 20:30,0.3,0.3,0.1,0.2
7/6/2018 20:30,0.2,0.3,0.3,0.3
6/1/2018 20:30,0.3,0.2,0.1,0.1
5/4/2018 20:30,0.1,0.2,0.2,0.3
4/6/2018 20:30,0.3,0.3,0.1,0.1
3/9/2018 21:30,0.1,0.2,0.3,0.3
2/2/2018 21:30,0.3,0.3,0.4,0.3
1/5/2018 21:30,0.3,0.3,0.1,0.2
12/8/2017 21:30,0.2,0.3,-0.1,0
11/3/2017 20:30,0,0.2,0.5,0.5
10/6/2017 20:30,0.5,0.3,0.2,0.1
9/1/2017 20:30,0.1,0.2,0.3,0.3
8/4/2017 20:30,0.3,0.3,0.2,0.2
7/7/2017 20:30,0.2,0.3,0.1,0.2
6/2/2017 20:30,0.2,0.2,0.2,0.3
5/5/2017 20:30,0.3,0.3,0.1,0.2
4/7/2017 20:30,0.2,0.2,0.3,0.2
3/10/2017 21:30,0.2,0.3,0.2,0.1
2/3/2017 21:30,0.1,0.3,0.2,0.4
1/6/2017 21:30,0.4,0.3,-0.1,-0.1
12/2/2016 21:30,-0.1,0.2,0.4,0.4
11/4/2016 20:30,0.4,0.3,0.3,0.2
10/7/2016 20:30,0.2,0.2,0.1,0.1
9/2/2016 20:30,0.1,0.2,0.3,0.3
8/5/2016 20:30,0.3,0.2,0.1,0.1
7/8/2016 20:30,0.1,0.2,0.2,0.2
6/3/2016 20:30,0.2,0.2,0.4,0.3
5/6/2016 20:30,0.3,0.3,0.2,0.3
4/1/2016 20:30,0.3,0.2,-0.1,-0.1
3/4/2016 21:30,-0.1,0.2,0.5,0.5
2/5/2016 21:30,0.5,0.3,0,0
1/8/2016 21:30,0,0.2,0.2,0.2
12/4/2015 21:30,0.2,0.2,0.4,0.4
11/6/2015 21:30,0.4,0.2,0,0
10/2/2015 20:30,0,0.2,0.4,0.3
9/4/2015 20:30,0.3,0.2,0.2,0.2
8/7/2015 20:30,0.2,0.2,0,0
7/2/2015 20:30,0,0.2,0.2,0.3
6/5/2015 20:30,0.3,0.2,0.1,0.1
5/8/2015 20:30,0.1,0.2,0.2,0.3
4/3/2015 20:30,0.3,0.2,0.1,0.1
3/6/2015 21:30,0.1,0.2,0.5,0.5
2/6/2015 21:30,0.5,0.3,-0.2,-0.2
1/9/2015 21:30,-0.2,0.2,0.2,0.4
12/5/2014 21:30,0.4,0.2,0.1,0.1
11/7/2014 21:30,0.1,0.2,0,0
10/3/2014 20:30,0,0.2,0.3,0.2
9/5/2014 20:30,0.2,0.2,0.1,0
8/1/2014 20:30,0,0.2,0.2,0.2
7/3/2014 20:30,0.2,0.2,0.2,0.2
6/6/2014 20:30,0.2,0.2,0,0
5/2/2014 20:30,0,0.2,0.1,0
4/4/2014 20:30,0,0.2,0.4,0.4
3/7/2014 21:30,0.4,0.2,0.2,0.2
2/7/2014 21:30,0.2,0.2,0,0.1
1/10/2014 21:30,0.1,0.2,0.2,0.2
12/6/2013 21:30,0.2,0.2,0.1,0.1
11/8/2013 21:30,0.1,0.2,0.1,0.1
10/22/2013 20:30,0.1,0.2,0.3,0.2
9/6/2013 20:30,0.2,0.2,-0.1,-0.1
8/2/2013 20:30,-0.1,0.2,0.4,0.4
7/5/2013 20:30,0.4,0.2,0.1,0
6/7/2013 20:30,0,0.2,0.2,0.2
5/3/2013 20:30,0.2,0.2,0,0
4/5/2013 20:30,0,0.2,0.1,0.2
3/8/2013 21:30,0.2,0.2,0.1,0.2
2/1/2013 21:30,0.2,0.2,0.3,0.3
1/4/2013 21:30,0.3,0.2,0.3,0.2
12/7/2012 21:30,0.2,0.2,0,0
11/2/2012 20:30,0,0.2,0.3,0.3
10/5/2012 20:30,0.3,0.2,0,0
9/7/2012 20:30,0,0.2,0.1,0.1
8/3/2012 20:30,0.1,0.2,0.3,0.3
7/6/2012 20:30,0.3,0.2,0.2,0.1
6/1/2012 20:30,0.1,0.2,0.1,0
5/4/2012 20:30,0,0.2,0.2,0.2
4/6/2012 20:30,0.2,0.2,0.3,0.1
3/9/2012 21:30,0.1,0.2,0.1,0.2
2/3/2012 21:30,0.2,0.2,0.1,0.2
1/6/2012 21:30,0.2,0.2,0,-0.1
12/2/2011 21:30,-0.1,0.2,0.3,0.2
11/4/2011 20:30,0.2,0.2,0.3,0.2
10/7/2011 20:30,0.2,0.2,-0.2,-0.1
9/2/2011 20:30,-0.1,0.2,0.5,0.4
8/5/2011 20:30,0.4,0.2,0,0
7/8/2011 20:30,0,0.2,0.3,0.3
6/3/2011 20:30,0.3,0.2,0.1,0.1
5/6/2011 20:30,0.1,0.2,0.2,0
4/1/2011 20:30,0,0.2,0,0
3/4/2011 21:30,0,0.2,0.4,0.4
2/4/2011 21:30,0.4,0.2,0.1,0.1
1/7/2011 21:30,0.1,0.1,0,0
12/3/2010 21:30,0,0.1,0.3,0.2
11/5/2010 20:30,0.2,0.1,0.1,0
10/8/2010 20:30,0,0.1,0.3,0.3
9/3/2010 20:30,0.3,0.1,0.2,0.2
8/6/2010 20:30,0.2,0.1,0,-0.1
7/2/2010 20:30,-0.1,0.1,0.2,0.3
6/4/2010 20:30,0.3,0.1,0.1,0
5/7/2010 20:30,0,0.2,-0.1,-0.1
4/2/2010 20:30,-0.1,0.2,0.2,0.1
3/5/2010 21:30,0.1,0.2,0.3,0.3
2/5/2010 21:30,0.3,0.2,0.2,0.2
1/8/2010 21:30,0.2,0.2,0.2,0.1
12/4/2009 21:30,0.1,0.2,0.3,0.3
11/6/2009 21:30,0.3,0.1,0.1,0.1
10/2/2009 20:30,0.1,0.2,0.4,0.3
