datetime,US_NF_UER_MoM_Actual,US_NF_UER_MoM_Srv_Med,US_NF_UER_MoM_Revised,US_NF_UER_MoM_Prior
9/1/2023 20:30,None,None,3.5,3.5
8/4/2023 20:30,3.5,3.6,3.6,3.6
7/7/2023 20:30,3.6,3.6,3.7,3.7
6/2/2023 20:30,3.7,3.5,3.4,3.4
5/5/2023 20:30,3.4,3.6,3.5,3.5
4/7/2023 20:30,3.5,3.6,3.6,3.6
3/10/2023 21:30,3.6,3.4,3.4,3.4
2/3/2023 21:30,3.4,3.6,3.5,3.5
1/6/2023 21:30,3.5,3.7,3.6,3.7
12/2/2022 20:30,3.7,3.7,3.7,3.7
11/4/2022 20:30,3.7,3.6,3.5,3.5
10/7/2022 20:30,3.5,3.7,3.7,3.7
9/2/2022 20:30,3.7,3.5,3.5,3.5
8/5/2022 20:30,3.5,3.6,3.6,3.6
7/8/2022 20:30,3.6,3.6,3.6,3.6
6/3/2022 20:30,3.6,3.5,3.6,3.6
5/6/2022 20:30,3.6,3.5,3.6,3.6
4/1/2022 20:30,3.6,3.7,3.8,3.8
3/4/2022 21:30,3.8,3.9,4,4
2/4/2022 21:30,4,3.9,3.9,3.9
1/7/2022 21:30,3.9,4.1,4.2,4.2
12/3/2021 21:30,4.2,4.5,4.6,4.6
11/5/2021 20:30,4.6,4.7,4.8,4.8
10/8/2021 20:30,4.8,5.1,5.2,5.2
9/3/2021 20:30,5.2,5.2,5.4,5.4
8/6/2021 20:30,5.4,5.7,5.9,5.9
7/2/2021 20:30,5.9,5.7,5.8,5.8
6/4/2021 20:30,5.8,5.9,6.1,6.1
5/7/2021 20:30,6.1,5.8,6,6
4/2/2021 20:30,6,6,6.2,6.2
3/5/2021 21:30,6.2,6.3,6.3,6.3
2/5/2021 21:30,6.3,6.7,6.7,6.7
1/8/2021 21:30,6.7,6.8,6.7,6.7
12/4/2020 21:30,6.7,6.8,6.9,6.9
11/6/2020 21:30,6.9,7.7,7.9,7.9
10/2/2020 20:30,7.9,8.2,8.4,8.4
9/4/2020 20:30,8.4,9.8,10.2,10.2
8/7/2020 20:30,10.2,10.5,11.1,11.1
7/2/2020 20:30,11.1,12.3,13.3,13.3
6/5/2020 20:30,13.3,19.7,14.7,14.7
5/8/2020 20:30,14.7,16,4.4,4.4
4/3/2020 20:30,4.4,3.8,3.5,3.5
3/6/2020 21:30,3.5,3.6,3.6,3.6
2/7/2020 21:30,3.6,3.5,3.5,3.5
1/10/2020 21:30,3.5,3.5,3.5,3.5
12/6/2019 21:30,3.5,3.6,3.6,3.6
11/1/2019 20:30,3.6,3.6,3.5,3.5
10/4/2019 20:30,3.5,3.7,3.7,3.7
9/6/2019 20:30,3.7,3.7,3.7,3.7
8/2/2019 20:30,3.7,3.7,3.7,3.7
7/5/2019 20:30,3.7,3.6,3.6,3.6
