datetime,US_PCE_YoY_Actual,US_PCE_YoY_Srv_Med,US_PCE_YoY_Revised,US_PCE_YoY_Prior
2019-08-30 20:30:00,1.4,None,1.3,1.4
2019-07-30 20:30:00,1.4,1.5,1.5,1.5
2019-06-28 20:30:00,1.5,1.5,1.6,1.5
2019-05-31 20:30:00,1.5,None,1.4,1.3
2019-04-29 20:30:00,1.3,None,1.4,1.4
2019-03-29 20:30:00,1.4,1.4,1.7,1.7
2019-03-01 21:30:00,1.7,1.7,1.8,1.8
2018-12-21 23:00:00,1.8,None,2.0,2.0
2018-11-29 21:30:00,2.0,2.1,2.0,2.0
2018-10-29 20:30:00,2.0,None,2.2,2.2
2018-09-28 20:30:00,2.2,None,2.3,2.3
2018-08-30 20:30:00,2.3,None,2.2,2.2
2018-07-31 20:30:00,2.2,2.3,2.3,2.3
2018-06-29 20:30:00,2.3,None,2.0,2.0
2018-05-31 20:30:00,2.0,None,2.0,2.0
2018-04-30 20:30:00,2.0,2.0,1.7,1.8
2018-03-29 20:30:00,1.8,1.7,1.7,
