datetime,US_PNP_MoM_Actual,US_PNP_MoM_Srv_Med,US_PNP_MoM_Revised,US_PNP_MoM_Prior
2023-09-01 20:30:00,None,None,172,172
2023-08-04 20:30:00,172,179,128,149
2023-07-07 20:30:00,149,200,259,283
2023-06-02 20:30:00,283,160,253,230
2023-05-05 20:30:00,230,160,123,189
2023-04-07 20:30:00,189,215,266,265
2023-03-10 21:30:00,265,210,386,443
2023-02-03 21:30:00,443,190,269,220
2023-01-06 21:30:00,220,180,202,221
2022-12-02 21:30:00,221,190,248,233
2022-11-04 20:30:00,233,200,319,288
2022-10-07 20:30:00,288,265,275,308
2022-09-02 20:30:00,308,300,477,471
2022-08-05 20:30:00,471,230,404,381
2022-07-08 20:30:00,381,240,336,333
2022-06-03 20:30:00,333,325,405,406
2022-05-06 20:30:00,406,385,424,426
2022-04-01 20:30:00,426,480,739,654
2022-03-04 21:30:00,654,378,448,444
2022-02-04 21:30:00,444,150,503,211
2022-01-07 21:30:00,211,365,270,235
2021-12-03 21:30:00,235,530,628,604
2021-11-05 20:30:00,604,400,365,317
2021-10-08 20:30:00,317,455,332,243
2021-09-03 20:30:00,243,665,798,703
2021-08-06 20:30:00,703,700,769,662
2021-07-02 20:30:00,662,600,516,492
2021-06-04 20:30:00,492,600,219,218
2021-05-07 20:30:00,218,893,708,780
2021-04-02 20:30:00,780,575,558,465
2021-03-05 21:30:00,465,210,90,6
2021-02-05 21:30:00,6,50,-204,-95
2021-01-08 21:30:00,-95,98,417,344
2020-12-04 21:30:00,344,589,877,906
2020-11-06 21:30:00,906,690,892,877
2020-10-02 20:30:00,877,850,1022,1027
2020-09-04 20:30:00,1027,1200,1481,1462
2020-08-07 20:30:00,1462,1474,4737,4767
2020-07-02 20:30:00,4767,2900,3232,3094
2020-06-05 20:30:00,3094,-7500,-19724,-19520
2020-05-08 20:30:00,-19520,-21050,-842,-713
2020-04-03 20:30:00,-713,-163,242,228
2020-03-06 21:30:00,228,160,222,206
2020-02-07 21:30:00,206,150,142,139
2020-01-10 21:30:00,139,152,243,254
2019-12-06 21:30:00,254,175,163,131
2019-11-01 20:30:00,131,80,167,114
2019-10-04 20:30:00,114,133,122,96
2019-09-06 20:30:00,96,150,131,148
2019-08-02 20:30:00,148,160,179,191
2019-07-05 20:30:00,191,153,83,90
2019-06-07 20:30:00,90,175,205,236
2019-05-03 20:30:00,236,179,179,182
2019-04-05 20:30:00,182,170,28,25
2019-03-08 21:30:00,25,170,308,296
2019-02-01 21:30:00,296,170,206,301
2019-01-04 21:30:00,301,175,173,161
2018-12-07 21:30:00,161,200,251,246
2018-11-02 20:30:00,246,183,121,121
2018-10-05 20:30:00,121,180,254,204
2018-09-07 20:30:00,204,190,153,170
2018-08-03 20:30:00,170,189,234,202
2018-07-06 20:30:00,202,190,239,218
2018-06-01 20:30:00,218,183,162,168
2018-05-04 20:30:00,168,194,135,102
2018-04-06 20:30:00,102,190,320,287
2018-03-09 21:30:00,287,191,238,196
2018-02-02 21:30:00,196,180,166,146
2018-01-05 21:30:00,146,185,239,221
2017-12-08 21:30:00,221,190,247,252
2017-11-03 20:30:00,252,303,15,-40
2017-10-06 20:30:00,-40,83,164,165
2017-09-01 20:30:00,165,179,202,205
2017-08-04 20:30:00,205,178,194,187
2017-07-07 20:30:00,187,172,159,147
2017-06-02 20:30:00,147,173,173,194
2017-05-05 20:30:00,194,185,77,89
2017-04-07 20:30:00,89,175,221,227
2017-03-10 21:30:00,227,193,221,237
2017-02-03 21:30:00,237,169,165,144
2017-01-06 21:30:00,144,170,198,156
2016-12-02 21:30:00,156,165,135,142
2016-11-04 20:30:00,142,166,188,167
2016-10-07 20:30:00,167,170,144,126
2016-09-02 20:30:00,126,178,225,217
2016-08-05 20:30:00,217,170,259,265
2016-07-08 20:30:00,265,170,-6,25
2016-06-03 20:30:00,25,152,130,171
2016-05-06 20:30:00,171,193,184,195
2016-04-01 20:30:00,195,197,236,230
2016-03-04 21:30:00,230,185,182,158
2016-02-05 21:30:00,158,183,251,275
2016-01-08 21:30:00,275,195,240,197
2015-12-04 21:30:00,197,190,304,268
2015-11-06 21:30:00,268,165,149,118
2015-10-02 20:30:00,118,195,100,140
2015-09-04 20:30:00,140,215,224,210
2015-08-07 20:30:00,210,215,227,223
2015-07-02 20:30:00,223,225,250,262
2015-06-05 20:30:00,262,220,206,213
2015-05-08 20:30:00,213,220,94,129
2015-04-03 20:30:00,129,237,264,288
2015-03-06 21:30:00,288,229,237,267
2015-02-06 21:30:00,267,225,320,240
2015-01-09 21:30:00,240,230,345,314
2014-12-05 21:30:00,314,220,236,209
2014-11-07 21:30:00,209,222,244,236
2014-10-03 20:30:00,236,210,175,134
2014-09-05 20:30:00,134,206,213,198
