datetime,US_PPI_48_Actual,US_PPI_48_Srv_Med,US_PPI_48_Revised,US_PPI_48_Prior
2023-08-11 20:30:00,2.7,None,2.7,2.6
2023-07-13 20:30:00,2.6,None,2.8,2.8
2023-06-14 20:30:00,2.8,None,3.3,3.4
2023-05-11 20:30:00,3.4,None,3.7,3.6
2023-04-13 20:30:00,3.6,3.1,4.5,4.4
2023-03-15 20:30:00,4.4,None,4.4,4.5
2023-02-16 21:30:00,4.5,,4.7,4.6
2023-01-18 21:30:00,4.6,,4.9,4.9
2022-12-09 21:30:00,4.9,,5.4,5.4
2022-11-15 21:30:00,5.4,,5.6,5.6
2022-10-12 20:30:00,5.6,,5.6,5.6
2022-09-14 20:30:00,5.6,,5.8,5.8
2022-08-11 20:30:00,5.8,,6.4,
