datetime,US_PPI_MoM_Actual,US_PPI_MoM_Srv_Med,US_PPI_MoM_Revised,US_PPI_MoM_Prior
2023-08-11 20:30:00,0.3,0.2,0.0,0.1
2023-07-13 20:30:00,0.1,0.2,-0.4,-0.3
2023-06-14 20:30:00,-0.3,-0.1,0.2,0.2
2023-05-11 20:30:00,0.2,0.3,-0.4,-0.5
2023-04-13 20:30:00,-0.5,0.1,0.0,-0.1
2023-03-15 20:30:00,-0.1,0.3,0.3,0.7
2023-02-16 21:30:00,0.7,0.4,-0.2,-0.5
2023-01-18 21:30:00,-0.5,-0.1,0.2,0.3
2022-12-09 21:30:00,0.3,0.2,0.3,0.2
2022-11-15 21:30:00,0.2,0.4,0.2,0.4
2022-10-12 20:30:00,0.4,0.2,-0.2,-0.1
2022-09-14 20:30:00,-0.1,-0.1,-0.4,-0.5
2022-08-11 20:30:00,-0.5,0.2,1.0,1.1
2022-07-14 20:30:00,1.1,0.8,0.9,0.8
2022-06-14 20:30:00,0.8,0.8,0.4,0.5
2022-05-12 20:30:00,0.5,0.5,1.6,1.4
2022-04-13 20:30:00,1.4,1.1,0.9,0.8
2022-03-15 20:30:00,0.8,0.9,1.2,1.0
2022-02-15 21:30:00,1.0,0.5,0.4,0.2
2022-01-13 21:30:00,0.2,0.4,1.0,0.8
2021-12-14 21:30:00,0.8,0.5,0.6,0.6
2021-11-09 21:30:00,0.6,0.6,0.5,0.5
2021-10-14 20:30:00,0.5,0.6,0.7,0.7
2021-09-10 20:30:00,0.7,0.6,1.0,1.0
2021-08-12 20:30:00,1.0,0.6,1.0,1.0
2021-07-14 20:30:00,1.0,0.6,0.8,0.8
2021-06-15 20:30:00,0.8,0.6,0.6,0.6
2021-05-13 20:30:00,0.6,0.3,1.0,1.0
2021-04-09 20:30:00,1.0,0.5,0.5,0.5
2021-03-12 21:30:00,0.5,0.5,1.3,1.3
2021-02-17 21:30:00,1.3,0.4,0.3,0.3
2021-01-15 21:30:00,0.3,0.4,0.1,0.1
2020-12-11 21:30:00,0.1,0.2,0.3,0.3
2020-11-13 21:30:00,0.3,0.2,0.4,0.4
2020-10-14 20:30:00,0.4,0.2,0.3,0.3
2020-09-10 20:30:00,0.3,0.2,0.6,0.6
2020-08-11 20:30:00,0.6,0.3,-0.2,-0.2
2020-07-10 20:30:00,-0.2,0.4,0.4,0.4
2020-06-11 20:30:00,0.4,0.1,-1.3,-1.3
2020-05-13 20:30:00,-1.3,-0.5,-0.2,-0.2
2020-04-09 20:30:00,-0.2,-0.4,-0.6,-0.6
2020-03-12 20:30:00,-0.6,-0.1,0.5,0.5
2020-02-19 21:30:00,0.5,0.1,0.2,0.1
2020-01-15 21:30:00,0.1,0.2,0.0,0.0
2019-12-12 21:30:00,0.0,0.2,0.4,0.4
2019-11-14 21:30:00,0.4,0.3,-0.3,-0.3
2019-10-08 20:30:00,-0.3,0.1,0.1,0.1
2019-09-11 20:30:00,0.1,0.1,0.2,0.2
