datetime,US_RC_Actual,US_RC_Srv_Med,US_RC_Revised,US_RC_Prior
8/15/2023 20:30,1,0.2,0.5,0.6
7/18/2023 20:30,0.6,-0.3,0.3,0.2
6/15/2023 20:30,0.2,0,0.6,0.7
5/16/2023 20:30,0.7,0.3,-0.4,-0.3
4/14/2023 20:30,-0.3,-0.3,0.5,0.5
3/15/2023 20:30,0.5,-0.3,2.3,1.7
2/15/2023 21:30,1.7,0.8,-0.7,-0.7
1/18/2023 21:30,-0.7,-0.3,-0.2,-0.2
12/15/2022 21:30,-0.2,0.2,0.5,0.7
11/16/2022 21:30,0.7,0.3,0.6,0.4
10/14/2022 20:30,0.4,0.3,0.2,0.8
8/17/2022 20:30,0.8,0.6,0.7,0.8
7/15/2022 20:30,0.8,0.3,-0.3,0
6/15/2022 20:30,0,0.5,0.5,1
5/17/2022 20:30,1,0.5,1.1,-0.1
4/14/2022 20:30,-0.1,0.2,-0.9,-1.2
3/16/2022 20:30,-1.2,0.4,6.7,4.8
2/16/2022 21:30,4.8,1,-4,-3.1
1/14/2022 21:30,-3.1,0.1,-0.5,-0.1
12/15/2021 21:30,-0.1,0.7,1.8,1.6
11/16/2021 21:30,1.6,0.9,0.5,0.8
10/15/2021 20:30,0.8,0.4,2.6,2.5
9/16/2021 20:30,2.5,-0.1,-1.9,-1
8/17/2021 20:30,-1,-0.1,1.4,1.1
7/16/2021 20:30,1.1,0.4,-1.4,-0.7
6/15/2021 20:30,-0.7,-0.6,-0.4,-1.5
5/14/2021 20:30,-1.5,-0.2,7.6,6.9
4/15/2021 20:30,6.9,6.3,-3.4,-3.5
3/16/2021 20:30,-3.5,-0.9,8.7,6
2/17/2021 21:30,6,0.8,-2.4,-1.9
1/15/2021 21:30,-1.9,0.1,-1.1,-0.5
12/16/2020 21:30,-0.5,0.2,-0.1,0.1
11/17/2020 21:30,0.1,0.5,0.9,1.4
10/16/2020 20:30,1.4,0.2,-0.3,-0.1
9/16/2020 20:30,-0.1,0.5,0.9,1.4
8/14/2020 20:30,1.4,0.8,6,5.6
7/16/2020 20:30,5.6,3.6,10.1,11
6/16/2020 20:30,11,4.7,-12.4,-15.3
5/15/2020 20:30,-15.3,-4.6,3.1,1.7
4/15/2020 20:30,1.7,-2,-0.2,0
3/17/2020 20:30,0,0.4,0.4,0
2/14/2020 21:30,0,0.3,0.2,0.5
1/16/2020 21:30,0.5,0.4,-0.1,0.1
12/13/2019 21:30,0.1,0.3,0.3,0.3
11/15/2019 21:30,0.3,0.3,,0.3
9/13/2019 20:30,0.3,0.3,0.9,1
8/15/2019 20:30,1,0.3,0.7,0.7
7/16/2019 20:30,0.7,0.3,0.6,0.5
6/14/2019 20:30,0.5,0.4,0.4,0
5/15/2019 20:30,0,0.4,1.1,1
4/18/2019 20:30,1,0.4,-0.3,-0.2
4/1/2019 20:30,-0.2,0.4,1.7,1.1
3/11/2019 20:30,1.1,0.6,-2.3,-1.7
2/14/2019 21:30,-1.7,0.4,1,0.9
12/14/2018 21:30,0.9,0.4,0.7,0.3
11/15/2018 21:30,0.3,0.4,0.3,0.5
10/15/2018 20:30,0.5,0.3,0.1,0.1
9/14/2018 20:30,0.1,0.4,0.8,0.5
8/15/2018 20:30,0.5,0.4,-0.1,0
7/16/2018 20:30,0,0.4,0.8,0.5
6/14/2018 20:30,0.5,0.4,0.6,0.4
5/15/2018 20:30,0.4,0.4,0.5,0.4
4/16/2018 20:30,0.4,0.4,0.1,0.1
3/14/2018 20:30,0.1,0.4,-0.2,0
2/14/2018 21:30,0,0.4,-0.2,0.3
1/12/2018 21:30,0.3,0.4,1.4,0.8
12/14/2017 21:30,0.8,0.3,0.4,0.3
11/15/2017 21:30,0.3,0.4,0.5,0.4
10/13/2017 20:30,0.4,0.4,-0.2,-0.2
9/15/2017 20:30,-0.2,0.3,0.6,0.6
8/15/2017 20:30,0.6,0.4,0.1,-0.1
7/14/2017 20:30,-0.1,0.3,0,0
6/14/2017 20:30,0,0.3,0.6,0.2
5/12/2017 20:30,0.2,0.4,0.7,0.5
4/14/2017 20:30,0.5,0.3,-0.2,0.1
3/15/2017 20:30,0.1,0.2,0.8,0.4
2/15/2017 21:30,0.4,0.3,0.4,0.2
1/13/2017 21:30,0.2,0.4,0.1,0.1
12/14/2016 21:30,0.1,0.3,0.6,0.8
11/15/2016 21:30,0.8,0.3,0.3,0.1
10/14/2016 20:30,0.1,0.4,-0.1,-0.1
9/15/2016 20:30,-0.1,0.3,-0.1,0
8/12/2016 20:30,0,0.3,0.5,0.5
7/15/2016 20:30,0.5,0.3,0.5,0.4
6/14/2016 20:30,0.4,0.3,1,0.9
5/13/2016 20:30,0.9,0.3,0.2,0.1
4/13/2016 20:30,0.1,0.3,0.1,0
3/15/2016 20:30,0,0.2,0.2,0.6
2/12/2016 21:30,0.6,0.3,-0.3,-0.3
1/15/2016 21:30,-0.3,0.3,0.5,0.6
12/11/2015 21:30,0.6,0.4,0.2,0.2
11/13/2015 21:30,0.2,0.4,0.1,-0.1
10/14/2015 20:30,-0.1,0.3,0.2,0.4
9/15/2015 20:30,0.4,0.4,0.6,0.3
8/13/2015 20:30,0.3,0.5,0.2,-0.1
7/14/2015 20:30,-0.1,0.4,0.7,0.7
6/11/2015 20:30,0.7,0.5,0.1,0
5/13/2015 20:30,0,0.5,0.5,0.3
4/14/2015 20:30,0.3,0.5,-0.2,0
3/12/2015 20:30,0,0.4,-0.1,0.1
2/12/2015 21:30,0.1,0.4,-0.3,-0.4
1/14/2015 21:30,-0.4,0.4,0.6,0.6
12/11/2014 21:30,0.6,0.5,0.5,0.5
11/14/2014 21:30,0.5,0.4,-0.2,-0.2
10/15/2014 20:30,-0.2,0.4,0.4,0.5
9/1/2014 17:00,0.5,,0.2,0.2
8/1/2014 17:00,0.2,,0.7,0.7
7/1/2014 17:00,0.7,,0,0
6/1/2014 17:00,0,,0.4,0.4
5/1/2014 17:00,0.4,,1.1,1.1
4/1/2014 17:00,1.1,,0.9,0.9
3/1/2014 17:00,0.9,,-1.1,-1.1
2/1/2014 17:00,-1.1,,0.8,0.8
1/1/2014 17:00,0.8,,-0.1,-0.1
12/1/2013 17:00,-0.1,,0.3,0.3
11/1/2013 17:00,0.3,,0.5,0.5
10/1/2013 17:00,0.5,,-0.2,-0.2
9/1/2013 17:00,-0.2,,0.5,0.5
8/1/2013 17:00,0.5,,0.1,0.1
7/1/2013 17:00,0.1,,0.4,0.4
6/1/2013 17:00,0.4,,-0.3,-0.3
5/1/2013 17:00,-0.3,,-0.1,-0.1
4/1/2013 17:00,-0.1,,0.2,0.2
