datetime,US_RPI_MoM_Actual,US_RPI_MoM_Srv_Med,US_RPI_MoM_Revised,US_RPI_MoM_Prior
8/10/2023 20:30,0,-0.1,0.6,0.5
7/12/2023 20:30,0.5,-0.1,-0.1,-0.1
6/13/2023 20:30,-0.1,0.1,0.1,0.1
5/10/2023 20:30,0.1,0,-0.1,-0.1
4/12/2023 20:30,-0.1,-0.2,-0.4,-0.4
3/14/2023 20:30,-0.4,None,0.3,0.7
2/14/2023 21:30,0.7,None,0.1,0.1
1/12/2023 21:30,0.1,None,0.2,0.2
12/13/2022 21:30,0.2,None,-0.1,-0.1
11/10/2022 21:30,-0.1,None,-0.1,-0.1
10/13/2022 20:30,-0.1,None,0.2,-0.1
9/13/2022 20:30,-0.1,None,0.8,0.5
8/10/2022 20:30,0.5,None,-0.9,-1
7/13/2022 20:30,-1,None,-0.9,-0.7
6/10/2022 20:30,-0.7,None,-1,0
5/11/2022 20:30,0,-0.6,-1,-1.1
4/12/2022 20:30,-1.1,-0.6,-0.4,-0.5
3/10/2022 21:30,-0.5,None,-0.6,-0.5
2/10/2022 21:30,-0.5,None,-0.3,0.1
1/12/2022 21:30,0.1,None,-0.4,-0.2
12/10/2021 21:30,-0.2,None,-0.9,-0.9
11/10/2021 21:30,-0.9,None,0.8,0.8
10/13/2021 20:30,0.8,None,-0.2,0.3
9/14/2021 20:30,0.3,None,-0.1,-0.1
8/11/2021 20:30,-0.1,None,-0.5,-0.9
7/13/2021 20:30,-0.9,None,-0.5,-0.1
6/10/2021 20:30,-0.1,None,-0.1,0.2
5/12/2021 20:30,0.2,None,0.1,0.1
4/13/2021 20:30,0.1,0.1,-1.2,-1
3/10/2021 21:30,-1,0.1,0.4,0.8
2/10/2021 21:30,0.8,None,0.4,0.1
1/13/2021 21:30,0.1,None,0.1,0.1
12/10/2020 21:30,0.1,None,0.1,0.1
11/12/2020 21:30,0.1,None,0.1,0.2
10/13/2020 20:30,0.2,None,0.3,0.3
9/11/2020 20:30,0.3,None,-0.7,-0.6
8/12/2020 20:30,-0.6,None,-2.1,-2.3
7/14/2020 20:30,-2.3,None,0.5,0.5
6/10/2020 20:30,0.5,None,5.9,5.8
5/12/2020 20:30,5.8,None,0.1,0.2
4/10/2020 20:30,0.2,None,0.5,0.5
3/11/2020 20:30,0.5,0.1,0.1,0.1
2/13/2020 21:30,0.1,0.1,-0.1,-0.1
1/14/2020 21:30,-0.1,None,0.1,0
12/11/2019 21:30,0,0.1,-0.1,-0.1
11/13/2019 21:30,-0.1,0.1,-0.1,-0.1
10/10/2019 20:30,-0.1,0.5,0.6,0.6
9/12/2019 20:30,0.6,None,-0.3,-0.3
8/13/2019 20:30,-0.3,None,0.2,0.2
7/11/2019 20:30,0.2,None,0.2,0.1
