datetime,US_SPMI_MoM_Actual,US_SPMI_MoM_Srv_Med,US_SPMI_MoM_Revised,US_SPMI_MoM_Prior,Is_P
2023-09-06 21:45:00,None,None,52.4,52.3,0
2023-08-23 21:45:00,None,52.3,52.3,52.4,1
2023-08-03 21:45:00,52.3,52.4,54.4,54.4,0
2023-07-24 21:45:00,52.4,54.0,54.4,54.1,1
2023-07-06 21:45:00,54.4,54.1,54.9,54.9,0
2023-06-23 21:45:00,54.1,54.0,54.9,55.1,1
2023-06-05 21:45:00,54.9,55.1,53.6,53.6,0
2023-05-23 21:45:00,55.1,52.6,53.6,53.7,1
2023-05-03 21:45:00,53.6,53.7,52.6,52.6,0
2023-04-21 21:45:00,53.7,51.5,52.6,53.8,1
2023-04-05 21:45:00,52.6,53.8,50.6,50.6,0
2023-03-24 21:45:00,53.8,50.5,50.6,50.5,1
2023-03-03 22:45:00,50.6,50.5,46.8,46.8,0
2023-02-21 22:45:00,50.5,47.2,46.8,46.6,1
2023-02-03 22:45:00,46.8,46.6,44.7,44.7,0
2023-01-24 22:45:00,46.6,45.0,44.7,44.4,1
2023-01-05 22:45:00,44.7,44.4,46.2,46.2,0
2022-12-16 22:45:00,44.4,46.8,46.2,46.1,1
2022-12-05 22:45:00,46.2,46.1,47.8,47.8,0
2022-11-23 22:45:00,46.1,47.9,47.8,46.6,1
2022-11-03 21:45:00,47.8,46.6,49.3,49.3,0
2022-10-24 21:45:00,46.6,49.2,49.3,49.2,1
2022-10-05 21:45:00,49.3,49.2,43.7,43.7,0
2022-09-23 21:45:00,49.2,45.0,43.7,44.1,1
2022-09-06 21:45:00,43.7,44.3,47.3,47.3,0
2022-08-23 21:45:00,44.1,49.2,47.3,47.0,1
2022-08-03 21:45:00,47.3,47.0,52.7,52.7,0
2022-07-22 21:45:00,47.0,52.6,52.7,51.6,1
2022-07-06 21:45:00,52.7,51.6,51.6,53.4,0
2022-06-23 21:45:00,51.6,53.5,53.4,53.5,1
2022-06-03 21:45:00,53.4,53.5,55.6,55.6,0
2022-05-24 21:45:00,53.5,55.2,55.6,54.7,1
2022-05-04 21:45:00,55.6,54.7,58.0,58.0,0
2022-04-22 21:45:00,54.7,58.0,58.0,58.9,1
2022-04-05 21:45:00,58.0,58.9,56.5,56.5,0
2022-03-24 21:45:00,58.9,56.0,56.5,56.7,1
2022-03-03 22:45:00,56.5,56.7,51.2,51.2,0
2022-02-22 22:45:00,56.7,53.0,51.2,50.9,1
2022-02-03 22:45:00,51.2,50.9,57.6,57.6,0
2022-01-24 22:45:00,50.9,55.0,57.6,57.5,1
2022-01-05 22:45:00,57.6,57.5,58.0,58.0,0
2021-12-16 22:45:00,57.5,58.5,58.0,57.0,1
2021-12-03 22:45:00,58.0,57.0,58.7,58.7,0
2021-11-23 22:45:00,57.0,59.0,58.7,58.2,1
2021-11-03 21:45:00,58.7,58.2,54.9,54.9,0
2021-10-22 21:45:00,58.2,55.1,54.9,54.4,1
2021-10-05 21:45:00,54.9,54.4,55.1,55.1,0
2021-09-23 21:45:00,54.4,55.0,55.1,55.2,1
2021-09-03 21:45:00,55.1,55.2,59.9,59.9,0
2021-08-23 21:45:00,55.2,59.5,59.9,59.8,1
2021-08-04 21:45:00,59.9,59.8,64.6,64.6,0
2021-07-23 21:45:00,59.8,64.8,64.6,64.8,1
2021-07-06 21:45:00,64.6,None,64.8,70.4,0
2021-06-23 21:45:00,64.8,70.0,70.4,70.1,1
2021-06-03 21:45:00,70.4,70.1,64.7,64.7,0
2021-05-21 21:45:00,70.1,64.5,64.7,63.1,1
2021-05-05 21:45:00,64.7,63.1,60.4,60.4,0
2021-04-23 21:45:00,63.1,61.9,60.4,60.0,1
2021-04-05 21:45:00,60.4,60.0,59.8,59.8,0
2021-03-24 21:45:00,60.0,60.0,59.8,58.9,1
2021-03-03 22:45:00,59.8,58.9,58.3,58.3,0
2021-02-19 22:45:00,58.9,57.6,58.3,57.5,1
2021-02-03 22:45:00,58.3,57.4,57.5,54.8,0
2021-01-22 22:45:00,57.5,53.6,54.8,55.3,1
2021-01-06 22:45:00,54.8,55.3,58.4,58.4,0
2020-12-16 22:45:00,55.3,55.9,58.4,57.7,1
2020-12-03 22:45:00,58.4,57.7,56.9,56.9,0
2020-11-23 22:45:00,57.7,55.0,56.9,56.0,1
2020-11-04 22:45:00,56.9,56.0,54.6,54.6,0
2020-10-23 21:45:00,56.0,54.6,54.6,54.6,1
2020-10-05 21:45:00,54.6,54.6,55.0,55.0,0
2020-09-23 21:45:00,54.6,54.7,55.0,54.8,1
2020-09-03 21:45:00,55.0,54.8,50.0,50.0,0
2020-08-21 21:45:00,54.8,51.0,50.0,49.6,1
2020-08-05 21:45:00,50.0,49.6,47.9,47.9,0
2020-07-24 21:45:00,49.6,51.0,47.9,46.7,1
2020-07-06 21:45:00,47.9,46.7,37.5,37.5,0
2020-06-23 21:45:00,46.7,46.5,37.5,36.9,1
2020-06-03 21:45:00,37.5,36.9,26.7,26.7,0
2020-05-21 21:45:00,36.9,30.0,26.7,27.0,1
2020-05-05 21:45:00,26.7,27.0,39.8,39.8,0
2020-04-23 21:45:00,27.0,31.5,39.8,39.1,1
2020-04-03 21:45:00,39.8,39.1,49.4,49.4,0
2020-03-24 21:45:00,39.1,42.0,49.4,49.4,1
2020-03-04 22:45:00,49.4,49.4,53.4,53.4,0
2020-02-21 22:45:00,49.4,53.0,53.4,53.2,1
2020-02-05 22:45:00,53.4,53.2,52.8,52.8,0
2020-01-24 22:45:00,53.2,52.9,52.8,52.2,1
2020-01-06 22:45:00,52.8,52.2,51.6,51.6,0
2019-12-16 22:45:00,52.2,52.0,51.6,51.6,1
2019-12-04 22:45:00,51.6,51.6,50.6,50.6,0
2019-11-22 22:45:00,51.6,51.0,50.6,51.0,1
2019-11-05 22:45:00,50.6,51.0,50.9,50.9,0
2019-10-24 21:45:00,51.0,51.0,50.9,50.9,1
2019-10-03 21:45:00,50.9,50.9,50.7,50.7,0
2019-09-23 21:45:00,50.9,51.3,50.7,50.9,1
2019-09-05 21:45:00,50.7,51.0,50.9,53.0,0
2019-08-22 21:45:00,50.9,52.9,53.0,52.2,1
2019-08-05 21:45:00,53.0,52.2,52.2,51.5,0
2019-07-24 21:45:00,52.2,51.7,51.5,50.7,1
2019-07-03 21:45:00,51.5,50.7,50.7,50.9,0
2019-06-21 21:45:00,50.7,51.0,50.9,50.9,1
2019-06-05 21:45:00,50.9,50.9,50.9,53.0,0
2019-05-23 21:45:00,50.9,53.2,53.0,52.9,1
2019-05-03 21:45:00,53.0,52.9,52.9,55.3,0
2019-04-18 21:45:00,52.9,55.0,55.3,54.8,1
2019-04-03 21:45:00,55.3,54.8,54.8,56.0,0
2019-03-22 21:45:00,54.8,55.7,56.0,56.2,1
2019-03-05 22:45:00,56.0,56.2,56.2,54.2,0
2019-02-21 22:45:00,56.2,54.4,54.2,54.2,1
2019-02-05 22:45:00,54.2,54.2,54.2,54.4,0
2019-01-24 22:45:00,54.2,54.0,54.4,53.4,1
2019-01-04 22:45:00,54.4,53.5,53.4,54.7,0
2018-12-14 22:45:00,53.4,54.7,54.7,54.4,1
2018-12-06 22:45:00,54.7,54.4,54.4,54.8,0
