datetime,Canada_Bank_of_Canada_Rate_Decision_Actual,Canada_Bank_of_Canada_Rate_Decision_Srv_Med,Canada_Bank_of_Canada_Rate_Decision_Revised,Canada_Bank_of_Canada_Rate_Decision_Prior,unit
2023-07-12 22:00:00,5.0,5.0,,4.75,%
2023-06-07 22:00:00,4.75,4.5,,4.5,%
2023-04-12 22:00:00,4.5,4.5,,4.5,%
2023-03-08 23:00:00,4.5,4.5,,4.5,%
2023-01-25 23:00:00,4.5,4.5,,4.25,%
2022-12-07 23:00:00,4.25,4.25,,3.75,%
2022-10-26 22:00:00,3.75,4.0,,3.25,%
2022-09-07 22:00:00,3.25,3.25,,2.5,%
2022-07-13 22:00:00,2.5,2.25,,1.5,%
2022-06-01 22:00:00,1.5,1.5,,1,%
2022-04-13 22:00:00,1.0,1.0,,0.5,%
2022-03-02 23:00:00,0.5,0.5,,0.25,%
2022-01-26 23:00:00,0.25,0.25,,0.25,%
