datetime,UK_Bank_of_England_Rate_Decision_Actual,UK_Bank_of_England_Rate_Decision_Srv_Med,UK_Bank_of_England_Rate_Decision_Revised,UK_Bank_of_England_Rate_Decision_Prior,unit
2023-08-03 19:00:00,5.25,5.25,,5,%
2023-06-22 19:00:00,5.0,4.75,,4.5,%
2023-05-11 19:00:00,4.5,4.5,,4.25,%
2023-03-23 20:00:00,4.25,4.25,,4,%
2023-02-02 20:00:00,4.0,4.0,,3.5,%
2022-12-15 20:00:00,3.5,3.5,,3,%
2022-11-03 20:00:00,3.0,3.0,,2.25,%
2022-09-22 19:00:00,2.25,2.25,,1.75,%
2022-08-04 19:00:00,1.75,1.75,,1.25,%
2022-06-16 19:00:00,1.25,1.25,,1,%
2022-05-05 19:00:00,1.0,1.0,,0.75,%
2022-03-17 20:00:00,0.75,0.75,,0.5,%
2022-02-03 20:00:00,0.5,0.5,,0.25,%
