datetime,Japan_Bank_of_Japan_Rate_Decision_Actual,Japan_Bank_of_Japan_Rate_Decision_Srv_Med,Japan_Bank_of_Japan_Rate_Decision_Revised,Japan_Bank_of_Japan_Rate_Decision_Prior,unit
2023-07-28 11:00:00,-0.1,-0.1,,-0.1,%
2023-06-16 11:00:00,-0.1,-0.1,,-0.1,%
2023-04-28 11:00:00,-0.1,-0.1,,-0.1,%
2023-03-10 11:00:00,-0.1,-0.1,,-0.1,%
2023-01-18 11:00:00,-0.1,-0.1,,-0.1,%
2022-12-20 11:00:00,-0.1,-0.1,,-0.1,%
2022-10-28 11:00:00,-0.1,-0.1,,-0.1,%
2022-09-22 11:00:00,-0.1,-0.1,,-0.1,%
2022-06-17 11:00:00,-0.1,-0.1,,-0.1,%
2022-04-28 11:00:00,-0.1,-0.1,,-0.1,%
2022-03-18 11:00:00,-0.1,-0.1,,-0.1,%
2022-01-18 11:00:00,-0.1,-0.1,,-0.1,%
