datetime,Canada_CPI_YoY_Actual,Canada_CPI_YoY_Srv_Med,Canada_CPI_YoY_Revised,Canada_CPI_YoY_Prior,unit
2023-08-15 20:30:00,3.3,3.0,,2.8,%
2023-07-18 20:30:00,2.8,3.0,,3.4,%
2023-06-27 20:30:00,3.4,3.4,,4.4,%
2023-05-16 20:30:00,4.4,4.1,,4.3,%
2023-04-18 20:30:00,4.3,4.3,,5.2,%
2023-03-21 20:30:00,5.2,5.4,,5.9,%
2023-02-21 21:30:00,5.9,6.1,,6.3,%
2023-01-17 21:30:00,6.3,6.4,,6.8,%
2022-12-21 21:30:00,6.8,6.7,,6.9,%
2022-11-16 21:30:00,6.9,6.9,,6.9,%
2022-10-19 20:30:00,6.9,6.8,,7,%
2022-09-20 20:30:00,7.0,7.3,,7.6,%
2022-08-16 20:30:00,7.6,7.6,,8.1,%
2022-06-22 20:30:00,7.7,7.4,,6.8,%
2022-05-18 20:30:00,6.8,6.7,,6.7,%
2022-04-20 20:30:00,6.7,6.1,,5.7,%
2022-03-16 20:30:00,5.7,5.5,,5.1,%
2022-02-16 21:30:00,5.1,4.8,,4.8,%
2022-01-19 21:30:00,4.8,4.8,,4.7,%
