datetime,Canada_Core_CPI_MoM_Actual,Canada_Core_CPI_MoM_Srv_Med,Canada_Core_CPI_MoM_Revised,Canada_Core_CPI_MoM_Prior,unit
2023-08-15 20:30:00,0.5,,,-0.1,%
2023-07-18 20:30:00,-0.1,,,0.4,%
2023-06-27 20:30:00,0.4,,,0.5,%
2023-05-16 20:30:00,0.5,,,0.6,%
2023-04-18 20:30:00,0.6,,,0.5,%
2023-03-21 20:30:00,0.5,,,0.3,%
2023-02-21 21:30:00,0.3,,,-0.3,%
2023-01-17 21:30:00,-0.3,,,0,%
2022-12-21 21:30:00,0.0,,,0.4,%
2022-11-16 21:30:00,0.4,,,0.4,%
2022-10-19 20:30:00,0.4,,,0,%
2022-09-20 20:30:00,0.0,,,0.5,%
2022-08-16 20:30:00,0.5,,,0.3,%
2022-06-22 20:30:00,0.8,,,0.7,%
2022-05-18 20:30:00,0.7,0.4,,1,%
2022-04-20 20:30:00,1.0,0.5,,0.8,%
2022-03-16 20:30:00,0.8,,,0.8,%
2022-02-16 21:30:00,0.8,,,0,%
2022-01-19 21:30:00,0.0,,,0,%
