datetime,Canada_Core_CPI_YoY_Actual,Canada_Core_CPI_YoY_Srv_Med,Canada_Core_CPI_YoY_Revised,Canada_Core_CPI_YoY_Prior,unit
2023-08-15 20:30:00,3.2,,,3.2,%
2023-07-18 20:30:00,3.2,3.5,,3.7,%
2023-06-27 20:30:00,3.7,3.9,,4.1,%
2023-05-16 20:30:00,4.1,,,4.3,%
2023-04-18 20:30:00,4.3,4.4,,4.7,%
2023-03-21 20:30:00,4.7,4.8,,5,%
2023-02-21 21:30:00,5.0,,,5.4,%
2023-01-17 21:30:00,5.4,,,5.8,%
2022-12-21 21:30:00,5.8,,,5.8,%
2022-11-16 21:30:00,5.8,,,6,%
2022-10-19 20:30:00,6.0,,,5.8,%
2022-09-20 20:30:00,5.8,,,6.1,%
2022-08-16 20:30:00,6.1,,,6.2,%
2022-06-22 20:30:00,6.1,5.9,,5.7,%
2022-05-18 20:30:00,5.7,5.4,,5.5,%
2022-04-20 20:30:00,5.5,4.2,,4.8,%
2022-03-16 20:30:00,4.8,4.5,,4.3,%
2022-02-16 21:30:00,4.3,,,4,%
2022-01-19 21:30:00,4.0,3.5,,3.6,%
