datetime,Eurozone_ECB_Deposit_Facility_Rate_Actual,Eurozone_ECB_Deposit_Facility_Rate_Srv_Med,Eurozone_ECB_Deposit_Facility_Rate_Revised,Eurozone_ECB_Deposit_Facility_Rate_Prior,unit
2023-07-27 20:15:00,3.75,3.75,,3.5,%
2023-06-15 20:15:00,3.5,3.5,,3.25,%
2023-05-04 20:15:00,3.25,3.25,,3,%
2023-03-16 21:15:00,3.0,3.0,,2.5,%
2023-02-02 21:15:00,2.5,2.5,,2,%
2022-12-15 21:15:00,2.0,2.0,,1.5,%
2022-10-27 20:15:00,1.5,1.5,,0.75,%
2022-09-08 20:15:00,0.75,0.75,,0,%
2022-06-09 19:45:00,-0.5,-0.5,,-0.5,%
2022-04-14 19:45:00,-0.5,-0.5,,-0.5,%
2022-03-10 20:45:00,-0.5,-0.5,,-0.5,%
2022-02-03 20:45:00,-0.5,-0.5,,-0.5,%
