datetime,Eurozone_ECB_Marginal_Lending_Rate_Actual,Eurozone_ECB_Marginal_Lending_Rate_Srv_Med,Eurozone_ECB_Marginal_Lending_Rate_Revised,Eurozone_ECB_Marginal_Lending_Rate_Prior,unit
2023-07-27 20:15:00,4.5,4.5,,4.25,%
2023-06-15 20:15:00,4.25,4.25,,4,%
2023-05-04 20:15:00,4.0,4.0,,3.75,%
2023-03-16 21:15:00,3.75,3.75,,3.25,%
2023-02-02 21:15:00,3.25,3.25,,2.75,%
2022-12-15 21:15:00,2.75,2.75,,2.25,%
2022-10-27 20:15:00,2.25,2.25,,1.5,%
2022-09-08 20:15:00,1.5,1.5,,0.75,%
2022-06-09 19:45:00,0.25,0.25,,0.25,%
2022-04-14 19:45:00,0.25,0.25,,0.25,%
2022-03-10 20:45:00,0.25,0.25,,0.25,%
2022-02-03 20:45:00,0.25,0.25,,0.25,%
