date,feature
2023-08-30,"-58.6,0.0,0.0,11.6,-17.3,0.0,0.0,3.0,-1058.4,-326.7,0.0,-613.4,2092.9,0.0,0.0,2060.9,500.96,0.0,0.0,501.9,-21.4,-93.3,0.0,146.8,29.0,0.0,0.0,13.0,17.0,0.0,0.0,50.2,992.21,0.0,0.0,974.03,-1.3,0.0,0.0,-0.1,-150.4,0.0,0.0,-313.3,0.0,0.0,0.0,57.5,123.5,18.9,0.0,94.5,-4.3,0.0,0.0,33.7,93.3,94.5,0.0,94.5,59.4,0.0,0.0,60.0"
2023-08-23,"11.6,0.0,0.0,-176.3,3.0,0.0,0.0,16.7,-613.4,-285.0,0.0,-596.0,2060.93,0.0,0.0,2070.9,501.9,0.0,0.0,481.57,146.8,-88.8,0.0,-26.2,13.0,0.0,0.0,-33.6,50.2,0.0,0.0,-10.1,974.03,0.0,0.0,973.23,-0.1,0.0,0.0,-1.1,-313.3,0.0,0.0,-83.7,57.5,0.0,0.0,-26.8,94.5,21.8,0.0,29.6,33.7,0.0,0.0,-18.2,94.5,95.1,0.0,94.7,60.0,0.0,0.0,60.0"
2023-08-16,"-176.3,0.0,0.0,293.7,16.7,0.0,0.0,6.2,-596.0,-232.0,0.0,585.1,2070.94,0.0,0.0,1844.6,481.57,0.0,0.0,521.97,-26.1,-126.0,0.0,-266.1,-33.6,0.0,0.0,9.2,-10.1,0.0,0.0,16.6,973.23,0.0,0.0,1024.29,-1.1,0.0,0.0,2.2,-83.7,0.0,0.0,15.9,-26.8,0.0,0.0,-16.8,29.6,-47.3,0.0,-170.6,-18.2,0.0,0.0,5.0,94.7,94.2,0.0,93.8,60.0,0.0,0.0,99.5"
2023-08-09,"293.7,0.0,0.0,-39.1,6.2,0.0,0.0,3.9,585.1,56.7,0.0,-1704.9,1844.61,0.0,0.0,2130.4,521.97,0.0,0.0,508.77,-266.1,-0.8,0.0,148.1,9.2,0.0,0.0,34.1,16.6,0.0,0.0,23.0,1024.29,0.0,0.0,965.61,2.2,0.0,0.0,0.1,15.9,0.0,0.0,-125.9,-16.8,0.0,0.0,-18.3,-170.6,0.6,0.0,-79.6,5.0,0.0,0.0,8.0,93.8,93.1,0.0,92.7,99.5,0.0,0.0,0.0"
2023-08-02,"-39.1,0.0,0.0,-158.4,3.9,0.0,0.0,-10.7,-1704.9,-136.7,0.0,-60.0,2130.36,0.0,0.0,1865.3,508.77,0.0,0.0,497.6,148.0,-130.0,0.0,-78.6,34.1,0.0,0.0,-3.5,23.0,0.0,0.0,-100.2,965.61,0.0,0.0,993.36,0.1,0.0,0.0,0.4,-125.9,0.0,0.0,-260.9,-18.3,0.0,0.0,27.8,-79.6,11.2,0.0,-24.5,8.0,0.0,0.0,-25.1,92.7,93.4,0.0,93.4,0.0,0.0,0.0,0.0"
2023-07-26,"-158.4,0.0,0.0,-37.6,-10.7,0.0,0.0,-7.4,-60.0,-234.8,0.0,-70.8,1865.27,0.0,0.0,1957.5,497.6,0.0,0.0,509.31,-78.6,-167.8,0.0,-106.6,-3.5,0.0,0.0,-58.4,-100.2,0.0,0.0,22.3,993.36,0.0,0.0,992.69,0.4,0.0,0.0,-0.2,-260.9,0.0,0.0,-289.1,27.8,0.0,0.0,-0.3,-24.5,-30.1,0.0,1.3,-25.1,0.0,0.0,-5.4,93.4,94.4,0.0,94.3,0.0,0.0,0.0,0.1"
2023-07-19,"-37.6,0.0,0.0,59.9,-7.4,0.0,0.0,62.9,-70.8,-244.0,0.0,594.6,1957.51,0.0,0.0,1733.1,509.31,0.0,0.0,446.91,-106.6,-157.7,0.0,-0.4,-58.4,0.0,0.0,-15.8,22.3,0.0,0.0,43.9,992.69,0.0,0.0,987.21,-0.2,0.0,0.0,-0.3,-289.1,0.0,0.0,-160.5,-0.3,0.0,0.0,-33.1,1.3,46.0,0.0,481.5,-5.4,0.0,0.0,23.6,94.3,93.7,0.0,93.7,0.1,0.0,0.0,-40.1"
2023-07-12,"59.9,0.0,0.0,189.5,62.9,0.0,0.0,-22.4,594.6,48.3,0.0,-150.8,1733.06,0.0,0.0,1965.3,446.91,0.0,0.0,511.23,-0.4,-72.7,0.0,-254.9,-15.8,0.0,0.0,14.8,43.9,0.0,0.0,-6.1,987.21,0.0,0.0,1046.27,-0.3,0.0,0.0,0.7,-160.5,0.0,0.0,-40.0,-33.1,0.0,0.0,-13.6,481.5,-26.2,0.0,-104.5,23.6,0.0,0.0,14.1,93.7,91.5,0.0,91.1,-40.1,0.0,0.0,-145.8"
2023-07-06,"189.5,0.0,0.0,-37.6,-22.4,0.0,0.0,-21.6,-150.8,-98.3,0.0,-960.3,1965.3,0.0,0.0,2015.2,511.2,0.0,0.0,481.04,-255.0,-141.7,0.0,60.3,14.8,0.0,0.0,29.8,-6.1,0.0,0.0,-52.9,1046.3,0.0,0.0,1017.33,0.7,0.0,0.0,0.0,-40.0,0.0,0.0,120.9,-13.6,0.0,0.0,-11.3,-104.5,29.6,0.0,12.3,14.1,0.0,0.0,-36.8,91.1,92.3,0.0,92.2,-145.8,0.0,0.0,-135.1"
2023-06-28,"-37.6,0.0,0.0,-149.3,-21.6,0.0,0.0,-11.6,-960.3,-175.7,0.0,-383.1,2015.19,0.0,0.0,1890.8,481.04,0.0,0.0,515.9,60.3,-12.6,0.0,47.9,29.8,0.0,0.0,-35.2,-52.9,0.0,0.0,-38.0,1017.33,0.0,0.0,1023.34,0.0,0.0,0.0,0.3,120.9,0.0,0.0,-9.8,-11.3,0.0,0.0,39.5,12.3,78.2,0.0,43.4,-36.8,0.0,0.0,8.9,92.2,93.3,0.0,93.1,-135.1,0.0,0.0,-171.9"
