date,feature
2023-08-23,"44.7,48.3,0.0,48.5,39.1,38.7,0.0,38.8,47.3,51.5,0.0,52.3"
2023-07-24,"48.3,50.3,0.0,50.6,38.8,41.0,0.0,40.6,52.0,53.1,0.0,54.1"
2023-06-23,"50.8,53.5,0.0,53.9,41.0,43.5,0.0,43.2,54.1,56.2,0.0,57.2"
2023-05-23,"54.3,53.5,0.0,54.2,42.9,45.0,0.0,44.5,57.8,55.3,0.0,56.0"
2023-04-21,"53.9,52.7,0.0,52.6,44.0,45.7,0.0,44.7,55.7,53.3,0.0,53.7"
2023-03-24,"52.6,51.0,0.0,50.7,44.4,47.0,0.0,46.3,53.9,51.0,0.0,50.9"
2023-02-21,"51.1,50.4,0.0,49.9,46.5,48.0,0.0,47.3,51.3,51.0,0.0,50.7"
2023-01-24,"49.7,49.6,0.0,49.0,47.0,47.9,0.0,47.1,50.4,49.6,0.0,49.2"
2022-12-16,"48.9,46.5,0.0,46.3,47.4,46.3,0.0,46.2,49.0,46.3,0.0,46.1"
2022-11-23,"46.4,44.9,0.0,45.1,46.7,45.0,0.0,45.1,46.4,46.2,0.0,46.5"
2022-10-24,"44.1,45.3,0.0,45.7,45.7,47.0,0.0,47.8,44.9,44.7,0.0,45.0"
2022-09-23,"45.9,46.0,0.0,46.9,48.3,48.3,0.0,49.1,45.4,47.2,0.0,47.7"
2022-08-23,"47.6,47.4,0.0,48.1,49.8,48.2,0.0,49.3,48.2,49.0,0.0,49.7"
2022-07-22,"48.0,50.1,0.0,51.3,49.2,50.6,0.0,52.0,49.2,51.2,0.0,52.4"
2022-06-23,"51.3,53.1,0.0,53.7,52.0,54.0,0.0,54.8,52.4,54.5,0.0,55.0"
2022-05-24,"54.6,54.0,0.0,54.3,54.7,54.0,0.0,54.6,56.3,57.2,0.0,57.6"
2022-04-22,"54.5,54.1,0.0,55.1,54.1,54.5,0.0,56.9,57.9,55.5,0.0,56.1"
2022-03-24,"54.6,53.7,0.0,55.6,57.6,55.8,0.0,58.4,55.0,53.8,0.0,55.8"
2022-02-21,"56.2,54.3,0.0,53.8,58.5,59.5,0.0,59.8,56.6,53.0,0.0,52.2"
2022-01-24,"54.3,49.2,0.0,49.9,60.5,57.0,0.0,57.4,52.2,48.0,0.0,48.7"
