date,feature
2023-08-24,"170.2,170.8,171.1,171.6,23.0,24.0,24.0,23.9,23.675,0.0,23.45,23.425"
2023-08-17,"171.6,170.0,0.0,168.4,23.9,24.0,25.0,24.8,23.43,0.0,23.15,23.1"
2023-08-10,"168.4,171.0,169.2,170.0,24.8,23.0,0.0,22.7,23.1,0.0,0.0,22.825"
2023-08-03,"170.0,170.0,167.9,169.0,22.7,22.7,0.0,22.1,22.83,0.0,0.0,23.375"
2023-07-27,"169.0,175.0,174.9,175.4,22.1,23.5,0.0,22.8,23.38,0.0,0.0,23.75"
2023-07-20,"175.4,172.9,172.1,172.9,22.8,24.2,0.0,23.7,23.75,0.0,0.0,24.675"
2023-07-13,"172.9,172.3,171.8,172.0,23.7,25.0,24.9,24.8,24.68,0.0,25.35,25.325"
2023-07-06,"172.0,174.5,173.3,174.2,24.8,24.5,23.6,23.9,25.33,0.0,25.68,25.75"
2023-06-29,"174.2,176.5,176.1,175.9,23.9,26.5,26.5,26.4,25.75,0.0,25.6,25.575"
2023-06-22,"175.9,178.2,177.2,177.5,26.4,26.0,26.4,26.2,25.58,0.0,24.73,24.675"
2023-06-15,"177.5,176.5,175.5,175.7,26.2,24.9,26.2,26.1,24.68,0.0,23.75,23.725"
2023-06-08,"175.7,180.0,179.4,179.5,26.1,23.5,23.3,23.2,23.73,0.0,22.98,22.95"
2023-06-01,"179.5,180.0,178.9,179.4,23.2,23.5,23.0,22.9,22.95,0.0,23.2,23.175"
2023-05-25,"179.4,180.0,0.0,179.9,22.9,24.5,22.5,24.2,23.18,0.0,23.18,24.425"
2023-05-18,"179.9,181.8,180.7,181.3,24.2,25.4,0.0,26.4,24.43,0.0,0.0,24.525"
2023-05-11,"181.3,182.0,180.1,180.5,26.4,24.5,0.0,24.2,24.53,0.0,0.0,23.925"
2023-05-04,"180.5,186.5,184.3,185.8,24.2,24.0,22.9,23.0,23.93,0.0,23.58,23.6"
2023-04-27,"185.8,187.8,186.1,186.5,23.0,24.8,24.6,24.5,23.6,0.0,24.0,23.975"
2023-04-20,"186.5,182.0,180.4,181.0,24.5,24.0,24.0,23.9,23.98,0.0,24.03,24.0"
2023-04-13,"181.0,181.4,0.0,182.3,23.9,23.2,0.0,22.8,24.0,0.0,0.0,23.775"
2023-04-06,"182.3,169.9,181.7,168.9,22.8,20.0,24.6,19.8,23.78,0.0,24.2,19.825"
2023-03-30,"168.9,169.7,168.5,169.4,19.8,19.6,0.0,19.1,19.83,0.0,0.0,19.625"
2023-03-23,"169.4,168.4,168.0,168.4,19.1,19.7,0.0,19.2,19.63,0.0,0.0,19.65"
2023-03-16,"168.4,171.5,171.3,171.8,19.2,20.5,21.2,21.1,19.65,0.0,19.73,19.7"
2023-03-09,"171.8,165.9,164.9,165.5,21.1,19.5,0.0,19.0,19.7,0.0,0.0,19.3"
2023-03-02,"165.5,166.5,166.0,165.4,19.0,19.5,0.0,19.2,19.3,0.0,0.0,19.125"
2023-02-23,"165.4,170.0,169.1,169.6,19.2,20.0,19.5,19.4,19.13,0.0,18.98,18.95"
2023-02-16,"169.6,169.5,168.0,168.8,19.4,20.0,19.5,19.6,18.95,0.0,18.9,18.925"
2023-02-09,"168.8,165.8,165.0,165.5,19.6,19.0,0.0,18.3,18.93,0.0,0.0,19.175"
2023-02-02,"165.5,167.7,166.6,167.5,18.3,20.0,0.0,18.6,19.18,0.0,0.0,19.75"
2023-01-26,"167.5,165.9,165.5,164.7,18.6,20.5,19.2,19.0,19.75,0.0,20.68,20.6"
2023-01-19,"164.7,166.0,163.0,163.4,19.0,21.4,0.0,20.5,20.6,0.0,0.0,21.25"
