date,feature
2023-08-23,"50.4,51.5,0.0,52.0,47.0,49.3,0.0,49.0,51.0,52.2,0.0,52.3"
2023-07-24,"52.0,53.0,0.0,53.2,49.0,46.4,0.0,46.3,52.4,54.0,0.0,54.4"
2023-06-23,"53.0,53.5,0.0,54.3,46.3,48.5,0.0,48.4,54.1,54.0,0.0,54.9"
2023-05-23,"54.5,53.0,0.0,53.4,48.5,50.0,0.0,50.2,55.1,52.6,0.0,53.6"
2023-04-21,"53.5,51.2,0.0,52.3,50.4,49.0,0.0,49.2,53.7,51.5,0.0,52.6"
2023-03-24,"53.3,49.5,0.0,50.1,49.3,47.0,0.0,47.3,53.8,50.5,0.0,50.6"
2023-02-21,"50.2,47.1,0.0,46.8,47.8,47.1,0.0,46.9,50.5,47.5,0.0,46.8"
2023-01-24,"46.6,46.4,0.0,45.0,46.8,46.0,0.0,46.2,46.6,45.0,0.0,44.7"
2022-12-16,"44.6,47.0,0.0,46.4,46.2,47.7,0.0,47.7,44.4,46.8,0.0,46.2"
2022-11-23,"46.3,48.0,0.0,48.2,47.6,50.0,0.0,50.4,46.1,47.9,0.0,47.8"
2022-10-24,"47.3,49.3,0.0,49.5,49.9,51.0,0.0,52.0,46.6,49.2,0.0,49.3"
2022-09-23,"49.3,46.1,0.0,44.6,51.8,51.1,0.0,51.5,49.2,45.0,0.0,43.7"
2022-08-23,"45.0,0.0,0.0,47.7,51.3,52.0,0.0,52.2,44.1,49.2,0.0,47.3"
2022-07-22,"47.5,52.4,0.0,52.3,52.3,52.0,0.0,52.7,47.0,52.6,0.0,52.7"
2022-06-23,"51.2,52.9,0.0,53.6,52.4,56.0,0.0,57.0,51.6,53.5,0.0,53.4"
2022-05-24,"53.8,55.5,0.0,56.0,57.5,57.5,0.0,59.2,53.5,55.2,0.0,55.6"
2022-04-22,"55.1,57.9,0.0,57.7,59.7,58.2,0.0,58.8,54.7,58.0,0.0,58.0"
2022-03-24,"58.5,54.4,0.0,55.9,58.5,56.3,0.0,57.3,58.9,56.0,0.0,56.5"
2022-01-24,"50.8,0.0,0.0,57.0,55.0,56.7,0.0,57.7,50.9,55.0,0.0,57.6"
