datetime,US_Fed_Funds_Lower_Target_Actual,US_Fed_Funds_Lower_Target_Srv_Med,US_Fed_Funds_Lower_Target_Revised,US_Fed_Funds_Lower_Target_Prior,unit
2023-07-27 02:00:00,5.25,5.25,,5,%
2023-06-15 02:00:00,5.0,5.0,,5,%
2023-05-04 02:00:00,5.0,5.0,,4.75,%
2023-03-23 02:00:00,4.75,4.75,,4.5,%
2023-02-02 03:00:00,4.5,4.5,,4.25,%
2022-12-15 03:00:00,4.25,4.25,,3.75,%
2022-11-03 02:00:00,3.75,3.75,,3,%
2022-09-22 02:00:00,3.0,3.0,,2.25,%
2022-06-16 02:00:00,1.5,1.25,,0.75,%
2022-05-05 02:00:00,0.75,0.75,,0.25,%
2022-03-17 02:00:00,0.25,0.25,,0,%
2022-01-27 03:00:00,0.0,0.0,,0,%
