datetime,US_Fed_Funds_Upper_Target_Actual,US_Fed_Funds_Upper_Target_Srv_Med,US_Fed_Funds_Upper_Target_Revised,US_Fed_Funds_Upper_Target_Prior,unit
2023-07-27 02:00:00,5.5,5.5,,5.25,%
2023-06-15 02:00:00,5.25,5.25,,5.25,%
2023-05-04 02:00:00,5.25,5.25,,5,%
2023-03-23 02:00:00,5.0,5.0,,4.75,%
2023-02-02 03:00:00,4.75,4.75,,4.5,%
2022-12-15 03:00:00,4.5,4.5,,4,%
2022-11-03 02:00:00,4.0,4.0,,3.25,%
2022-09-22 02:00:00,3.25,3.25,,2.5,%
2022-06-16 02:00:00,1.75,1.5,,1,%
2022-05-05 02:00:00,1.0,1.0,,0.5,%
2022-03-17 02:00:00,0.5,0.5,,0.25,%
2022-01-27 03:00:00,0.25,0.25,,0.25,%
