datetime,US_Reserve_Balances_Rate_Actual,US_Reserve_Balances_Rate_Srv_Med,US_Reserve_Balances_Rate_Revised,US_Reserve_Balances_Rate_Prior,unit
2023-07-27 02:00:00,5.4,5.4,,5.15,%
2023-06-15 02:00:00,5.15,5.15,,5.15,%
2023-05-04 02:00:00,5.15,5.15,,4.9,%
2023-03-23 02:00:00,4.9,4.9,,4.65,%
2023-02-02 03:00:00,4.65,4.65,,4.4,%
2022-12-15 03:00:00,4.4,4.4,,3.9,%
2022-11-03 02:00:00,3.9,3.9,,3.15,%
2022-09-22 02:00:00,3.15,3.15,,2.4,%
2022-06-16 02:00:00,1.65,1.65,,0.9,%
2022-05-05 02:00:00,0.9,0.9,,0.4,%
2022-03-17 02:00:00,0.4,0.4,,0.15,%
2022-01-27 03:00:00,0.15,0.15,,0.15,%
