datetime,Germany_Manufacturing_PMI_Prelim_Actual,Germany_Manufacturing_PMI_Prelim_Srv_Med,Germany_Manufacturing_PMI_Prelim_Revised,Germany_Manufacturing_PMI_Prelim_Prior,unit
2023-08-23 15:30:00,39.1,38.7,,38.8,
2023-07-24 15:30:00,38.8,41.0,,40.6,
2023-06-23 15:30:00,41.0,43.5,,43.2,
2023-05-23 15:30:00,42.9,45.0,,44.5,
2023-04-21 15:30:00,44.0,45.7,,44.7,
2023-03-24 16:30:00,44.4,47.0,,46.3,
2023-02-21 16:30:00,46.5,48.0,,47.3,
2023-01-24 16:30:00,47.0,47.9,,47.1,
2022-12-16 16:30:00,47.4,46.3,,46.2,
2022-11-23 16:30:00,46.7,45.0,,45.1,
2022-10-24 15:30:00,45.7,47.0,,47.8,
2022-09-23 15:30:00,48.3,48.3,,49.1,
2022-08-23 15:30:00,49.8,48.2,,49.3,
2022-07-22 15:30:00,49.2,50.6,,52.0,
2022-06-23 15:30:00,52.0,54.0,,54.8,
2022-05-24 15:30:00,54.7,54.0,,54.6,
2022-04-22 15:30:00,54.1,54.5,,56.9,
2022-03-24 16:30:00,57.6,55.8,,58.4,
2022-02-21 16:30:00,58.5,59.5,,59.8,
2022-01-24 16:30:00,60.5,57.0,,57.4,
