datetime,Germany_Services_PMI_Final_Actual,Germany_Services_PMI_Final_Srv_Med,Germany_Services_PMI_Final_Revised,Germany_Services_PMI_Final_Prior,unit
2023-08-23 15:30:00,47.3,51.5,,52.3,
2023-07-24 15:30:00,52.0,53.1,,54.1,
2023-06-23 15:30:00,54.1,56.2,,57.2,
2023-05-23 15:30:00,57.8,55.3,,56.0,
2023-04-21 15:30:00,55.7,53.3,,53.7,
2023-03-24 16:30:00,53.9,51.0,,50.9,
2023-02-21 16:30:00,51.3,51.0,,50.7,
2023-01-24 16:30:00,50.4,49.6,,49.2,
2022-12-16 16:30:00,49.0,46.3,,46.1,
2022-11-23 16:30:00,46.4,46.2,,46.5,
2022-10-24 15:30:00,44.9,44.7,,45.0,
2022-09-23 15:30:00,45.4,47.2,,47.7,
2022-08-23 15:30:00,48.2,49.0,,49.7,
2022-07-22 15:30:00,49.2,51.2,,52.4,
2022-06-23 15:30:00,52.4,54.5,,55.0,
2022-05-24 15:30:00,56.3,57.2,,57.6,
2022-04-22 15:30:00,57.9,55.5,,56.1,
2022-03-24 16:30:00,55.0,53.8,,55.8,
2022-02-21 16:30:00,56.6,53.0,,52.2,
2022-01-24 16:30:00,52.2,48.0,,48.7,
