datetime,US_Construction_Spending_MoM_Actual,US_Construction_Spending_MoM_Srv_Med,US_Construction_Spending_MoM_Revised,US_Construction_Spending_MoM_Prior,unit
2023-08-01 22:00:00,0.5,0.6,1.1,0.9,%
2023-07-03 22:00:00,0.9,0.5,0.4,1.2,%
2023-06-01 22:00:00,1.2,0.2,,0.3,%
2023-05-01 22:00:00,0.3,0.1,-0.3,-0.1,%
2023-04-03 22:00:00,-0.1,0.0,0.4,-0.1,%
2023-03-01 23:00:00,-0.1,0.2,-0.7,-0.4,%
2023-02-01 23:00:00,-0.4,0.0,0.5,0.2,%
2023-01-03 23:00:00,0.2,-0.4,-0.2,-0.3,%
2022-11-01 22:00:00,0.2,-0.5,-0.6,-0.7,%
2022-10-03 22:00:00,-0.7,-0.3,-0.6,-0.4,%
2022-09-01 22:00:00,-0.4,-0.4,-0.5,-1.1,%
2022-08-01 22:00:00,-1.1,0.2,0.1,-0.1,%
2022-07-01 22:00:00,-0.1,0.4,0.8,0.2,%
2022-06-01 22:00:00,0.2,0.5,0.3,0.1,%
2022-05-02 22:00:00,0.1,0.7,,0.5,%
2022-04-01 22:00:00,0.5,1.0,1.6,1.3,%
2022-03-01 23:00:00,1.3,0.2,0.8,0.2,%
2022-02-01 23:00:00,0.2,0.6,0.6,0.4,%
2022-01-03 23:00:00,0.4,0.6,0.4,0.2,%
