datetime,US_ISM_Employment_Index_Actual,US_ISM_Employment_Index_Srv_Med,US_ISM_Employment_Index_Revised,US_ISM_Employment_Index_Prior,unit
2023-08-01 22:00:00,44.4,48.0,,48.1,
2023-07-03 22:00:00,48.1,,,51.4,
2023-06-01 22:00:00,51.4,49.8,,50.2,
2023-05-01 22:00:00,50.2,,,46.9,
2023-04-03 22:00:00,46.9,,,49.1,
2023-03-01 23:00:00,49.1,,,50.6,
2023-02-01 23:00:00,50.6,49.0,50.8,51.4,
2023-01-04 23:00:00,51.4,,,48.4,
2022-11-01 22:00:00,50.0,,,48.7,
2022-10-03 22:00:00,48.7,53.0,,54.2,
2022-09-01 22:00:00,54.2,49.0,,49.9,
2022-08-01 22:00:00,49.9,48.2,,47.3,
2022-07-01 22:00:00,47.3,50.0,,49.6,
2022-06-01 22:00:00,49.6,,,50.9,
2022-05-02 22:00:00,50.9,55.0,,56.3,
2022-04-01 22:00:00,56.3,53.1,,52.9,
2022-03-01 23:00:00,52.9,54.2,,54.5,
2022-02-01 23:00:00,54.5,,53.9,54.2,
2022-01-04 23:00:00,54.2,53.6,,53.3,
